Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
была_AUX,-4.66,0.0,1,53,54,0.02,fpi_lex_повествование.tsv
здесь_ADV,-5.22,0.0,0,31,32,0.0,fpi_lex_повествование.tsv
скучать_VERB,-5.29,0.0,5,69,74,0.0,fpi_lex_повествование.tsv
очень_ADV,-8.03,0.0,34,196,232,0.0,fpi_lex_повествование.tsv
хотеться_VERB,-3.87,0.00012,6,48,54,0.61,fpi_lex_повествование.tsv
он_PRON,-3.83,0.00014,11,76,88,0.7,fpi_lex_повествование.tsv
соскучиться_VERB,-3.78,0.00017,10,96,107,0.87,fpi_lex_повествование.tsv
бояться_VERB,-3.67,0.00028,0,18,18,1.38,fpi_lex_повествование.tsv
сама_ADJ,-3.6,0.00036,0,17,17,1.79,fpi_lex_повествование.tsv
о_ADP,-3.51,0.00054,0,18,18,2.72,fpi_lex_описание.tsv
понравиться_VERB,-3.45,0.00061,7,40,47,3.03,fpi_lex_повествование.tsv
теперь_ADV,-3.44,0.00063,6,51,57,3.15,fpi_lex_повествование.tsv
что_SCONJ,-3.38,0.00079,48,182,232,3.94,fpi_lex_повествование.tsv
соскучиться_VERB,-3.39,0.00085,3,30,33,2.06,big5_lex_повествование.tsv
парень_NOUN,-3.3,0.00107,0,13,13,5.32,fpi_lex_повествование.tsv
надеяться_VERB,-3.28,0.0011,8,59,67,5.49,fpi_lex_повествование.tsv
воронеж_PROPN,-3.23,0.00132,1,28,29,6.61,fpi_lex_повествование.tsv
язык_NOUN,-3.16,0.00173,0,12,12,8.63,fpi_lex_повествование.tsv
стать_VERB,-3.11,0.00199,5,35,41,9.95,fpi_lex_повествование.tsv
старушка_NOUN,-3.11,0.00212,0,15,15,10.57,fpi_lex_описание.tsv
наверно_ADV,-3.07,0.00229,0,13,13,11.44,fpi_lex_повествование.tsv
чувствовать_VERB,-3.06,0.00237,0,14,14,11.85,fpi_lex_повествование.tsv
ждать_VERB,-2.98,0.00299,12,66,78,14.9,fpi_lex_повествование.tsv
сегодня_ADV,-2.98,0.00309,0,12,12,15.44,fpi_lex_повествование.tsv
рад_ADJ,-2.97,0.00311,5,43,48,15.51,fpi_lex_повествование.tsv
школа_NOUN,-2.92,0.00365,3,26,29,18.24,fpi_lex_повествование.tsv
тогда_ADV,-2.9,0.00393,0,11,11,19.63,fpi_lex_повествование.tsv
все_PRON,2.91,0.00397,92,196,288,19.83,fpi_lex_повествование.tsv
по_ADP,-2.89,0.00408,31,148,179,20.35,fpi_lex_повествование.tsv
когда_ADV,-2.89,0.00409,0,12,13,20.4,fpi_lex_повествование.tsv
постоянно_ADV,-2.86,0.00445,0,10,10,22.19,fpi_lex_повествование.tsv
так_ADV,-2.85,0.00454,30,135,166,22.65,fpi_lex_повествование.tsv
будет_VERB,-2.85,0.00458,2,20,22,22.86,fpi_lex_повествование.tsv
по_ADP,-2.86,0.00465,10,38,48,11.3,big5_lex_повествование.tsv
по_ADP,-2.85,0.00471,0,11,11,23.54,fpi_lex_описание.tsv
нравиться_VERB,-2.84,0.00479,11,67,79,23.9,fpi_lex_повествование.tsv
начинать_VERB,-2.83,0.00492,0,10,10,24.54,fpi_lex_повествование.tsv
происходить_VERB,-2.82,0.0051,0,10,10,25.47,fpi_lex_повествование.tsv
сессия_NOUN,-2.77,0.00575,5,30,35,28.69,fpi_lex_повествование.tsv
