Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
обязательно_ADV,-0.13,0.00211,11,4.9,fpi_lex_повествование.tsv
и_CCONJ,-0.12,0.00418,167,9.71,fpi_lex_повествование.tsv
написать_VERB,-0.12,0.00476,11,11.07,fpi_lex_повествование.tsv
ведь_SCONJ,0.11,0.01082,14,25.12,fpi_lex_повествование.tsv
город_NOUN,-0.1,0.02155,18,50.06,fpi_lex_повествование.tsv
погода_NOUN,-0.09,0.02596,16,60.31,fpi_lex_повествование.tsv
место_NOUN,-0.09,0.03286,17,76.34,fpi_lex_повествование.tsv
вы_PRON,-0.09,0.04578,14,106.34,fpi_lex_повествование.tsv
у_ADP,-0.08,0.04904,186,113.91,fpi_lex_повествование.tsv
очень_ADV,0.08,0.04994,83,116.01,fpi_lex_повествование.tsv
