Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
нормальный_ADJ,-0.18,3e-05,37,0.16,fpi_lex_повествование.tsv
сейчас_ADV,-0.13,0.00207,88,10.32,fpi_lex_повествование.tsv
работать_VERB,-0.12,0.00445,44,22.23,fpi_lex_повествование.tsv
как_ADV,-0.15,0.00591,14,29.53,fpi_lex_описание.tsv
всё_PRON,-0.11,0.00776,23,38.74,fpi_lex_повествование.tsv
один_NUM,0.11,0.00781,15,38.96,fpi_lex_повествование.tsv
подруга_NOUN,-0.11,0.00929,10,46.38,fpi_lex_повествование.tsv
за_ADP,0.11,0.01028,108,51.31,fpi_lex_повествование.tsv
бабушка_NOUN,-0.14,0.01258,10,62.81,fpi_lex_описание.tsv
считать_VERB,-0.14,0.01377,18,68.72,fpi_lex_описание.tsv
учёба_NOUN,0.1,0.01397,80,69.75,fpi_lex_повествование.tsv
много_NUM,-0.1,0.01407,11,70.22,fpi_lex_повествование.tsv
прийти_VERB,-0.1,0.01731,11,86.4,fpi_lex_повествование.tsv
вроде_ADV,-0.1,0.0189,19,94.37,fpi_lex_повествование.tsv
был_AUX,-0.1,0.01974,28,98.56,fpi_lex_повествование.tsv
пройти_VERB,-0.1,0.02013,34,100.5,fpi_lex_повествование.tsv
и_CCONJ,-0.13,0.02295,70,114.56,fpi_lex_описание.tsv
парень_NOUN,0.1,0.0257,13,128.29,fpi_lex_повествование.tsv
где_ADV,0.09,0.02671,19,133.32,fpi_lex_повествование.tsv
понимать_VERB,0.09,0.02773,32,138.41,fpi_lex_повествование.tsv
произойти_VERB,0.09,0.02834,43,141.49,fpi_lex_повествование.tsv
бы_PART,-0.09,0.02992,11,149.35,fpi_lex_повествование.tsv
во_ADP,-0.09,0.03346,18,167.02,fpi_lex_повествование.tsv
надеяться_VERB,0.09,0.03434,67,171.4,fpi_lex_повествование.tsv
видеться_VERB,-0.09,0.03471,87,173.27,fpi_lex_повествование.tsv
забыть_VERB,0.09,0.03582,22,178.79,fpi_lex_повествование.tsv
на_ADP,0.11,0.03827,107,191.04,fpi_lex_описание.tsv
мы_PRON,-0.09,0.04261,99,212.71,fpi_lex_повествование.tsv
старый_ADJ,-0.11,0.04471,14,223.18,fpi_lex_описание.tsv
постоянно_ADV,0.09,0.04585,10,228.89,fpi_lex_повествование.tsv
почему_ADV,0.08,0.04883,13,243.74,fpi_lex_повествование.tsv
