Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
в_ADP,-0.13,0.00228,127,4.68,fpi_lex_повествование.tsv
жизнь_NOUN,0.15,0.00661,12,13.55,fpi_lex_описание.tsv
у_ADP,-0.11,0.00878,79,17.98,fpi_lex_повествование.tsv
что_PRON,-0.11,0.00947,28,19.4,fpi_lex_повествование.tsv
человек_NOUN,-0.1,0.01384,17,28.36,fpi_lex_повествование.tsv
что_SCONJ,-0.1,0.02258,79,46.27,fpi_lex_повествование.tsv
человек_NOUN,-0.12,0.02498,13,51.19,fpi_lex_описание.tsv
они_PRON,-0.09,0.02948,30,60.41,fpi_lex_повествование.tsv
сейчас_ADV,-0.09,0.03338,16,68.39,fpi_lex_повествование.tsv
рад_ADJ,-0.09,0.04195,35,85.95,fpi_lex_повествование.tsv
родитель_NOUN,-0.09,0.0427,11,87.49,fpi_lex_повествование.tsv
ты_PRON,-0.09,0.04319,196,88.5,fpi_lex_повествование.tsv
он_PRON,-0.08,0.04749,29,97.3,fpi_lex_повествование.tsv
