Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
у_ADP,-0.16,0.00022,21,0.31,fpi_lex_повествование.tsv
художник_NOUN,0.16,0.00323,10,4.57,fpi_lex_описание.tsv
-_PRON,-0.15,0.00807,11,11.42,fpi_lex_описание.tsv
вот_PART,-0.11,0.00938,22,13.27,fpi_lex_повествование.tsv
ты_PRON,-0.11,0.01181,99,16.72,fpi_lex_повествование.tsv
как_SCONJ,-0.1,0.01593,35,22.54,fpi_lex_повествование.tsv
куда_ADV,-0.1,0.0241,12,34.1,fpi_lex_повествование.tsv
то_PRON,-0.12,0.02662,13,37.67,fpi_lex_описание.tsv
узнать_VERB,-0.09,0.03791,14,53.64,fpi_lex_повествование.tsv
она_PRON,0.11,0.04955,33,70.11,fpi_lex_описание.tsv
