Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
на_ADP,-0.16,0.0036,73,5.21,fpi_lex_описание.tsv
со_ADP,-0.12,0.00499,13,7.24,fpi_lex_повествование.tsv
новый_ADJ,-0.11,0.00696,15,10.09,fpi_lex_повествование.tsv
изобразить_VERB,-0.14,0.0107,58,15.52,fpi_lex_описание.tsv
что_SCONJ,-0.14,0.01076,47,15.61,fpi_lex_описание.tsv
пожилой_ADJ,-0.14,0.01435,18,20.81,fpi_lex_описание.tsv
очень_ADV,-0.13,0.01834,13,26.6,fpi_lex_описание.tsv
женщина_NOUN,-0.12,0.03185,32,46.18,fpi_lex_описание.tsv
же_PART,0.12,0.03736,10,54.17,fpi_lex_описание.tsv
очень_ADV,-0.09,0.04546,17,65.92,fpi_lex_повествование.tsv
молодой_ADJ,-0.11,0.0461,92,66.85,fpi_lex_описание.tsv
