Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
увидеться_VERB,-0.14,0.00076,15,3.81,fpi_lex_повествование.tsv
ведь_SCONJ,-0.13,0.00303,10,15.1,fpi_lex_повествование.tsv
на_ADP,0.12,0.00451,285,22.53,fpi_lex_повествование.tsv
девушка_NOUN,0.12,0.00598,11,29.84,fpi_lex_повествование.tsv
отдохнуть_VERB,0.11,0.00912,16,45.53,fpi_lex_повествование.tsv
стараться_VERB,-0.1,0.01457,17,72.75,fpi_lex_повествование.tsv
нравиться_VERB,-0.1,0.01596,79,79.66,fpi_lex_повествование.tsv
привыкнуть_VERB,-0.1,0.01713,10,85.52,fpi_lex_повествование.tsv
старушка_NOUN,-0.13,0.01807,15,90.21,fpi_lex_описание.tsv
кто_PRON,-0.1,0.01876,27,93.67,fpi_lex_повествование.tsv
почти_ADV,0.1,0.02252,13,112.41,fpi_lex_повествование.tsv
мечтать_VERB,0.1,0.02494,26,124.5,fpi_lex_повествование.tsv
свободный_ADJ,0.1,0.02555,17,127.57,fpi_lex_повествование.tsv
сначала_ADV,-0.09,0.02647,13,132.13,fpi_lex_повествование.tsv
бы_AUX,-0.09,0.03275,82,163.5,fpi_lex_повествование.tsv
если_SCONJ,0.09,0.03383,42,168.86,fpi_lex_повествование.tsv
день_NOUN,-0.09,0.0348,56,173.74,fpi_lex_повествование.tsv
но_CCONJ,-0.09,0.03504,196,174.94,fpi_lex_повествование.tsv
остаться_VERB,0.09,0.03514,17,175.4,fpi_lex_повествование.tsv
узнать_VERB,-0.09,0.03844,35,191.88,fpi_lex_повествование.tsv
ответь_VERB,0.09,0.04191,10,209.22,fpi_lex_повествование.tsv
рассказать_VERB,-0.09,0.0457,94,228.15,fpi_lex_повествование.tsv
бояться_VERB,-0.08,0.04676,18,233.41,fpi_lex_повествование.tsv
