Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
приезжать_VERB,0.12,0.0043,19,9.98,fpi_lex_повествование.tsv
написать_VERB,-0.12,0.00571,11,13.27,fpi_lex_повествование.tsv
не_PART,0.15,0.00583,17,13.54,fpi_lex_описание.tsv
надо_ADV,0.11,0.01122,13,26.06,fpi_lex_повествование.tsv
весёлый_ADJ,-0.11,0.01129,25,26.23,fpi_lex_повествование.tsv
хороший_ADJ,0.1,0.02096,46,48.69,fpi_lex_повествование.tsv
всегда_ADV,0.1,0.02532,10,58.82,fpi_lex_повествование.tsv
от_ADP,0.09,0.0281,15,65.27,fpi_lex_повествование.tsv
вспоминать_VERB,0.09,0.03002,20,69.73,fpi_lex_повествование.tsv
а_CCONJ,-0.09,0.04476,64,103.97,fpi_lex_повествование.tsv
место_NOUN,-0.08,0.04736,17,110.01,fpi_lex_повествование.tsv
