Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
к_ADP,-0.16,0.00395,19,7.8,fpi_lex_описание.tsv
она_PRON,-0.13,0.01807,74,35.64,fpi_lex_описание.tsv
все_PRON,0.09,0.02741,15,54.06,fpi_lex_повествование.tsv
к_ADP,0.09,0.02777,20,54.76,fpi_lex_повествование.tsv
быть_VERB,-0.09,0.03294,13,64.96,fpi_lex_повествование.tsv
жизнь_NOUN,0.09,0.03606,26,71.11,fpi_lex_повествование.tsv
же_PART,0.09,0.03799,14,74.92,fpi_lex_повествование.tsv
хотеть_VERB,0.09,0.04221,25,83.25,fpi_lex_повествование.tsv
бы_AUX,0.08,0.04835,10,95.35,fpi_lex_повествование.tsv
мочь_VERB,0.11,0.04953,16,97.66,fpi_lex_описание.tsv
