Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
понимать_VERB,0.13,0.0025,32,12.47,fpi_lex_повествование.tsv
будет_AUX,0.13,0.0027,40,13.48,fpi_lex_повествование.tsv
профессия_NOUN,-0.11,0.01103,12,55.08,fpi_lex_повествование.tsv
девушка_NOUN,0.11,0.01282,11,63.98,fpi_lex_повествование.tsv
что_PRON,0.11,0.01364,175,68.08,fpi_lex_повествование.tsv
все_PRON,-0.1,0.0145,288,72.38,fpi_lex_повествование.tsv
занятие_NOUN,-0.1,0.01522,11,75.96,fpi_lex_повествование.tsv
ничто_PRON,0.1,0.01535,33,76.63,fpi_lex_повествование.tsv
самое_ADJ,0.1,0.01636,12,81.66,fpi_lex_повествование.tsv
бабушка_NOUN,-0.13,0.01722,10,85.98,fpi_lex_описание.tsv
за_ADP,0.1,0.01832,108,91.48,fpi_lex_повествование.tsv
подруга_NOUN,-0.1,0.02104,10,105.02,fpi_lex_повествование.tsv
нормальный_ADJ,-0.1,0.0222,37,110.82,fpi_lex_повествование.tsv
выходной_NOUN,-0.1,0.02486,12,124.12,fpi_lex_повествование.tsv
потом_ADV,0.1,0.02502,28,124.92,fpi_lex_повествование.tsv
в_ADP,-0.1,0.02569,374,128.23,fpi_lex_повествование.tsv
домой_ADV,-0.09,0.02808,25,140.18,fpi_lex_повествование.tsv
у_ADP,-0.09,0.02821,382,140.82,fpi_lex_повествование.tsv
проблема_NOUN,0.09,0.02864,13,142.99,fpi_lex_повествование.tsv
казаться_VERB,0.09,0.0304,31,151.77,fpi_lex_повествование.tsv
момент_NOUN,0.09,0.03044,18,151.96,fpi_lex_повествование.tsv
хороший_ADJ,-0.09,0.03581,168,178.77,fpi_lex_повествование.tsv
один_DET,0.09,0.03745,12,186.97,fpi_lex_повествование.tsv
прийти_VERB,-0.09,0.03915,11,195.44,fpi_lex_повествование.tsv
играть_VERB,0.09,0.04031,12,201.21,fpi_lex_повествование.tsv
и_CCONJ,-0.11,0.0433,70,216.14,fpi_lex_описание.tsv
того_PRON,0.09,0.04595,22,229.38,fpi_lex_повествование.tsv
произойти_VERB,0.08,0.04754,43,237.3,fpi_lex_повествование.tsv
