Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
что_PRON,-0.14,0.00088,28,1.79,fpi_lex_повествование.tsv
то_PRON,-0.13,0.00318,11,6.51,fpi_lex_повествование.tsv
правда_ADV,-0.11,0.00731,10,14.98,fpi_lex_повествование.tsv
вот_PART,-0.11,0.01341,23,27.47,fpi_lex_повествование.tsv
ну_PART,-0.09,0.03151,21,64.57,fpi_lex_повествование.tsv
кстати_ADV,0.09,0.04227,14,86.61,fpi_lex_повествование.tsv
написать_VERB,0.09,0.04367,14,89.49,fpi_lex_повествование.tsv
стать_VERB,-0.09,0.04377,10,89.68,fpi_lex_повествование.tsv
конечно_ADV,-0.09,0.0441,12,90.36,fpi_lex_повествование.tsv
я_PRON,-0.09,0.04482,232,91.84,fpi_lex_повествование.tsv
любить_VERB,-0.08,0.04641,29,95.09,fpi_lex_повествование.tsv
письмо_NOUN,0.08,0.04649,15,95.26,fpi_lex_повествование.tsv
сессия_NOUN,-0.08,0.04766,21,97.66,fpi_lex_повествование.tsv
