Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
понимать_VERB,-0.13,0.00277,32,13.81,fpi_lex_повествование.tsv
иногда_ADV,-0.11,0.00798,23,39.81,fpi_lex_повествование.tsv
море_NOUN,0.11,0.0086,23,42.93,fpi_lex_повествование.tsv
то_SCONJ,-0.11,0.01126,48,56.21,fpi_lex_повествование.tsv
всего_PRON,0.11,0.01233,33,61.53,fpi_lex_повествование.tsv
ответ_NOUN,-0.1,0.01902,21,94.95,fpi_lex_повествование.tsv
казаться_VERB,-0.1,0.01977,31,98.69,fpi_lex_повествование.tsv
это_PRON,-0.13,0.02113,35,105.5,fpi_lex_описание.tsv
раз_NOUN,-0.1,0.02332,26,116.39,fpi_lex_повествование.tsv
-_PART,0.09,0.02839,19,141.72,fpi_lex_повествование.tsv
я_PRON,-0.09,0.03041,215,151.78,fpi_lex_повествование.tsv
момент_NOUN,0.09,0.03068,18,153.13,fpi_lex_повествование.tsv
про_ADP,0.09,0.03104,31,154.93,fpi_lex_повествование.tsv
напоминать_VERB,-0.12,0.03276,10,163.54,fpi_lex_описание.tsv
сделать_VERB,0.09,0.03578,14,178.62,fpi_lex_повествование.tsv
здесь_ADV,-0.09,0.03846,32,192.02,fpi_lex_повествование.tsv
хотя_SCONJ,-0.09,0.04159,28,207.61,fpi_lex_повествование.tsv
целый_ADJ,-0.09,0.04219,14,210.62,fpi_lex_повествование.tsv
видеться_VERB,0.09,0.04343,87,216.79,fpi_lex_повествование.tsv
взгляд_NOUN,-0.11,0.04482,11,223.75,fpi_lex_описание.tsv
которые_PRON,-0.08,0.04683,17,233.76,fpi_lex_повествование.tsv
