Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
интересный_ADJ,-0.14,0.00111,15,2.58,fpi_lex_повествование.tsv
у_ADP,-0.13,0.00285,186,6.62,fpi_lex_повествование.tsv
вы_PRON,-0.13,0.00314,14,7.3,fpi_lex_повествование.tsv
в_ADP,0.2,0.00344,58,3.37,big5_lex_повествование.tsv
и_CCONJ,-0.11,0.00732,167,17.01,fpi_lex_повествование.tsv
кстати_ADV,0.11,0.00911,17,21.16,fpi_lex_повествование.tsv
приехать_VERB,-0.17,0.01381,12,13.53,big5_lex_повествование.tsv
стать_VERB,-0.1,0.02001,12,46.49,fpi_lex_повествование.tsv
решить_VERB,0.1,0.02053,13,47.7,fpi_lex_повествование.tsv
надо_ADV,-0.1,0.02119,13,49.22,fpi_lex_повествование.tsv
первый_ADJ,-0.1,0.02407,19,55.91,fpi_lex_повествование.tsv
после_ADP,-0.09,0.02664,20,61.89,fpi_lex_повествование.tsv
обязательно_ADV,-0.09,0.02877,11,66.84,fpi_lex_повествование.tsv
погода_NOUN,-0.09,0.03497,16,81.24,fpi_lex_повествование.tsv
будет_AUX,0.09,0.04243,15,98.56,fpi_lex_повествование.tsv
такой_DET,-0.09,0.04618,25,107.28,fpi_lex_повествование.tsv
