Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
к_ADP,-0.15,0.01267,11,15.13,big5_lex_описание.tsv
у_ADP,-0.1,0.01436,19,32.77,fpi_lex_повествование.tsv
этот_DET,0.12,0.02801,23,63.92,fpi_lex_описание.tsv
с_ADP,0.15,0.0291,19,34.75,big5_lex_повествование.tsv
что_SCONJ,0.15,0.03089,11,36.88,big5_lex_повествование.tsv
свой_DET,-0.12,0.03143,45,71.72,fpi_lex_описание.tsv
уже_ADV,-0.11,0.04135,12,94.36,fpi_lex_описание.tsv
смотреть_VERB,-0.11,0.04196,18,95.76,fpi_lex_описание.tsv
очень_ADV,0.14,0.04218,15,50.36,big5_lex_повествование.tsv
за_ADP,0.09,0.0454,13,103.6,fpi_lex_повествование.tsv
