Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
жизнь_NOUN,-0.14,0.00876,45,20.25,fpi_lex_описание.tsv
теперь_ADV,0.14,0.01025,11,23.7,fpi_lex_описание.tsv
возможно_ADV,-0.14,0.01389,26,32.11,fpi_lex_описание.tsv
мочь_VERB,-0.13,0.0216,40,49.93,fpi_lex_описание.tsv
стоить_VERB,0.14,0.02752,14,40.87,big5_lex_описание.tsv
мысль_NOUN,0.13,0.02963,10,44.0,big5_lex_описание.tsv
жить_VERB,0.12,0.0367,19,84.85,fpi_lex_описание.tsv
старуха_NOUN,0.11,0.04026,17,93.07,fpi_lex_описание.tsv
жизнь_NOUN,-0.12,0.04822,15,71.61,big5_lex_описание.tsv
человек_NOUN,-0.11,0.04896,37,113.19,fpi_lex_описание.tsv
