Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
найти_VERB,-0.39,0.0,11,0.0,big5_lex_повествование.tsv
когда_SCONJ,-0.36,0.0,10,0.0,big5_lex_повествование.tsv
помнить_VERB,-0.34,0.0,10,0.0,big5_lex_повествование.tsv
правда_ADV,-0.14,0.00106,19,5.27,fpi_lex_повествование.tsv
момент_NOUN,0.13,0.002,18,10.0,fpi_lex_повествование.tsv
потом_ADV,0.13,0.00214,28,10.68,fpi_lex_повествование.tsv
буду_AUX,0.34,0.00331,14,8.04,big5_lex_рассуждение.tsv
по_ADP,0.2,0.00482,48,11.73,big5_lex_повествование.tsv
ответ_NOUN,-0.12,0.00499,21,24.93,fpi_lex_повествование.tsv
иногда_ADV,-0.11,0.00761,23,38.01,fpi_lex_повествование.tsv
этот_DET,0.11,0.00813,132,40.6,fpi_lex_повествование.tsv
море_NOUN,0.11,0.00852,23,42.54,fpi_lex_повествование.tsv
уехать_VERB,0.11,0.00863,13,43.06,fpi_lex_повествование.tsv
ведь_SCONJ,-0.11,0.0087,10,43.43,fpi_lex_повествование.tsv
-_NOUN,0.11,0.01148,43,57.33,fpi_lex_повествование.tsv
под_ADP,0.11,0.01286,12,64.22,fpi_lex_повествование.tsv
что_PRON,0.15,0.01558,21,37.88,big5_lex_описание.tsv
в_ADP,0.13,0.01782,51,88.94,fpi_lex_описание.tsv
мочь_VERB,0.15,0.01846,11,44.9,big5_lex_описание.tsv
то_PRON,-0.13,0.02175,17,108.56,fpi_lex_описание.tsv
то_DET,-0.12,0.02685,11,134.04,fpi_lex_описание.tsv
соскучиться_VERB,0.15,0.02786,33,67.76,big5_lex_повествование.tsv
через_ADP,-0.09,0.02826,13,141.07,fpi_lex_повествование.tsv
-_DET,-0.12,0.03204,17,159.94,fpi_lex_описание.tsv
красивый_ADJ,0.09,0.0363,22,181.21,fpi_lex_повествование.tsv
со_ADP,0.15,0.0373,19,90.72,big5_lex_повествование.tsv
отдых_NOUN,0.09,0.03899,12,194.62,fpi_lex_повествование.tsv
прийтись_VERB,0.09,0.03975,12,198.43,fpi_lex_повествование.tsv
кстати_ADV,0.09,0.04124,55,205.87,fpi_lex_повествование.tsv
познакомиться_VERB,0.09,0.04297,20,214.5,fpi_lex_повествование.tsv
_SPACE,-0.09,0.04316,43,215.45,fpi_lex_повествование.tsv
поехать_VERB,-0.09,0.04533,30,226.31,fpi_lex_повествование.tsv
сам_ADJ,0.08,0.04668,14,233.05,fpi_lex_повествование.tsv
успеть_VERB,0.08,0.04728,10,236.03,fpi_lex_повествование.tsv
потому_ADV,-0.08,0.04738,29,236.5,fpi_lex_повествование.tsv
деньга_NOUN,0.08,0.04924,12,245.79,fpi_lex_повествование.tsv
раз_NOUN,-0.08,0.04993,26,249.27,fpi_lex_повествование.tsv
