Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
город_NOUN,-0.12,0.00692,18,16.07,fpi_lex_повествование.tsv
часто_ADV,-0.11,0.00998,21,23.19,fpi_lex_повествование.tsv
вспоминать_VERB,-0.09,0.02648,20,61.5,fpi_lex_повествование.tsv
ведь_SCONJ,0.09,0.02683,14,62.33,fpi_lex_повествование.tsv
написать_VERB,-0.09,0.02841,11,66.01,fpi_lex_повествование.tsv
вот_PART,0.09,0.02905,32,67.47,fpi_lex_повествование.tsv
не_PART,0.09,0.02921,219,67.85,fpi_lex_повествование.tsv
так_ADV,0.09,0.0328,86,76.2,fpi_lex_повествование.tsv
твой_DET,-0.09,0.03366,15,78.2,fpi_lex_повествование.tsv
сколько_NUM,-0.09,0.03765,10,87.46,fpi_lex_повествование.tsv
тот_DET,0.09,0.03834,24,89.06,fpi_lex_повествование.tsv
мочь_VERB,0.09,0.04015,23,93.28,fpi_lex_повествование.tsv
стать_VERB,0.09,0.04171,12,96.89,fpi_lex_повествование.tsv
от_ADP,0.09,0.04619,15,107.29,fpi_lex_повествование.tsv
