Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
я_PRON,0.13,0.00151,232,3.1,fpi_lex_повествование.tsv
ты_PRON,0.13,0.00174,196,3.56,fpi_lex_повествование.tsv
сильно_ADV,0.11,0.00976,25,19.99,fpi_lex_повествование.tsv
не_PART,0.11,0.01182,160,24.21,fpi_lex_повествование.tsv
здесь_ADV,0.1,0.01483,20,30.38,fpi_lex_повествование.tsv
вот_PART,0.1,0.01495,23,30.63,fpi_lex_повествование.tsv
скучать_VERB,0.1,0.01643,88,33.66,fpi_lex_повествование.tsv
бояться_VERB,0.1,0.02011,14,41.21,fpi_lex_повествование.tsv
хотеться_VERB,0.1,0.02156,51,44.17,fpi_lex_повествование.tsv
стать_VERB,0.09,0.02748,10,56.31,fpi_lex_повествование.tsv
сессия_NOUN,0.09,0.02763,21,56.61,fpi_lex_повествование.tsv
на_ADP,-0.12,0.02951,16,60.46,fpi_lex_описание.tsv
хватать_VERB,0.09,0.03633,31,74.45,fpi_lex_повествование.tsv
по_ADP,0.09,0.04418,110,90.52,fpi_lex_повествование.tsv
