Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
работать_VERB,-0.14,0.00145,44,7.24,fpi_lex_повествование.tsv
за_ADP,0.13,0.00187,108,9.32,fpi_lex_повествование.tsv
учёба_NOUN,0.12,0.00465,80,23.22,fpi_lex_повествование.tsv
где_ADV,0.12,0.00504,19,25.16,fpi_lex_повествование.tsv
хотеться_VERB,0.12,0.00576,54,28.77,fpi_lex_повествование.tsv
море_NOUN,-0.12,0.00656,23,32.75,fpi_lex_повествование.tsv
нормальный_ADJ,-0.11,0.00784,37,39.12,fpi_lex_повествование.tsv
я_PRON,0.11,0.01125,215,56.18,fpi_lex_повествование.tsv
ли_PART,0.11,0.0124,18,61.88,fpi_lex_повествование.tsv
сложный_ADJ,0.1,0.01431,15,71.41,fpi_lex_повествование.tsv
скучать_VERB,0.1,0.0144,74,71.89,fpi_lex_повествование.tsv
вечер_NOUN,-0.1,0.01527,17,76.23,fpi_lex_повествование.tsv
университет_NOUN,0.1,0.0175,38,87.36,fpi_lex_повествование.tsv
друг_NOUN,-0.1,0.01752,50,87.44,fpi_lex_повествование.tsv
подруга_NOUN,-0.1,0.01798,10,89.77,fpi_lex_повествование.tsv
и_CCONJ,0.1,0.01941,298,96.88,fpi_lex_повествование.tsv
сама_ADJ,0.1,0.02022,17,100.95,fpi_lex_повествование.tsv
у_ADP,0.13,0.02062,38,102.92,fpi_lex_описание.tsv
здесь_ADV,0.1,0.02087,32,104.19,fpi_lex_повествование.tsv
они_PRON,0.1,0.02182,78,108.93,fpi_lex_повествование.tsv
вернуться_VERB,-0.1,0.02404,15,120.03,fpi_lex_повествование.tsv
прийтись_VERB,-0.09,0.02606,12,130.08,fpi_lex_повествование.tsv
постоянно_ADV,0.09,0.02631,10,131.33,fpi_lex_повествование.tsv
понять_VERB,0.09,0.02643,15,131.95,fpi_lex_повествование.tsv
совсем_ADV,0.09,0.02817,26,140.62,fpi_lex_повествование.tsv
бесить_VERB,0.09,0.02892,11,144.35,fpi_lex_повествование.tsv
прийти_VERB,-0.09,0.02924,11,145.95,fpi_lex_повествование.tsv
сейчас_ADV,-0.09,0.0305,88,152.26,fpi_lex_повествование.tsv
понимать_VERB,0.09,0.03253,32,162.39,fpi_lex_повествование.tsv
парень_NOUN,0.09,0.03404,13,169.92,fpi_lex_повествование.tsv
педагогический_ADJ,0.09,0.04233,14,211.31,fpi_lex_повествование.tsv
как_ADV,-0.11,0.04334,14,216.37,fpi_lex_описание.tsv
бабушка_NOUN,-0.11,0.04347,10,217.02,fpi_lex_описание.tsv
и_CCONJ,-0.11,0.04533,70,226.27,fpi_lex_описание.tsv
как_ADV,-0.09,0.0459,109,229.11,fpi_lex_повествование.tsv
но_CCONJ,0.08,0.04681,196,233.66,fpi_lex_повествование.tsv
найти_VERB,0.08,0.04725,23,235.86,fpi_lex_повествование.tsv
под_ADP,-0.08,0.04733,12,236.29,fpi_lex_повествование.tsv
