,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Как,как,SCONJ,mark,"[7, 32]",[],
4,по,по,ADP,case,"[7, 32]",[],
7,мне,я,PRON,obl,[32],"[0, 4]",Case=Dat|Number=Sing|Person=First
10,",",",",PUNCT,punct,[32],[],
12,так,так,ADV,advmod,[32],[],Degree=Pos
16,на,на,ADP,case,"[24, 32]",[],
19,этой,этот,DET,det,"[24, 32]",[],Case=Loc|Gender=Fem|Number=Sing
24,картине,картина,NOUN,obl,[32],"[16, 19]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
32,изображена,изобразить,VERB,ROOT,[],"[7, 10, 12, 24, 43, 49, 128]",Aspect=Perf|Gender=Fem|Number=Sing|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
43,то,то,CCONJ,nsubj:pass,[32],[46],
46,ли,ли,PART,fixed,"[43, 32]",[],
49,девушка,девушка,NOUN,nsubj:pass,[32],"[64, 121]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
56,",",",",PUNCT,punct,"[64, 49, 32]",[],
58,то,то,SCONJ,cc,"[64, 49, 32]",[61],
61,ли,ли,PART,fixed,"[58, 64, 49, 32]",[],
64,мужик,мужик,NOUN,appos,"[49, 32]","[56, 58, 82]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
70,(,(,PUNCT,punct,"[82, 64, 49, 32]",[],
71,я,я,PRON,nsubj,"[82, 64, 49, 32]",[],Case=Nom|Number=Sing|Person=First
73,так,так,ADV,advmod,"[82, 64, 49, 32]",[77],Degree=Pos
77,и,и,PART,fixed,"[73, 82, 64, 49, 32]",[],
79,не,не,PART,advmod,"[82, 64, 49, 32]",[],Polarity=Neg
82,понял,понять,VERB,parataxis,"[64, 49, 32]","[70, 71, 73, 79, 87]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
87,),),PUNCT,punct,"[82, 64, 49, 32]",[],
88,",",",",PUNCT,punct,"[121, 49, 32]",[],
90,и,и,CCONJ,cc,"[121, 49, 32]",[],
92,стоящая,стоить,VERB,acl,"[121, 49, 32]",[107],Aspect=Imp|Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act
100,за,за,ADP,case,"[107, 92, 121, 49, 32]",[],
103,его,его,DET,det,"[107, 92, 121, 49, 32]",[],
107,спиной,спина,NOUN,obl,"[92, 121, 49, 32]","[100, 103]",Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
114,старая,старый,ADJ,amod,"[121, 49, 32]",[],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
121,женщина,женщина,NOUN,conj,"[49, 32]","[88, 90, 92, 114]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
128,.,.,PUNCT,punct,[32],[],
130,Что,что,PRON,mark,"[143, 165]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
134,нам,мы,PRON,iobj,"[143, 165]",[],Case=Dat|Number=Plur|Person=First
138,этим,это,PRON,obl,"[143, 165]",[],Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
143,хотел,хотеть,VERB,advcl,[165],"[130, 134, 138, 149, 163]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
149,показать,показать,VERB,xcomp,"[143, 165]",[158],Aspect=Perf|VerbForm=Inf|Voice=Act
158,автор,автор,NOUN,obj,"[149, 143, 165]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
163,",",",",PUNCT,punct,"[143, 165]",[],
165,стоит,стоить,VERB,ROOT,[],"[143, 178, 190]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
171,только,только,PART,advmod,"[178, 165]",[],
178,догадываться,догадываться,VERB,csubj,[165],[171],Aspect=Imp|VerbForm=Inf|Voice=Mid
190,.,.,PUNCT,punct,[165],[],
