,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],[6],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,.,.,PUNCT,punct,[0],[],
8,У,у,ADP,case,"[10, 19]",[],
10,меня,я,PRON,obl,[19],[8],Case=Gen|Number=Sing|Person=First
15,всё,всё,PRON,nsubj,[19],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
19,хорошо,хороший,ADJ,ROOT,[],"[10, 15, 43, 52]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
25,",",",",PUNCT,punct,"[43, 19]",[],
27,если,если,SCONJ,mark,"[43, 19]",[],
32,тебе,ты,PRON,iobj,"[43, 19]",[],Case=Dat|Number=Sing|Person=Second
37,вдруг,вдруг,ADV,advmod,"[43, 19]",[],Degree=Pos
43,интересно,интересный,ADJ,advcl,[19],"[25, 27, 32, 37]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
52,.,.,PUNCT,punct,[19],[],
54,На,на,ADP,case,"[58, 66]",[],
57,«,"""",PUNCT,punct,"[58, 66]",[],
58,письмо,письмо,NOUN,obl,[66],"[54, 57, 64]",Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
64,»,"""",PUNCT,punct,"[58, 66]",[],
66,можешь,мочь,VERB,ROOT,[],"[58, 76, 84]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Second|Tense=Pres|VerbForm=Fin|Voice=Act
73,не,не,PART,advmod,"[76, 66]",[],Polarity=Neg
76,отвечать,отвечать,VERB,xcomp,[66],[73],Aspect=Imp|VerbForm=Inf|Voice=Act
84,.,.,PUNCT,punct,[66],[],
86,Пока,пока,ADV,ROOT,[],[90],Degree=Pos
90,.,.,PUNCT,punct,[86],[],
