,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Студентка,студентка,NOUN,nsubj,[48],"[26, 39]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
10,педагогического,педагогический,ADJ,amod,"[26, 0, 48]",[],Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
26,университета,университет,NOUN,nmod,"[0, 48]",[10],Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
39,Светлана,светлана,PROPN,appos,"[0, 48]",[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
48,готовилась,готовиться,VERB,ROOT,[],"[0, 61, 83]",Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
59,к,к,ADP,case,"[61, 48]",[],
61,семинару,семинар,NOUN,obl,[48],"[59, 73]",Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
70,по,по,ADP,case,"[73, 61, 48]",[],
73,литературе,литература,NOUN,nmod,"[61, 48]",[70],Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
83,.,.,PUNCT,punct,[48],[],
85,В,в,ADP,case,"[87, 115]",[],
87,библиотеке,библиотека,NOUN,obl,[115],[85],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
98,она,она,PRON,nsubj,[115],[],Case=Nom|Gender=Fem|Number=Sing|Person=Third
101,",",",",PUNCT,punct,"[107, 115]",[],
103,как,как,SCONJ,mark,"[107, 115]",[],
107,обычно,обычно,ADV,parataxis,[115],"[101, 103, 113]",Degree=Pos
113,",",",",PUNCT,punct,"[107, 115]",[],
115,взяла,взять,VERB,ROOT,[],"[87, 98, 107, 131, 135]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
121,несколько,несколько,NUM,nummod:gov,"[131, 115]",[],Animacy=Inan|Case=Acc
131,книг,книга,NOUN,obj,[115],[121],Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
135,.,.,PUNCT,punct,[115],[],
137,Одна,одна,NUM,nsubj,[149],[145],Case=Nom|Gender=Fem|Number=Sing
142,из,из,ADP,case,"[145, 137, 149]",[],
145,них,они,PRON,nmod,"[137, 149]",[142],Case=Gen|Number=Plur|Person=Third
149,заинтересовала,заинтересовать,VERB,ROOT,[],"[137, 164, 173, 189]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
164,Светлану,светлана,PROPN,obj,[149],[],Animacy=Anim|Case=Acc|Gender=Fem|Number=Sing
173,больше,больше,NUM,advmod,[149],[180],Degree=Cmp
180,остальных,остальных,ADJ,obl,"[173, 149]",[],Case=Gen|Degree=Pos|Number=Plur
189,.,.,PUNCT,punct,[149],[],
191,Произведение,произведение,NOUN,nsubj:pass,[204],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
204,называлось,называться,VERB,ROOT,[],"[191, 216, 233]",Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Pass
215,«,"""",PUNCT,punct,"[216, 204]",[],
216,Жизнь,жизнь,NOUN,xcomp,[204],"[215, 224, 232]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
222,в,в,ADP,case,"[224, 216, 204]",[],
224,Отрадном,отрадный,ADJ,nmod,"[216, 204]",[222],Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
232,»,"""",PUNCT,punct,"[216, 204]",[],
233,.,.,PUNCT,punct,[204],[],
235,Действие,действие,NOUN,nsubj,[244],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
244,происходит,происходить,VERB,ROOT,[],"[235, 257, 285]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
255,в,в,ADP,case,"[257, 244]",[],
257,селе,село,NOUN,obl,[244],"[255, 262, 281]",Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
262,Отрадное,отрадное,PROPN,appos,"[257, 244]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
271,в,в,ADP,case,"[281, 257, 244]",[],
273,прошлом,прошлый,ADJ,amod,"[281, 257, 244]",[],Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
281,веке,век,NOUN,nmod,"[257, 244]","[271, 273]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
285,.,.,PUNCT,punct,[244],[],
287,Главные,главный,ADJ,amod,"[295, 315]",[],Case=Nom|Degree=Pos|Number=Plur
295,герои,герой,NOUN,nsubj,[315],"[287, 301]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
301,—,—,PUNCT,punct,"[295, 315]",[],
303,это,это,PART,expl,[315],[],
307,молодая,молодой,ADJ,amod,[315],[],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
315,девушка,девушка,NOUN,ROOT,[],"[295, 303, 307, 323, 327]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
323,Анна,анна,PROPN,appos,[315],[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
327,.,.,PUNCT,punct,[315],[],
329,Она,она,PRON,nsubj,[333],[],Case=Nom|Gender=Fem|Number=Sing|Person=Third
333,ждет,ждать,VERB,ROOT,[],"[329, 341, 359, 387, 490]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
338,со,со,ADP,case,"[341, 333]",[],
341,службы,служба,NOUN,obl,[333],"[338, 348]",Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
348,любимого,любимый,ADJ,nmod,"[341, 333]",[],Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
357,и,и,CCONJ,cc,"[359, 333]",[],
359,готовится,готовиться,VERB,conj,[333],"[357, 369]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
369,стать,стать,VERB,xcomp,"[359, 333]",[375],Aspect=Perf|VerbForm=Inf|Voice=Act
375,матерью,мать,NOUN,xcomp,"[369, 359, 333]",[],Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing
382,",",",",PUNCT,punct,"[387, 333]",[],
384,но,но,CCONJ,cc,"[387, 333]",[],
387,боится,бояться,VERB,conj,[333],"[382, 384, 398]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
393,",",",",PUNCT,punct,"[398, 387, 333]",[],
395,не,не,PART,advmod,"[398, 387, 333]",[],Polarity=Neg
398,родится,родиться,VERB,ccomp,"[387, 333]","[393, 395, 406, 409, 433]",Aspect=Perf|Mood=Ind|Number=Sing|Person=Third|Tense=Fut|VerbForm=Fin|Voice=Mid
406,ли,ли,PART,advmod,"[398, 387, 333]",[],
409,дочь,дочь,NOUN,nsubj,"[398, 387, 333]",[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
413,",",",",PUNCT,punct,"[433, 398, 387, 333]",[],
415,потому,потому,ADV,mark,"[433, 398, 387, 333]",[422],Degree=Pos
422,что,что,SCONJ,fixed,"[415, 433, 398, 387, 333]",[],
426,муж,муж,NOUN,nsubj,"[433, 398, 387, 333]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
430,ее,она,PRON,obj,"[433, 398, 387, 333]",[],Case=Acc|Gender=Fem|Number=Sing|Person=Third
433,ждет,ждать,VERB,advcl,"[398, 387, 333]","[413, 415, 426, 430, 438, 483]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
438,наследника,наследник,NOUN,nsubj,"[433, 398, 387, 333]",[],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
448,",",",",PUNCT,punct,"[483, 433, 398, 387, 333]",[],
450,а,а,CCONJ,cc,"[483, 433, 398, 387, 333]",[],
452,первые,первый,ADJ,amod,"[459, 464, 483, 433, 398, 387, 333]",[],Case=Nom|Degree=Pos|Number=Plur
459,двое,двое,NUM,nummod:gov,"[464, 483, 433, 398, 387, 333]",[452],Case=Nom
464,детей,ребёнок,NOUN,nsubj,"[483, 433, 398, 387, 333]","[459, 475]",Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
470,в,в,ADP,case,"[475, 464, 483, 433, 398, 387, 333]",[],
