,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,На,на,ADP,case,"[10, 23]",[],
3,данной,данной,ADJ,amod,"[10, 23]",[],Case=Loc|Degree=Pos|Gender=Fem|Number=Sing
10,картине,картина,NOUN,obl,[23],"[0, 3, 17]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
17,",",",",PUNCT,punct,"[10, 23]",[],
19,мне,я,PRON,iobj,[23],[],Case=Dat|Number=Sing|Person=First
23,кажется,казаться,VERB,ROOT,[],"[10, 19, 31, 70]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
31,изображен,изобразить,VERB,csubj,[23],[49],Aspect=Perf|Gender=Masc|Number=Sing|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
41,молодой,молодой,ADJ,amod,"[49, 31, 23]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
49,человек,человек,NOUN,nsubj:pass,"[31, 23]","[41, 63]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
57,и,и,CCONJ,cc,"[63, 49, 31, 23]",[],
59,его,его,PRON,nmod,"[63, 49, 31, 23]",[],Case=Gen|Gender=Masc|Number=Sing|Person=Third
63,бабушка,бабушка,NOUN,conj,"[49, 31, 23]","[57, 59]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
70,.,.,PUNCT,punct,[23],[],
72,И,и,CCONJ,cc,[78],[],
74,мне,я,PRON,iobj,[78],[],Case=Dat|Number=Sing|Person=First
78,кажется,казаться,VERB,ROOT,[],"[72, 74, 99, 144]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
85,",",",",PUNCT,punct,"[99, 78]",[],
87,что,что,SCONJ,mark,"[99, 78]",[],
91,бабушка,бабушка,NOUN,nsubj,"[99, 78]",[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
99,умерла,умереть,VERB,ccomp,[78],"[85, 87, 91, 126, 138]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
105,",",",",PUNCT,punct,"[126, 99, 78]",[],
107,а,а,CCONJ,cc,"[126, 99, 78]",[],
109,парню,парень,NOUN,iobj,"[126, 99, 78]",[],Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing
115,она,она,PRON,nsubj,"[126, 99, 78]",[],Case=Nom|Gender=Fem|Number=Sing|Person=Third
119,просто,просто,PART,advmod,"[126, 99, 78]",[],
126,кажется,казаться,VERB,conj,"[99, 78]","[105, 107, 109, 115, 119]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
134,или,или,CCONJ,cc,"[138, 99, 78]",[],
138,снится,сниться,VERB,conj,"[99, 78]",[134],Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
144,.,.,PUNCT,punct,[78],[],
146,Он,он,PRON,nsubj,[156],[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
149,по,по,ADP,case,"[152, 156]",[],
152,ней,она,PRON,obl,[156],[149],Case=Dat|Gender=Fem|Number=Sing|Person=Third
156,соскучился,соскучиться,VERB,ROOT,[],"[146, 152, 166]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
166,.,.,PUNCT,punct,[156],[],
