,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Объединяю,объединять,VERB,ROOT,[],"[15, 34]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
10,свой,свой,DET,det,"[15, 0]",[],Case=Acc|Gender=Masc|Number=Sing
15,миллион,миллион,NOUN,obj,[0],"[10, 25]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
23,с,с,ADP,case,"[25, 15, 0]",[],
25,анкетой,анкета,NOUN,nmod,"[15, 0]","[23, 33]",Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
33,1,1,NUM,appos,"[25, 15, 0]",[],
34,.,.,PUNCT,punct,[0],[],
36,1,1,NUM,ROOT,[],[37],
37,),),PUNCT,punct,[36],[],
39,Разделю,разделю,PROPN,iobj,[47],[],Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing
47,деньги,деньга,NOUN,ROOT,[],"[39, 61, 66]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
54,на,на,ADP,case,"[61, 47]",[],
57,три,три,NUM,nummod:gov,"[61, 47]",[],Animacy=Inan|Case=Acc
61,части,часть,NOUN,nmod,[47],"[54, 57]",Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
66,.,.,PUNCT,punct,[47],[],
68,Одну,одну,NUM,nummod,[73],[],Case=Acc|Gender=Fem|Number=Sing
73,отдам,отдать,VERB,ROOT,[],"[68, 100, 470]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
79,на,на,ADP,case,"[100, 73]",[],
82,благотворительные,благотворительный,ADJ,amod,"[100, 73]",[],Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
100,организации,организация,NOUN,obl,[73],"[79, 82, 113]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
112,(,(,PUNCT,punct,"[113, 100, 73]",[],
113,построю,построить,VERB,parataxis,"[100, 73]","[112, 121, 155, 173, 231, 300, 404, 469]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
121,приют,приют,NOUN,obj,"[113, 100, 73]",[131],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
127,для,для,ADP,case,"[131, 121, 113, 100, 73]",[],
131,людей,человек,NOUN,nmod,"[121, 113, 100, 73]",[127],Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
137,без,без,ADP,case,"[155, 113, 100, 73]",[],
141,определенного,определённый,ADJ,amod,"[155, 113, 100, 73]",[],Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
155,места,место,NOUN,obl,"[113, 100, 73]","[137, 141, 161]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
161,жительства,жительство,NOUN,nmod,"[155, 113, 100, 73]",[],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
171,",",",",PUNCT,punct,"[173, 113, 100, 73]",[],
173,открою,откроить,VERB,conj,"[113, 100, 73]","[171, 180]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
180,клинику,клиника,NOUN,obj,"[173, 113, 100, 73]","[192, 216]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
188,для,для,ADP,case,"[192, 180, 173, 113, 100, 73]",[],
192,больных,больных,NOUN,nmod,"[180, 173, 113, 100, 73]",[188],Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
200,онкологическими,онкологический,ADJ,amod,"[216, 180, 173, 113, 100, 73]",[],Case=Ins|Degree=Pos|Number=Plur
216,заболеваниями,заболевание,NOUN,nmod,"[180, 173, 113, 100, 73]",[200],Animacy=Inan|Case=Ins|Gender=Neut|Number=Plur
229,",",",",PUNCT,punct,"[231, 113, 100, 73]",[],
231,открою,откроить,VERB,conj,"[113, 100, 73]","[229, 238]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
238,организацию,организация,NOUN,obj,"[231, 113, 100, 73]",[254],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
250,для,для,ADP,case,"[254, 238, 231, 113, 100, 73]",[],
254,людей,человек,NOUN,nmod,"[238, 231, 113, 100, 73]","[250, 261]",Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
259,",",",",PUNCT,punct,"[261, 254, 238, 231, 113, 100, 73]",[],
261,попавших,попасть,VERB,acl,"[254, 238, 231, 113, 100, 73]","[259, 290, 298]",Aspect=Perf|Case=Gen|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act
270,в,в,ADP,case,"[290, 261, 254, 238, 231, 113, 100, 73]",[],
272,трудную,трудный,ADJ,amod,"[290, 261, 254, 238, 231, 113, 100, 73]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
280,жизненную,жизненный,ADJ,amod,"[290, 261, 254, 238, 231, 113, 100, 73]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
290,ситуацию,ситуация,NOUN,obl,"[261, 254, 238, 231, 113, 100, 73]","[270, 272, 280]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
298,",",",",PUNCT,punct,"[261, 254, 238, 231, 113, 100, 73]",[],
300,отправляю,отправлять,VERB,conj,"[113, 100, 73]","[323, 332, 346]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
310,гуманитарную,гуманитарный,ADJ,amod,"[323, 300, 113, 100, 73]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
323,помощь,помощь,NOUN,obj,"[300, 113, 100, 73]",[310],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
330,в,в,ADP,case,"[332, 300, 113, 100, 73]",[],
332,Африку,африка,PROPN,obl,"[300, 113, 100, 73]","[330, 340]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
338,",",",",PUNCT,punct,"[340, 332, 300, 113, 100, 73]",[],
340,строю,строй,NOUN,conj,"[332, 300, 113, 100, 73]",[338],Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
346,приют,приют,NOUN,obj,"[300, 113, 100, 73]",[366],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
352,для,для,ADP,case,"[366, 346, 300, 113, 100, 73]",[],
356,бездомных,бездомный,ADJ,amod,"[366, 346, 300, 113, 100, 73]",[],Case=Gen|Degree=Pos|Number=Plur
366,животных,животное,NOUN,nmod,"[346, 300, 113, 100, 73]","[352, 356, 393]",Animacy=Anim|Case=Gen|Gender=Neut|Number=Plur
375,(,(,PUNCT,punct,"[393, 366, 346, 300, 113, 100, 73]",[],
376,со,со,ADP,case,"[393, 366, 346, 300, 113, 100, 73]",[],
379,определенными,определённый,ADJ,amod,"[393, 366, 346, 300, 113, 100, 73]",[],Case=Ins|Degree=Pos|Number=Plur
393,уставами,уставами,NOUN,parataxis,"[366, 346, 300, 113, 100, 73]","[375, 376, 379, 401]",Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur
401,),),PUNCT,punct,"[393, 366, 346, 300, 113, 100, 73]",[],
402,",",",",PUNCT,punct,"[404, 113, 100, 73]",[],
404,открою,откроить,VERB,conj,"[113, 100, 73]","[402, 411]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
411,организацию,организация,NOUN,obj,"[404, 113, 100, 73]",[424],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
422,",",",",PUNCT,punct,"[424, 411, 404, 113, 100, 73]",[],
424,планирующую,планировать,VERB,acl,"[411, 404, 113, 100, 73]","[422, 447]",Aspect=Imp|Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act
436,дальнейшую,дальнейший,ADJ,amod,"[447, 424, 411, 404, 113, 100, 73]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
447,судьбу,судьба,NOUN,obj,"[424, 411, 404, 113, 100, 73]","[436, 464]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
454,брошенных,бросить,VERB,amod,"[464, 447, 424, 411, 404, 113, 100, 73]",[],Aspect=Perf|Case=Gen|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
464,детей,ребёнок,NOUN,nmod,"[447, 424, 411, 404, 113, 100, 73]",[454],Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
469,),),PUNCT,punct,"[113, 100, 73]",[],
470,.,.,PUNCT,punct,[73],[],
472,2,2,NUM,ROOT,[],[473],
473,),),PUNCT,punct,[472],[],
475,Строим,строим,PROPN,ROOT,[],"[490, 516, 592]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
482,в,в,ADP,case,"[490, 475]",[],
484,своем,свой,DET,det,"[490, 475]",[],Case=Loc|Gender=Masc|Number=Sing
490,городе,город,NOUN,nmod,[475],"[482, 484, 497]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
497,парк,парк,PROPN,appos,"[490, 475]",[502],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
502,развлечений,развлечение,NOUN,nmod,"[497, 490, 475]",[],Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
514,и,и,CCONJ,cc,"[516, 475]",[],
516,делаем,делать,VERB,conj,[475],"[514, 523, 539]",Aspect=Imp|Mood=Ind|Number=Plur|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
523,это,это,PRON,obj,"[516, 475]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
527,с,с,ADP,case,"[539, 516, 475]",[],
529,льготными,льготный,ADJ,amod,"[539, 516, 475]",[],Case=Ins|Degree=Pos|Number=Plur
539,условиями,условие,NOUN,obl,"[516, 475]","[527, 529, 553]",Animacy=Inan|Case=Ins|Gender=Neut|Number=Plur
549,для,для,ADP,case,"[553, 539, 516, 475]",[],
553,людей,человек,NOUN,nmod,"[539, 516, 475]","[549, 585]",Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
559,определенного,определённый,ADJ,amod,"[585, 553, 539, 516, 475]",[],Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
573,социального,социальный,ADJ,amod,"[585, 553, 539, 516, 475]",[],Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
585,статуса,статус,NOUN,nmod,"[553, 539, 516, 475]","[559, 573]",Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
592,.,.,PUNCT,punct,[475],[],
594,3,3,NUM,nsubj,[597],[595],
595,),),PUNCT,punct,"[594, 597]",[],
597,Покупаю,покупать,VERB,ROOT,[],"[594, 605, 610, 637, 666]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
605,себе,себя,PRON,iobj,[597],[],Case=Dat
610,домик,домик,NOUN,obj,[597],[628],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
616,на,на,ADP,case,"[628, 610, 597]",[],
619,Лазурном,лазурный,ADJ,amod,"[628, 610, 597]",[],Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
628,берегу,берег,NOUN,nmod,"[610, 597]","[616, 619]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
635,и,и,CCONJ,cc,"[637, 597]",[],
637,делаю,делать,VERB,conj,[597],"[635, 643, 655]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
643,там,там,ADV,advmod,"[637, 597]",[],Degree=Pos
647,большую,больший,ADJ,amod,"[655, 637, 597]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
655,гардеробную,гардеробную,NOUN,obj,"[637, 597]",[647],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
666,.,.,PUNCT,punct,[597],[],
668,4,4,NUM,nummod,[671],[669],
669,),),PUNCT,punct,"[668, 671]",[],
