,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],[6],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,!,!,PUNCT,punct,[0],[],
8,Наконец,наконец,ADV,advmod,[19],[],Degree=Pos
15,-,-,ADV,advmod,[19],[],Degree=Pos
16,то,то,ADV,advmod,[19],[],Degree=Pos
19,собралась,собраться,VERB,ROOT,[],"[8, 15, 16, 34, 42]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
29,тебе,ты,PRON,iobj,"[34, 19]",[],Case=Dat|Number=Sing|Person=Second
34,написать,написать,VERB,xcomp,[19],[29],Aspect=Perf|VerbForm=Inf|Voice=Act
42,.,.,PUNCT,punct,[19],[],
44,Извини,извини,NOUN,ROOT,[],"[59, 130]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
50,",",",",PUNCT,punct,"[59, 44]",[],
52,что,что,SCONJ,mark,"[59, 44]",[],
56,не,не,PART,advmod,"[59, 44]",[],Polarity=Neg
59,сделала,сделать,VERB,ccomp,[44],"[50, 52, 56, 67, 71, 90]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
67,это,это,PRON,obj,"[59, 44]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
71,раньше,раньше,ADV,advmod,"[59, 44]",[],Degree=Cmp
77,",",",",PUNCT,punct,"[90, 59, 44]",[],
79,так,так,ADV,mark,"[90, 59, 44]",[83],Degree=Pos
83,как,как,SCONJ,fixed,"[79, 90, 59, 44]",[],
87,не,не,PART,advmod,"[90, 59, 44]",[],Polarity=Neg
90,люблю,любить,VERB,advcl,"[59, 44]","[77, 79, 87, 96]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
96,писать,писать,VERB,xcomp,"[90, 59, 44]","[103, 122]",Aspect=Imp|VerbForm=Inf|Voice=Act
103,письма,письмо,NOUN,obj,"[96, 90, 59, 44]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur
109,",",",",PUNCT,punct,"[122, 96, 90, 59, 44]",[],
111,особенно,особенно,ADV,advmod,"[122, 96, 90, 59, 44]",[],Degree=Pos
120,в,в,ADP,case,"[122, 96, 90, 59, 44]",[],
122,соцсетях,соцсетях,NOUN,obl,"[96, 90, 59, 44]","[109, 111, 120]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur
130,.,.,PUNCT,punct,[44],[],
132,Очень,очень,ADV,advmod,"[141, 146]",[],Degree=Pos
138,по,по,ADP,case,"[141, 146]",[],
141,тебе,ты,PRON,obl,[146],"[132, 138]",Case=Dat|Number=Sing|Person=Second
146,скучаю,скучать,VERB,ROOT,[],"[141, 154, 205]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
152,",",",",PUNCT,punct,"[154, 146]",[],
154,хотелось,хотеться,VERB,conj,[146],"[152, 163, 166]",Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
163,бы,бы,AUX,aux,"[154, 146]",[],Mood=Cnd
166,встретиться,встретиться,VERB,xcomp,"[154, 146]",[195],Aspect=Perf|VerbForm=Inf|Voice=Mid
178,лично,лично,ADV,advmod,"[195, 166, 154, 146]",[],Degree=Pos
