,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Я,я,PRON,nsubj,[13],[],Case=Nom|Number=Sing|Person=First
2,бы,бы,AUX,aux,[13],[],Mood=Cnd
5,сначала,сначала,ADV,advmod,[13],[],Degree=Pos
13,последовал,последовать,VERB,ROOT,[],"[0, 2, 5, 24, 79]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
24,выражению,выражение,NOUN,iobj,[13],[46],Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
34,«,"""",PUNCT,punct,"[46, 24, 13]",[],
35,Кто,кто,PRON,nsubj,"[46, 24, 13]",[],Case=Nom
39,сам,сам,ADJ,acl,"[46, 24, 13]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
43,не,не,PART,advmod,"[46, 24, 13]",[],Polarity=Neg
46,дает,давать,VERB,appos,"[24, 13]","[34, 35, 39, 43, 73]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
50,",",",",PUNCT,punct,"[73, 46, 24, 13]",[],
52,тому,тому,PRON,iobj,"[73, 46, 24, 13]",[],Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
57,тоже,тоже,ADV,advmod,"[73, 46, 24, 13]",[],Degree=Pos
62,никогда,никогда,ADV,advmod,"[73, 46, 24, 13]",[],Degree=Pos
70,не,не,PART,advmod,"[73, 46, 24, 13]",[],Polarity=Neg
73,дадут,дать,VERB,conj,"[46, 24, 13]","[50, 52, 57, 62, 70, 78]",Aspect=Perf|Mood=Ind|Number=Plur|Person=Third|Tense=Fut|VerbForm=Fin|Voice=Act
78,!,!,PUNCT,punct,"[73, 46, 24, 13]",[],
79,»,"""",PUNCT,punct,[13],[],
81,И,и,CCONJ,cc,[111],[],
83,вот,вот,PART,advmod,"[87, 111]",[],
87,я,я,PRON,nsubj,[111],[83],Case=Nom|Number=Sing|Person=First
89,бы,бы,AUX,aux,[111],[],Mood=Cnd
92,определенную,определённый,ADJ,amod,"[105, 111]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
105,сумму,сумма,NOUN,obj,[111],[92],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
111,передал,передать,VERB,ROOT,[],"[81, 87, 89, 105, 129, 150, 170]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
119,в,в,ADP,case,"[129, 111]",[],
121,детский,детский,ADJ,amod,"[129, 111]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
129,дом,дом,NOUN,obl,[111],"[119, 121]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
133,и,и,CCONJ,cc,"[150, 111]",[],
135,обязательно,обязательно,ADV,advmod,"[150, 111]",[],Degree=Pos
147,на,на,ADP,case,"[150, 111]",[],
150,восстановление,восстановление,NOUN,obl,[111],"[133, 135, 147, 165]",Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
165,храма,храм,NOUN,nmod,"[150, 111]",[],Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
170,.,.,PUNCT,punct,[111],[],
172,Потом,потом,ADV,advmod,[188],[],Degree=Pos
177,",",",",PUNCT,punct,"[179, 188]",[],
179,конечно,конечно,ADV,parataxis,[188],"[177, 186]",Degree=Pos
186,",",",",PUNCT,punct,"[179, 188]",[],
188,помог,помочь,VERB,ROOT,[],"[172, 179, 200, 205]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
194,своей,свой,DET,det,"[200, 188]",[],Case=Dat|Gender=Fem|Number=Sing
200,семье,семья,NOUN,iobj,[188],[194],Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
205,!,!,PUNCT,punct,[188],[],
207,И,и,CCONJ,cc,[233],[],
209,вот,вот,PART,advmod,"[213, 233]",[],
213,наконец,наконец,ADV,advmod,[233],[209],Degree=Pos
220,-,-,ADV,advmod,[233],[],Degree=Pos
221,то,то,ADV,advmod,[233],[],Degree=Pos
224,я,я,PRON,nsubj,[233],[],Case=Nom|Number=Sing|Person=First
226,бы,бы,AUX,aux,[233],[],Mood=Cnd
229,все,все,PRON,nsubj,[233],[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
233,постарался,постараться,VERB,ROOT,[],"[207, 213, 220, 221, 224, 226, 229, 266, 324]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
244,куда,куда,ADV,advmod,"[266, 233]",[],Degree=Pos
248,-,-,ADV,advmod,"[256, 266, 233]",[],Degree=Pos
249,нибудь,нибудь,ADV,advmod,"[256, 266, 233]",[],Degree=Pos
256,правильно,правильно,ADV,advmod,"[266, 233]","[248, 249]",Degree=Pos
266,вложить,вложить,VERB,xcomp,[233],"[244, 256, 308]",Aspect=Perf|VerbForm=Inf|Voice=Act
273,",",",",PUNCT,punct,"[308, 266, 233]",[],
275,чтобы,чтобы,SCONJ,mark,"[308, 266, 233]",[],Mood=Cnd
281,эти,этот,DET,det,"[301, 308, 266, 233]",[],Case=Nom|Number=Plur
285,легко,легко,ADV,advmod,"[291, 301, 308, 266, 233]",[],Degree=Pos
