,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Салют,салют,NOUN,ROOT,[],"[7, 12]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
5,",",",",PUNCT,punct,"[7, 0]",[],
7,чувак,чувак,NOUN,conj,[0],[5],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
12,.,.,PUNCT,punct,[0],[],
14,Давненько,давненько,ADV,advmod,[27],[],Degree=Pos
24,не,не,PART,advmod,[27],[],Polarity=Neg
27,виделись,видеться,VERB,ROOT,[],"[14, 24, 35]",Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid
35,.,.,PUNCT,punct,[27],[],
37,Кстати,кстати,ADV,parataxis,[53],[43],Degree=Pos
43,",",",",PUNCT,punct,"[37, 53]",[],
45,я,я,PRON,nsubj,[53],[],Case=Nom|Number=Sing|Person=First
47,сново,сново,ADV,advmod,[53],[],Degree=Pos
53,начал,начать,VERB,ROOT,[],"[37, 45, 47, 59, 99, 138, 153, 199]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
59,писать,писать,VERB,xcomp,[53],[66],Aspect=Imp|VerbForm=Inf|Voice=Act
66,почты,почта,NOUN,obj,"[59, 53]",[77],Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
72,для,для,ADP,case,"[77, 66, 59, 53]",[],
76,"""","""",PUNCT,punct,"[77, 66, 59, 53]",[],
77,МЛ,мл,PROPN,nmod,"[66, 59, 53]","[72, 76, 79, 84]",Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
79,"""","""",PUNCT,punct,"[77, 66, 59, 53]",[],
81,и,и,CCONJ,cc,"[84, 77, 66, 59, 53]",[],
83,"""","""",PUNCT,punct,"[84, 77, 66, 59, 53]",[],
84,british,british,X,conj,"[77, 66, 59, 53]","[81, 83, 92, 96]",Foreign=Yes
92,Wawe,wawe,X,flat:foreign,"[84, 77, 66, 59, 53]",[],Foreign=Yes
96,"""","""",PUNCT,punct,"[84, 77, 66, 59, 53]",[],
97,",",",",PUNCT,punct,"[99, 53]",[],
99,выходит,выходить,VERB,conj,[53],"[97, 110]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
107,не,не,PART,advmod,"[110, 99, 53]",[],Polarity=Neg
110,так,так,ADV,advmod,"[99, 53]","[107, 129]",Degree=Pos
113,",",",",PUNCT,punct,"[129, 110, 99, 53]",[],
115,как,как,SCONJ,case,"[129, 110, 99, 53]",[],
119,в,в,ADP,case,"[129, 110, 99, 53]",[],
121,прошлый,прошлый,ADJ,amod,"[129, 110, 99, 53]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
129,раз,раз,NOUN,obl,"[110, 99, 53]","[113, 115, 119, 121]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
