,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,На,на,ADP,case,"[10, 21]",[],
3,данной,данной,ADJ,amod,"[10, 21]",[],Case=Loc|Degree=Pos|Gender=Fem|Number=Sing
10,картинке,картинка,NOUN,obl,[21],"[0, 3]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
19,я,я,PRON,nsubj,[21],[],Case=Nom|Number=Sing|Person=First
21,вижу,видеть,VERB,ROOT,[],"[10, 19, 26, 47]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
26,изображения,изображение,NOUN,obj,[21],[42],Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur
38,2-х,2-й,ADJ,amod,"[42, 26, 21]",[],Case=Gen|Degree=Pos|Number=Plur
42,людей,человек,NOUN,nmod,"[26, 21]",[38],Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
47,.,.,PUNCT,punct,[21],[],
49,Во,во,ADV,parataxis,[84],[],Degree=Pos
51,-,-,ADV,parataxis,[84],[],Degree=Pos
52,первых,первых,ADV,parataxis,[84],[58],Degree=Pos
58,",",",",PUNCT,punct,"[52, 84]",[],
60,на,на,ADP,case,"[70, 84]",[],
63,первом,первый,ADJ,amod,"[70, 84]",[],Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
70,плане,план,NOUN,obl,[84],"[60, 63]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
76,на,на,ADP,case,"[79, 84]",[],
79,меня,я,PRON,obl,[84],[76],Case=Acc|Number=Sing|Person=First
84,смотрит,смотреть,VERB,ROOT,[],"[49, 51, 52, 70, 79, 109, 116]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
92,красивый,красивый,ADJ,amod,"[109, 84]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
101,молодой,молодой,ADJ,amod,"[109, 84]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
109,человек,человек,NOUN,nsubj,[84],"[92, 101]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
116,.,.,PUNCT,punct,[84],[],
118,У,у,ADP,case,[120],[],
120,него,него,PRON,ROOT,[],"[118, 132, 177, 200]",Case=Gen|Gender=Masc|Number=Sing|Person=Third
125,темные,тёмный,ADJ,amod,"[132, 120]",[],Case=Nom|Degree=Pos|Number=Plur
132,кудри,кудри,NOUN,nsubj,[120],"[125, 153]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
137,",",",",PUNCT,punct,"[153, 132, 120]",[],
139,выразительные,выразительный,ADJ,amod,"[153, 132, 120]",[],Case=Nom|Degree=Pos|Number=Plur
153,глаза,глаз,NOUN,conj,"[132, 120]","[137, 139]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
158,",",",",PUNCT,punct,"[177, 120]",[],
160,четко,четко,ADV,advmod,"[166, 177, 120]",[],Degree=Pos
166,очерченный,очертить,VERB,nsubj,"[177, 120]",[160],Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
177,овал,овал,VERB,conj,[120],"[158, 166, 182]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
182,лица,лицо,NOUN,obj,"[177, 120]",[196],Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur
187,и,и,CCONJ,cc,"[196, 182, 177, 120]",[],
189,пухлые,пухлый,ADJ,amod,"[196, 182, 177, 120]",[],Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
196,губы,губа,NOUN,conj,"[182, 177, 120]","[187, 189]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
200,.,.,PUNCT,punct,[120],[],
202,Во,во,ADV,parataxis,[232],[],Degree=Pos
204,-,-,ADV,parataxis,[232],[],Degree=Pos
205,вторых,вторых,ADV,parataxis,[232],[211],Degree=Pos
211,",",",",PUNCT,punct,"[205, 232]",[],
213,у,у,ADP,case,"[215, 232]",[],
