,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],[8],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,",",",",PUNCT,punct,"[8, 0]",[],
8,Жень,жень,PROPN,parataxis,[0],"[6, 12]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
12,!,!,PUNCT,punct,"[8, 0]",[],
14,=),=),PUNCT,punct,[33],[],
17,Я,я,PRON,nsubj,[33],[],Case=Nom|Number=Sing|Person=First
19,тебе,ты,PRON,iobj,[33],[],Case=Dat|Number=Sing|Person=Second
24,давно,давно,ADV,advmod,[33],[],Degree=Pos
30,не,не,PART,advmod,[33],[],Polarity=Neg
33,писала,писать,VERB,ROOT,[],"[14, 17, 19, 24, 30, 69, 95, 103]",Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
39,",",",",PUNCT,punct,"[46, 69, 33]",[],
41,да,да,CCONJ,cc,"[46, 69, 33]",[44],
44,и,и,CCONJ,fixed,"[41, 46, 69, 33]",[],
46,писать,писать,VERB,csubj,"[69, 33]","[39, 41, 55]",Aspect=Imp|VerbForm=Inf|Voice=Act
53,у,у,ADP,case,"[55, 46, 69, 33]",[],
55,меня,я,PRON,obl,"[46, 69, 33]",[53],Case=Gen|Number=Sing|Person=First
60,не,не,PART,advmod,"[63, 69, 33]",[],Polarity=Neg
63,очень,очень,ADV,advmod,"[69, 33]",[60],Degree=Pos
69,получается,получаться,VERB,conj,[33],"[46, 63]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
79,",",",",PUNCT,punct,"[95, 33]",[],
81,но,но,CCONJ,cc,"[95, 33]",[],
84,я,я,PRON,nsubj,"[95, 33]",[],Case=Nom|Number=Sing|Person=First
86,все,все,PART,advmod,"[95, 33]",[],
89,-,-,PART,advmod,"[95, 33]",[],
90,таки,таки,PART,advmod,"[95, 33]",[],
95,решилась,решиться,VERB,conj,[33],"[79, 81, 84, 86, 89, 90]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
103,.,.,PUNCT,punct,[33],[],
105,Знаю,знать,VERB,ROOT,[],"[115, 194]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
110,тебе,ты,PRON,iobj,"[115, 105]",[],Case=Dat|Number=Sing|Person=Second
115,нравятся,нравиться,VERB,xcomp,[105],"[110, 124, 151, 184]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
124,подробности,подробность,NOUN,nsubj,"[115, 105]",[141],Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
136,моей,мой,DET,det,"[141, 124, 115, 105]",[],Case=Gen|Gender=Fem|Number=Sing
141,жизни,жизнь,NOUN,nmod,"[124, 115, 105]",[136],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
146,",",",",PUNCT,punct,"[151, 115, 105]",[],
148,но,но,CCONJ,cc,"[151, 115, 105]",[],
151,хочу,хотеть,VERB,conj,"[115, 105]","[146, 148, 161]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
