,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Я,я,PRON,nsubj,[2],[],Case=Nom|Number=Sing|Person=First
2,считаю,считать,VERB,ROOT,[],"[0, 9, 25, 41, 66, 117]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
9,себя,себя,PRON,obj,[2],[],Case=Acc
14,достаточно,достаточно,ADV,advmod,"[25, 2]",[],Degree=Pos
25,себя,себя,PRON,obj,[2],[14],Case=Acc
30,достаточно,достаточно,ADV,advmod,"[41, 2]",[],Degree=Pos
41,конкурентноспособной,конкурентноспособный,ADJ,xcomp,[2],[30],Case=Ins|Degree=Pos|Gender=Fem|Number=Sing
61,",",",",PUNCT,punct,"[66, 2]",[],
63,Вы,вы,PRON,nsubj,"[66, 2]",[],Case=Nom|Number=Plur|Person=Second
66,нуждаетесь,нуждаться,VERB,conj,[2],"[61, 63, 84, 112]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Second|Tense=Pres|VerbForm=Fin|Voice=Mid
77,в,в,ADP,case,"[84, 66, 2]",[],
79,моих,мой,DET,det,"[84, 66, 2]",[],Case=Loc|Number=Plur
84,услугах,услуга,NOUN,obl,"[66, 2]","[77, 79]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur
92,равно,равный,ADJ,advmod,"[112, 66, 2]",[],Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
98,также,также,ADV,advmod,"[110, 112, 66, 2]",[],Degree=Pos
104,как,как,SCONJ,case,"[110, 112, 66, 2]",[],
108,и,и,PART,advmod,"[110, 112, 66, 2]",[],
110,я,я,PRON,nsubj,"[112, 66, 2]","[98, 104, 108]",Case=Nom|Number=Sing|Person=First
112,ваших,ваш,DET,det,"[66, 2]","[92, 110]",Case=Gen|Number=Plur
117,.,.,PUNCT,punct,[2],[],
119,Я,я,PRON,nsubj,[121],[],Case=Nom|Number=Sing|Person=First
121,умею,уметь,VERB,ROOT,[],"[119, 126, 159, 185, 283]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
126,разговаривать,разговаривать,VERB,xcomp,[121],[142],Aspect=Imp|VerbForm=Inf|Voice=Act
140,с,с,ADP,case,"[142, 126, 121]",[],
142,людьми,человек,NOUN,obl,"[126, 121]",[140],Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur
148,",",",",PUNCT,punct,"[159, 121]",[],
150,без,без,ADP,case,"[154, 159, 121]",[],
154,слов,слово,NOUN,obl,"[159, 121]",[150],Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
159,понимаю,понимать,VERB,conj,[121],"[148, 154, 167, 176]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
167,чего,что,PRON,obj,"[159, 121]",[],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
172,они,они,PRON,nsubj,"[176, 159, 121]",[],Case=Nom|Number=Plur|Person=Third
176,хотят,хотеть,VERB,ccomp,"[159, 121]",[172],Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
181,",",",",PUNCT,punct,"[185, 121]",[],
183,Я,я,PRON,nsubj,"[185, 121]",[],Case=Nom|Number=Sing|Person=First
185,могу,мочь,VERB,conj,[121],"[181, 183, 190]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
190,сделать,сделать,VERB,xcomp,"[185, 121]",[198],Aspect=Perf|VerbForm=Inf|Voice=Act
198,так,так,ADV,advmod,"[190, 185, 121]",[217],Degree=Pos
201,",",",",PUNCT,punct,"[217, 198, 190, 185, 121]",[],
203,чтобы,чтобы,SCONJ,mark,"[217, 198, 190, 185, 121]",[],Mood=Cnd
209,человек,человек,NOUN,nsubj,"[217, 198, 190, 185, 121]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
217,сделал,сделать,VERB,advcl,"[198, 190, 185, 121]","[201, 203, 209, 224]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
224,то,то,PRON,obj,"[217, 198, 190, 185, 121]",[233],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
227,что,что,SCONJ,mark,"[233, 224, 217, 198, 190, 185, 121]",[],
231,я,я,PRON,nsubj,"[233, 224, 217, 198, 190, 185, 121]",[],Case=Nom|Number=Sing|Person=First
233,хочу,хотеть,VERB,acl,"[224, 217, 198, 190, 185, 121]","[227, 231, 247]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
237,",",",",PUNCT,punct,"[247, 233, 224, 217, 198, 190, 185, 121]",[],
239,даже,даже,PART,advmod,"[247, 233, 224, 217, 198, 190, 185, 121]",[],
244,не,не,PART,advmod,"[247, 233, 224, 217, 198, 190, 185, 121]",[],Polarity=Neg
247,подозревая,подозревать,VERB,advcl,"[233, 224, 217, 198, 190, 185, 121]","[237, 239, 244, 260]",Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act
258,о,о,ADP,case,"[260, 247, 233, 224, 217, 198, 190, 185, 121]",[],
260,том,том,PRON,obl,"[247, 233, 224, 217, 198, 190, 185, 121]","[258, 274]",Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
264,что,что,SCONJ,mark,"[274, 260, 247, 233, 224, 217, 198, 190, 185, 121]",[],
268,я,я,PRON,nsubj,"[274, 260, 247, 233, 224, 217, 198, 190, 185, 121]",[],Case=Nom|Number=Sing|Person=First
270,его,он,PRON,obj,"[274, 260, 247, 233, 224, 217, 198, 190, 185, 121]",[],Case=Acc|Gender=Masc|Number=Sing|Person=Third
274,заставила,заставить,VERB,acl,"[260, 247, 233, 224, 217, 198, 190, 185, 121]","[264, 268, 270]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
283,.,.,PUNCT,punct,[121],[],
