,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,На,на,ADP,case,"[10, 18]",[],
3,данной,данной,ADJ,amod,"[10, 18]",[],Case=Loc|Degree=Pos|Gender=Fem|Number=Sing
10,картине,картина,NOUN,obl,[18],"[0, 3]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
18,изображены,изобразить,VERB,ROOT,[],"[10, 29, 39]",Aspect=Perf|Number=Plur|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
29,мать,мать,NOUN,nsubj:pass,[18],[36],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
34,и,и,CCONJ,cc,"[36, 29, 18]",[],
36,сын,сын,NOUN,conj,"[29, 18]",[34],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
39,.,.,PUNCT,punct,[18],[],
41,Сразу,сразу,ADV,advmod,[47],[],Degree=Pos
47,бросается,бросаться,VERB,ROOT,[],"[41, 59, 65, 191]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
57,в,в,ADP,case,"[59, 47]",[],
59,глаза,глаз,NOUN,obl,[47],[57],Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
65,то,то,PRON,nsubj,[47],[79],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
67,",",",",PUNCT,punct,"[79, 65, 47]",[],
69,насколько,насколько,ADV,advmod,"[79, 65, 47]",[],Degree=Pos
79,печальна,печальный,ADJ,acl,"[65, 47]","[67, 69, 88, 102]",Degree=Pos|Gender=Fem|Number=Sing|StyleVariant=Short
88,женщина,женщина,NOUN,nsubj,"[79, 65, 47]",[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
95,",",",",PUNCT,punct,"[102, 79, 65, 47]",[],
97,хотя,хотя,SCONJ,mark,"[102, 79, 65, 47]",[],
102,пытается,пытаться,VERB,advcl,"[79, 65, 47]","[95, 97, 127]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
111,как,как,ADV,advmod,"[121, 127, 102, 79, 65, 47]",[115],Degree=Pos
115,можно,можно,ADV,fixed,"[111, 121, 127, 102, 79, 65, 47]",[],Degree=Pos
121,лучше,лучше,ADV,advmod,"[127, 102, 79, 65, 47]",[111],Degree=Cmp
127,скрыть,скрыть,VERB,xcomp,"[102, 79, 65, 47]","[121, 134]",Aspect=Perf|VerbForm=Inf|Voice=Act
134,боль,боль,NOUN,obj,"[127, 102, 79, 65, 47]",[141],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
139,и,и,CCONJ,cc,"[141, 134, 127, 102, 79, 65, 47]",[],
141,тоску,тоска,NOUN,conj,"[134, 127, 102, 79, 65, 47]","[139, 148]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
146,",",",",PUNCT,punct,"[148, 141, 134, 127, 102, 79, 65, 47]",[],
148,пришедшую,прийти,VERB,acl,"[141, 134, 127, 102, 79, 65, 47]","[146, 160]",Aspect=Perf|Case=Acc|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act
158,и,и,CCONJ,cc,"[160, 148, 141, 134, 127, 102, 79, 65, 47]",[],
160,навалившуюся,навалиться,VERB,conj,"[148, 141, 134, 127, 102, 79, 65, 47]","[158, 187]",Aspect=Perf|Case=Acc|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act
173,спустя,спустя,ADP,case,"[187, 160, 148, 141, 134, 127, 102, 79, 65, 47]",[],
180,долгие,долгий,ADJ,amod,"[187, 160, 148, 141, 134, 127, 102, 79, 65, 47]",[],Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
187,годы,год,NOUN,obl,"[160, 148, 141, 134, 127, 102, 79, 65, 47]","[173, 180]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
191,.,.,PUNCT,punct,[47],[],
193,Сын,сын,NOUN,nsubj,[197],[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
197,направляет,направлять,VERB,ROOT,[],"[193, 213, 222, 237, 329]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
208,свой,свой,DET,det,"[213, 197]",[],Case=Acc|Gender=Masc|Number=Sing
213,взгляд,взгляд,NOUN,obj,[197],[208],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
220,в,в,ADP,case,"[222, 197]",[],
222,сторону,сторона,NOUN,obl,[197],[220],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
229,",",",",PUNCT,punct,"[237, 197]",[],
231,будто,будто,SCONJ,mark,"[237, 197]",[],
237,скрывал,скрывать,VERB,advcl,[197],"[229, 231, 245, 268, 300]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
245,его,он,PRON,obj,"[237, 197]",[],Case=Acc|Gender=Masc|Number=Sing|Person=Third
248,",",",",PUNCT,punct,"[268, 237, 197]",[],
250,будто,будто,SCONJ,mark,"[268, 237, 197]",[],
256,он,он,PRON,nsubj,"[268, 237, 197]",[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
259,в,в,ADP,case,"[261, 268, 237, 197]",[],
261,чем,что,PRON,obl,"[268, 237, 197]",[259],Case=Loc
264,-,-,PRON,obl,"[268, 237, 197]",[],Case=Loc
265,то,то,PRON,obl,"[268, 237, 197]",[],Case=Loc
268,виневен,виневен,NOUN,advcl,"[237, 197]","[248, 250, 256, 261, 264, 265]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
275,",",",",PUNCT,punct,"[300, 237, 197]",[],
277,но,но,CCONJ,cc,"[300, 237, 197]",[],
279,",",",",PUNCT,punct,"[281, 300, 237, 197]",[],
281,опять,опять,ADV,advmod,"[300, 237, 197]","[279, 287, 289]",Degree=Pos
287,же,же,PART,advmod,"[281, 300, 237, 197]",[],
289,",",",",PUNCT,punct,"[281, 300, 237, 197]",[],
291,его,его,DET,det,"[295, 300, 237, 197]",[],
295,лицо,лицо,NOUN,nsubj,"[300, 237, 197]",[291],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
300,пытается,пытаться,VERB,conj,"[237, 197]","[275, 277, 281, 295, 309]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
309,казаться,казаться,VERB,xcomp,"[300, 237, 197]",[318],Aspect=Imp|VerbForm=Inf|Voice=Mid
318,равнодушным,равнодушный,ADJ,xcomp,"[309, 300, 237, 197]",[],Case=Ins|Degree=Pos|Gender=Masc|Number=Sing
329,.,.,PUNCT,punct,[197],[],
331,На,на,ADP,case,"[338, 364]",[],
334,мой,мой,DET,det,"[338, 364]",[],Case=Acc|Gender=Masc|Number=Sing
338,взгляд,взгляд,NOUN,obl,[364],"[331, 334]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
345,их,их,DET,det,"[348, 364]",[],
348,жизнь,жизнь,NOUN,nsubj,[364],[345],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
354,не,не,PART,advmod,"[357, 364]",[],Polarity=Neg
357,совсем,совсем,ADV,advmod,[364],[354],Degree=Pos
364,такова,такова,ADJ,ROOT,[],"[338, 348, 357, 382, 446]",Degree=Pos|Gender=Fem|Number=Sing|StyleVariant=Short
370,",",",",PUNCT,punct,"[382, 364]",[],
372,какой,какой,DET,det,"[382, 364]",[],Case=Nom|Gender=Masc|Number=Sing
378,они,они,PRON,nsubj,"[382, 364]",[],Case=Nom|Number=Plur|Person=Third
382,олицетворяют,олицетворять,VERB,ccomp,[364],"[370, 372, 378, 395, 399]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
395,ее,она,PRON,obj,"[382, 364]",[],Case=Acc|Gender=Fem|Number=Sing|Person=Third
397,",",",",PUNCT,punct,"[399, 382, 364]",[],
399,представ,предстать,VERB,advcl,"[382, 364]","[397, 414, 439]",Aspect=Perf|Tense=Past|VerbForm=Conv|Voice=Act
408,перед,перед,ADP,case,"[414, 399, 382, 364]",[],
414,нашимвзором,нашимвзором,NOUN,obl,"[399, 382, 364]",[408],Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing
426,именно,именно,PART,advmod,"[433, 439, 399, 382, 364]",[],
433,таким,такой,DET,det,"[439, 399, 382, 364]",[426],Case=Ins|Gender=Masc|Number=Sing
439,образом,образ,NOUN,obl,"[399, 382, 364]",[433],Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing
446,.,.,PUNCT,punct,[364],[],
