,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Здравствуйте,здравствовать,VERB,ROOT,[],[12],Aspect=Imp|Mood=Imp|Number=Plur|Person=Second|VerbForm=Fin|Voice=Act
12,.,.,PUNCT,punct,[0],[],
14,Меня,я,PRON,obj,[19],[],Case=Acc|Number=Sing|Person=First
19,зовут,звать,VERB,ROOT,[],"[14, 24]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
24,...,...,PUNCT,punct,[19],[],
28,Заинтересован,заинтересованный,ADJ,ROOT,[],"[44, 65]",Degree=Pos|Gender=Masc|Number=Sing|StyleVariant=Short
42,в,в,ADP,case,"[44, 28]",[],
44,вакансии,вакансия,NOUN,obl,[28],"[42, 56]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
53,на,на,ADP,case,"[56, 44, 28]",[],
56,должность,должность,NOUN,nmod,"[44, 28]",[53],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
65,...,...,PUNCT,punct,[28],[],
69,Я,я,PRON,nsubj,[71],[],Case=Nom|Number=Sing|Person=First
71,имею,иметь,VERB,ROOT,[],"[69, 76, 88, 105, 185]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
76,образования,образование,NOUN,obj,[71],[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur
88,среднее,средний,ADJ,obj,[71],[97],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
95,",",",",PUNCT,punct,"[97, 88, 71]",[],
97,высшее,высокий,ADJ,conj,"[88, 71]",[95],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
103,",",",",PUNCT,punct,"[105, 71]",[],
105,ездил,ездить,VERB,conj,[71],"[103, 111, 121, 131]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
111, , ,SPACE,obj,"[105, 71]",[],
112,в,в,ADP,case,"[121, 105, 71]",[],
114,другие,другие,ADJ,amod,"[121, 105, 71]",[],Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
121,страны,страна,NOUN,obl,"[105, 71]","[112, 114]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
128,по,по,ADP,case,"[131, 105, 71]",[],
131,повышению,повышение,NOUN,obl,"[105, 71]","[128, 141]",Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
141,квалификации,квалификация,NOUN,nmod,"[131, 105, 71]",[156],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
154,и,и,CCONJ,cc,"[156, 141, 131, 105, 71]",[],
156,получения,получение,NOUN,conj,"[141, 131, 105, 71]","[154, 171]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
166,иных,иных,ADJ,amod,"[171, 156, 141, 131, 105, 71]",[],Case=Gen|Degree=Pos|Number=Plur
171,знаний,знание,NOUN,nmod,"[156, 141, 131, 105, 71]","[166, 180]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
178,в,в,ADP,case,"[180, 171, 156, 141, 131, 105, 71]",[],
180,сфере,сфера,NOUN,nmod,"[171, 156, 141, 131, 105, 71]",[178],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
185,...,...,PUNCT,punct,[71],[],
189,и,и,CCONJ,cc,[194],[],
191,их,их,PRON,nmod,[194],[],Case=Gen|Number=Plur|Person=Third
194,освоения,освоение,NOUN,ROOT,[],"[189, 191, 202]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
202,.,.,PUNCT,punct,[194],[],
204,и,и,CCONJ,cc,[206],[],
206,т,т,PART,ROOT,[],"[204, 207]",
207,.,.,PUNCT,punct,[206],[],
209,д,д,PART,ROOT,[],[210],
210,.,.,PUNCT,punct,[209],[],
