,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,На,на,ADP,case,"[8, 21]",[],
3,этом,этот,DET,det,"[8, 21]",[],Case=Loc|Gender=Neut|Number=Sing
8,художестве,художество,NOUN,obl,[21],"[0, 3]",Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
19,я,я,PRON,nsubj,[21],[],Case=Nom|Number=Sing|Person=First
21,вижу,видеть,VERB,ROOT,[],"[8, 19, 40, 45]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
26,безсмысленный,безсмысленный,ADJ,amod,"[40, 21]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
40,конец,конец,NOUN,obj,[21],[26],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
45,!,!,PUNCT,punct,[21],[],
47,Тут,тут,ADV,advmod,[57],[],Degree=Pos
51,вроде,вроде,ADV,advmod,[57],[],Degree=Pos
57,нарисована,нарисовать,VERB,ROOT,[],"[47, 51, 77, 100]",Aspect=Perf|Gender=Fem|Number=Sing|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
68,какая,какой,DET,det,"[77, 57]",[],Case=Nom|Gender=Fem|Number=Sing
73,-,-,DET,det,"[77, 57]",[],Case=Nom|Gender=Fem|Number=Sing
74,то,то,DET,det,"[77, 57]",[],Case=Nom|Gender=Fem|Number=Sing
77,бабка,бабка,NOUN,nsubj:pass,[57],"[68, 73, 74, 93]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
83,и,и,CCONJ,cc,"[93, 77, 57]",[],
85,молодая,молодой,ADJ,amod,"[93, 77, 57]",[],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
93,женщина,женщина,NOUN,conj,"[77, 57]","[83, 85]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
100,.,.,PUNCT,punct,[57],[],
102,Связи,связь,NOUN,obj,[120],[],Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
108,я,я,PRON,nsubj,[120],[],Case=Nom|Number=Sing|Person=First
110,вообще,вообще,ADV,advmod,[120],[],Degree=Pos
117,не,не,PART,advmod,[120],[],Polarity=Neg
120,вижу,видеть,VERB,ROOT,[],"[102, 108, 110, 117, 138, 168, 182, 185]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
124,",",",",PUNCT,punct,"[126, 138, 120]",[],
126,думаю,думать,VERB,parataxis,"[138, 120]",[124],Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
132,здесь,здесь,ADV,advmod,"[138, 120]",[],Degree=Pos
