,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],"[16, 20]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,",",",",PUNCT,punct,"[8, 16, 0]",[],
8,дорогой,дорогой,ADJ,amod,"[16, 0]",[6],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
16,друг,друг,NOUN,conj,[0],[8],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
20,!,!,PUNCT,punct,[0],[],
22,Мы,мы,PRON,nsubj,[48],[],Case=Nom|Number=Plur|Person=First
25,очень,очень,ADV,advmod,"[31, 48]",[],Degree=Pos
31,давно,давно,ADV,advmod,[48],[25],Degree=Pos
37,с,с,ADP,case,"[39, 48]",[],
39,тобой,ты,PRON,obl,[48],[37],Case=Ins|Number=Sing|Person=Second
45,не,не,PART,advmod,[48],[],Polarity=Neg
48,виделись,видеться,VERB,ROOT,[],"[22, 31, 39, 45, 68, 92, 113]",Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid
56,",",",",PUNCT,punct,"[68, 48]",[],
58,и,и,CCONJ,cc,"[68, 48]",[],
60,я,я,PRON,nsubj,"[68, 48]",[],Case=Nom|Number=Sing|Person=First
62,очень,очень,ADV,advmod,"[68, 48]",[],Degree=Pos
68,соскучилась,соскучиться,VERB,conj,[48],"[56, 58, 60, 62]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
79,",",",",PUNCT,punct,"[92, 48]",[],
81,мне,я,PRON,iobj,"[92, 48]",[],Case=Dat|Number=Sing|Person=First
85,многое,многое,NOUN,nsubj,"[92, 48]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
92,нужно,нужный,ADJ,conj,[48],"[79, 81, 85, 98, 103]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
98,тебе,ты,PRON,iobj,"[92, 48]",[],Case=Dat|Number=Sing|Person=Second
103,рассказать,рассказать,VERB,csubj,"[92, 48]",[],Aspect=Perf|VerbForm=Inf|Voice=Act
113,.,.,PUNCT,punct,[48],[],
115,Последние,последний,ADJ,amod,"[125, 129, 141]",[],Case=Nom|Degree=Pos|Number=Plur
125,две,два,NUM,nummod:gov,"[129, 141]",[115],Animacy=Inan|Case=Acc|Gender=Fem
129,недели,неделя,NOUN,nsubj,[141],[125],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
136,были,были,AUX,cop,[141],[],Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
141,напряженными,напряжённый,ADJ,ROOT,[],"[129, 136, 155, 172, 191, 212]",Case=Ins|Degree=Pos|Number=Plur
153,",",",",PUNCT,punct,"[155, 141]",[],
155,сдавала,сдавать,VERB,conj,[141],"[153, 163]",Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
163,ЕГЭ,егэ,PROPN,obj,"[155, 141]",[],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
166,",",",",PUNCT,punct,"[172, 141]",[],
168,все,все,PRON,nsubj,"[172, 141]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
172,прошло,пройти,VERB,conj,[141],"[166, 168]",Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
178,",",",",PUNCT,punct,"[191, 141]",[],
180,результаты,результат,NOUN,nsubj,"[191, 141]",[],Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
191,должны,должный,ADJ,conj,[141],"[178, 180, 203]",Degree=Pos|Number=Plur|StyleVariant=Short
198,быть,быть,AUX,cop,"[203, 191, 141]",[],Aspect=Imp|VerbForm=Inf|Voice=Act
203,неплохими,неплохой,ADJ,xcomp,"[191, 141]",[198],Case=Ins|Degree=Pos|Number=Plur
212,.,.,PUNCT,punct,[141],[],
214,Сейчас,сейчас,ADV,advmod,[221],[],Degree=Pos
221,хожу,ходить,VERB,ROOT,[],"[214, 241, 248, 277]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
226,на,на,ADP,case,"[241, 221]",[],
229,интенсивные,интенсивный,ADJ,amod,"[241, 221]",[],Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
241,курсы,курс,NOUN,obl,[221],"[226, 229]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
246,",",",",PUNCT,punct,"[248, 221]",[],
248,подготавливаюсь,подготавливаться,VERB,conj,[221],"[246, 266]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Mid
264,к,к,ADP,case,"[266, 248, 221]",[],
