,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Эта,этот,DET,det,"[4, 21]",[],Case=Nom|Gender=Fem|Number=Sing
4,картина,картина,NOUN,nsubj,[21],[0],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
12,не,не,PART,advmod,"[15, 21]",[],Polarity=Neg
15,очень,очень,ADV,advmod,[21],[12],Degree=Pos
21,понятна,понятный,ADJ,ROOT,[],"[4, 15, 28]",Degree=Pos|Gender=Fem|Number=Sing|StyleVariant=Short
28,.,.,PUNCT,punct,[21],[],
30,И,и,CCONJ,cc,[39],[],
32,на,на,ADP,case,"[35, 39]",[],
35,ней,она,PRON,obl,[39],[32],Case=Loc|Gender=Fem|Number=Sing|Person=Third
39,изображены,изобразить,VERB,ROOT,[],"[30, 35, 67, 76]",Aspect=Perf|Number=Plur|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
50,не,не,PART,advmod,"[53, 59, 67, 39]",[],Polarity=Neg
53,очень,очень,ADV,advmod,"[59, 67, 39]",[50],Degree=Pos
59,хорошие,хороший,ADJ,amod,"[67, 39]",[53],Case=Nom|Degree=Pos|Number=Plur
67,персонажи,персонаж,NOUN,nsubj,[39],[59],Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
76,.,.,PUNCT,punct,[39],[],
78,Эти,этот,DET,det,"[82, 86, 102]",[],Case=Nom|Number=Plur
82,два,два,NUM,nummod:gov,"[86, 102]",[78],Case=Nom|Gender=Masc
86,персонажа,персонаж,NOUN,nsubj,[102],[82],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
96,очень,очень,ADV,advmod,[102],[],Degree=Pos
102,подозрительны,подозрительный,ADJ,ROOT,[],"[86, 96, 125, 148]",Degree=Pos|Number=Plur|StyleVariant=Short
116,особенно,особенно,ADV,advmod,"[125, 102]",[],Degree=Pos
125,бабушка,бабушка,NOUN,nsubj,[102],"[116, 143]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
133,на,на,ADP,case,"[143, 125, 102]",[],
136,заднем,задний,ADJ,amod,"[143, 125, 102]",[],Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
143,плане,план,NOUN,nmod,"[125, 102]","[133, 136]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
148,.,.,PUNCT,punct,[102],[],
150,Думаю,думать,VERB,ROOT,[],"[171, 496]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
156,в,в,ADP,case,"[163, 171, 150]",[],
158,этой,этот,DET,det,"[163, 171, 150]",[],Case=Loc|Gender=Fem|Number=Sing
163,картине,картина,NOUN,obl,"[171, 150]","[156, 158]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
171,изображены,изобразить,VERB,ccomp,[150],"[163, 182, 196, 273, 314, 473]",Aspect=Perf|Number=Plur|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
182,события,событие,NOUN,nsubj:pass,"[171, 150]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
190,после,после,ADP,case,"[196, 171, 150]",[],
196,ситуации,ситуация,NOUN,obl,"[171, 150]","[190, 207, 234]",Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
205,в,в,ADP,case,"[207, 196, 171, 150]",[],
207,которой,которой,PRON,nmod,"[196, 171, 150]",[205],Case=Loc|Gender=Fem|Number=Sing
215,человек,человек,NOUN,obj,"[234, 196, 171, 150]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
223,за,за,ADP,case,"[226, 234, 196, 171, 150]",[],
226,которым,которым,PRON,obl,"[234, 196, 171, 150]",[223],Case=Ins|Gender=Masc|Number=Sing
234,наблюдают,наблюдать,VERB,acl:relcl,"[196, 171, 150]","[215, 226, 244]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
244,люди,человек,NOUN,nsubj,"[234, 196, 171, 150]",[249],Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
249,изображенные,изобразить,VERB,acl,"[244, 234, 196, 171, 150]",[265],Aspect=Perf|Case=Nom|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
262,на,на,ADP,case,"[265, 249, 244, 234, 196, 171, 150]",[],
265,картине,картина,NOUN,obl,"[249, 244, 234, 196, 171, 150]",[262],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
273,попал,попасть,VERB,conj,"[171, 150]",[289],Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
279,в,в,ADP,case,"[289, 273, 171, 150]",[],
281,тяжелую,тяжёлый,ADJ,amod,"[289, 273, 171, 150]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
289,ситуацию,ситуация,NOUN,obl,"[273, 171, 150]","[279, 281, 300]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
298,с,с,ADP,case,"[300, 289, 273, 171, 150]",[],
300,которой,которой,PRON,nmod,"[289, 273, 171, 150]",[298],Case=Ins|Gender=Fem|Number=Sing
308,он,он,PRON,nsubj,"[314, 171, 150]",[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
311,не,не,PART,advmod,"[314, 171, 150]",[],Polarity=Neg
314,смог,смочь,VERB,conj,"[171, 150]","[308, 311, 319, 335]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
319,выйти,выйти,VERB,xcomp,"[314, 171, 150]",[],Aspect=Perf|VerbForm=Inf|Voice=Act
325,и,и,CCONJ,cc,"[335, 314, 171, 150]",[],
