,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],[6],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,.,.,PUNCT,punct,[0],[],
8,Как,как,SCONJ,mark,[12],[],
12,дела,дело,NOUN,ROOT,[],"[8, 16]",Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
16,?,?,PUNCT,punct,[12],[],
18,Что,что,PRON,nsubj,[22],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
22,нового,новый,ADJ,ROOT,[],"[18, 28]",Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
28,?,?,PUNCT,punct,[22],[],
30,Я,я,PRON,nsubj,[54],[],Case=Nom|Number=Sing|Person=First
32,вот,вот,PART,advmod,"[48, 54]",[],
36,в,в,ADP,case,"[48, 54]",[],
38,последний,последний,ADJ,amod,"[48, 54]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
48,месяц,месяц,NOUN,obl,[54],"[32, 36, 38]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
54,занялся,заняться,VERB,ROOT,[],"[30, 48, 62, 85, 134]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
62,учебой,учёба,NOUN,obl,[54],[69],Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
69,вплотную,вплотную,ADV,advmod,"[62, 54]",[],Degree=Pos
77,",",",",PUNCT,punct,"[85, 54]",[],
79,чтобы,чтобы,SCONJ,mark,"[85, 54]",[],
85,сдать,сдать,VERB,advcl,[54],"[77, 79, 91, 98, 116]",Aspect=Perf|VerbForm=Inf|Voice=Act
91,сессию,сессия,NOUN,obj,"[85, 54]",[],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
98,нормально,нормально,ADV,advmod,"[85, 54]",[110],Degree=Pos
108,и,и,CCONJ,cc,"[110, 98, 85, 54]",[],
110,домой,домой,ADV,conj,"[98, 85, 54]",[108],Degree=Pos
116,уехать,уехать,VERB,conj,"[85, 54]",[125],Aspect=Perf|VerbForm=Inf|Voice=Act
123,к,к,ADP,case,"[125, 116, 85, 54]",[],
125,родителям,родитель,NOUN,obl,"[116, 85, 54]",[123],Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur
134,.,.,PUNCT,punct,[54],[],
136,Ходил,ходить,VERB,ROOT,[],"[145, 153, 168, 181, 197]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
142,на,на,ADP,case,"[145, 136]",[],
145,концерт,концерт,NOUN,obl,[136],[142],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
153,тут,тут,ADV,advmod,[136],[],Degree=Pos
156,",",",",PUNCT,punct,"[168, 136]",[],
158,нереально,нереально,ADV,advmod,"[168, 136]",[],Degree=Pos
168,понравилось,понравиться,VERB,conj,[136],"[156, 158]",Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
179,",",",",PUNCT,punct,"[181, 136]",[],
181,хочу,хотеть,VERB,conj,[136],"[179, 190]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
186,еще,еще,ADV,advmod,"[190, 181, 136]",[],Degree=Pos
190,сходить,сходить,VERB,xcomp,"[181, 136]",[186],Aspect=Perf|VerbForm=Inf|Voice=Act
