,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],"[8, 12]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,",",",",PUNCT,punct,"[8, 0]",[],
8,друг,друг,NOUN,parataxis,[0],[6],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
12,!,!,PUNCT,punct,[0],[],
14,Я,я,PRON,nsubj,[20],[],Case=Nom|Number=Sing|Person=First
16,так,так,ADV,advmod,[20],[],Degree=Pos
20,соскучилась,соскучиться,VERB,ROOT,[],"[14, 16, 35, 39]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
32,по,по,ADP,case,"[35, 20]",[],
35,тебе,ты,PRON,obl,[20],[32],Case=Dat|Number=Sing|Person=Second
39,!,!,PUNCT,punct,[20],[],
41,Приезжай,приезжать,VERB,ROOT,[],"[52, 66, 69]",Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
50,в,в,ADP,case,"[52, 41]",[],
52,город,город,NOUN,obl,[41],[50],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
57,",",",",PUNCT,punct,"[66, 41]",[],
59,я,я,PRON,nsubj,"[66, 41]",[],Case=Nom|Number=Sing|Person=First
61,тебя,ты,PRON,obj,"[66, 41]",[],Case=Acc|Number=Sing|Person=Second
66,жду,ждать,VERB,conj,[41],"[57, 59, 61]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
69,!,!,PUNCT,punct,[41],[],
71,Расскажи,расскажи,NOUN,ROOT,[],"[87, 176]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
79,",",",",PUNCT,punct,"[87, 71]",[],
81,как,как,SCONJ,mark,"[87, 71]",[],
85,у,у,ADP,case,"[87, 71]",[],
87,тебя,ты,PRON,ccomp,[71],"[79, 81, 85, 92]",Case=Gen|Number=Sing|Person=Second
92,дела,дело,NOUN,nsubj,"[87, 71]",[116],Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
96,",",",",PUNCT,punct,"[116, 92, 87, 71]",[],
98,что,что,SCONJ,mark,"[116, 92, 87, 71]",[102],
102,нового,новый,ADJ,case,"[98, 116, 92, 87, 71]",[],Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
108,",",",",PUNCT,punct,"[116, 92, 87, 71]",[],
