,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,От,от,ADP,case,"[3, 25]",[],
3,женщины,женщина,NOUN,obl,[25],"[0, 19]",Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing
11,(,(,PUNCT,punct,"[19, 3, 25]",[],
12,первый,первый,ADJ,amod,"[19, 3, 25]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
19,план,план,NOUN,parataxis,"[3, 25]","[11, 12, 23]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
23,),),PUNCT,punct,"[19, 3, 25]",[],
25,ушел,уйти,VERB,ROOT,[],"[3, 38, 55, 82, 99]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
30,любимый,любимый,ADJ,amod,"[38, 25]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
38,человек,человек,NOUN,nsubj,[25],[30],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
45,",",",",PUNCT,punct,"[55, 25]",[],
47,и,и,CCONJ,cc,"[55, 25]",[],
49,она,она,PRON,nsubj,"[55, 25]",[],Case=Nom|Gender=Fem|Number=Sing|Person=Third
53,в,в,ADP,case,"[55, 25]",[],
55,ожидании,ожидание,NOUN,conj,[25],"[45, 47, 49, 53, 72]",Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
63,",",",",PUNCT,punct,"[72, 55, 25]",[],
65,что,что,SCONJ,mark,"[72, 55, 25]",[],
69,он,он,PRON,nsubj,"[72, 55, 25]",[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
72,вернется,вернуться,VERB,acl,"[55, 25]","[63, 65, 69]",Aspect=Perf|Mood=Ind|Number=Sing|Person=Third|Tense=Fut|VerbForm=Fin|Voice=Mid
80,",",",",PUNCT,punct,"[82, 25]",[],
82,смотрит,смотреть,VERB,conj,[25],"[80, 90, 94]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
90,ему,он,PRON,iobj,"[82, 25]",[],Case=Dat|Gender=Masc|Number=Sing|Person=Third
94,вслед,вслед,ADV,advmod,"[82, 25]",[],Degree=Pos
99,.,.,PUNCT,punct,[25],[],
101,Мужчина,мужчина,NOUN,nsubj,[140],[110],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
108,",",",",PUNCT,punct,"[110, 101, 140]",[],
110,изображенный,изобразить,VERB,acl,"[101, 140]","[108, 123, 138]",Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
123,рядом,рядом,ADV,advmod,"[110, 101, 140]",[131],Degree=Pos
129,с,с,ADP,case,"[131, 123, 110, 101, 140]",[],
131,лошадью,лошадь,NOUN,obl,"[123, 110, 101, 140]",[129],Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing
138,",",",",PUNCT,punct,"[110, 101, 140]",[],
140,трудится,трудиться,VERB,ROOT,[],"[101, 154, 161, 183, 199]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
149,весь,весь,DET,det,"[154, 140]",[],Case=Acc|Gender=Masc|Number=Sing
154,день,день,NOUN,obl,[140],[149],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
159,с,с,ADP,case,"[161, 140]",[],
161,утра,утро,NOUN,obl,[140],"[159, 169]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
166,до,до,ADP,case,"[169, 161, 140]",[],
169,вечера,вечер,NOUN,nmod,"[161, 140]",[166],Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
175,",",",",PUNCT,punct,"[183, 140]",[],
177,чтобы,чтобы,SCONJ,mark,"[183, 140]",[],
183,прокормить,прокормить,VERB,advcl,[140],"[175, 177, 194]",Aspect=Perf|VerbForm=Inf|Voice=Act
194,семью,семья,NOUN,obj,"[183, 140]",[],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
199,.,.,PUNCT,punct,[140],[],
201,Труд,труд,NOUN,nsubj,[206],[],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
206,делает,делать,VERB,ROOT,[],"[201, 213, 222, 249, 326]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
213,человека,человек,NOUN,obj,[206],[],Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing
222,лучше,лучше,ADV,advmod,[206],[],Degree=Cmp
227,",",",",PUNCT,punct,"[249, 206]",[],
229,поэтому,поэтому,ADV,advmod,"[249, 206]",[],Degree=Pos
237,со,со,ADP,case,"[240, 249, 206]",[],
240,спины,спина,NOUN,obl,"[249, 206]",[237],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
246,он,он,PRON,nsubj,"[249, 206]",[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
249,выглядит,выглядеть,VERB,conj,[206],"[227, 229, 240, 246, 280]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
258,мускулистым,мускулистый,ADJ,amod,"[280, 249, 206]",[271],Case=Ins|Degree=Pos|Gender=Masc|Number=Sing
269,",",",",PUNCT,punct,"[271, 258, 280, 249, 206]",[],
271,здоровым,здоровый,ADJ,conj,"[258, 280, 249, 206]",[269],Case=Ins|Degree=Pos|Gender=Masc|Number=Sing
280,человеком,человек,NOUN,xcomp,"[249, 206]","[258, 303]",Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing
289,",",",",PUNCT,punct,"[303, 280, 249, 206]",[],
291,которому,которому,PRON,iobj,"[303, 280, 249, 206]",[],Case=Dat|Gender=Masc|Number=Sing
300,не,не,PART,advmod,"[303, 280, 249, 206]",[],Polarity=Neg
303,страшны,страшный,ADJ,acl:relcl,"[280, 249, 206]","[289, 291, 300, 319]",Degree=Pos|Number=Plur|StyleVariant=Short
311,никакие,никакой,DET,det,"[319, 303, 280, 249, 206]",[],Case=Nom|Number=Plur
319,болезни,болезнь,NOUN,nsubj,"[303, 280, 249, 206]",[311],Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
326,.,.,PUNCT,punct,[206],[],
328,Другая,другая,ADJ,amod,"[335, 363]",[],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
335,женщина,женщина,NOUN,nsubj,[363],"[328, 355]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
343,с,с,ADP,case,"[355, 335, 363]",[],
345,закрытыми,закрыть,VERB,amod,"[355, 335, 363]",[],Aspect=Perf|Case=Ins|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
355,глазами,глаз,NOUN,nmod,"[335, 363]","[343, 345]",Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur
363,устала,устать,VERB,ROOT,[],"[335, 386, 393, 417, 443]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
370,от,от,ADP,case,"[386, 363]",[],
373,повседневной,повседневный,ADJ,amod,"[386, 363]",[],Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
386,жизни,жизнь,NOUN,obl,[363],"[370, 373]",Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
391,",",",",PUNCT,punct,"[393, 363]",[],
393,прислонилась,прислониться,VERB,conj,[363],"[391, 408]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
406,к,к,ADP,case,"[408, 393, 363]",[],
408,дереву,дерево,NOUN,obl,"[393, 363]",[406],Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
415,и,и,CCONJ,cc,"[417, 363]",[],
417,наслаждается,наслаждаться,VERB,conj,[363],"[415, 430]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
430,лучами,луч,NOUN,obl,"[417, 363]",[437],Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur
437,солнца,солнце,NOUN,nmod,"[430, 417, 363]",[],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
443,.,.,PUNCT,punct,[363],[],
445,Ей,она,PRON,iobj,[448],[],Case=Dat|Gender=Fem|Number=Sing|Person=Third
448,хочется,хотеться,VERB,ROOT,[],"[445, 456, 482]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
456,убежать,убежать,VERB,xcomp,[448],[465],Aspect=Perf|VerbForm=Inf|Voice=Act
463,",",",",PUNCT,punct,"[465, 456, 448]",[],
