,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Молодой,молодой,ADJ,amod,"[8, 25]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
8,человек,человек,NOUN,nsubj,[25],[0],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
16,о,о,ADP,case,"[18, 25]",[],
18,чем,что,PRON,obl,[25],[16],Case=Loc
21,-,-,PRON,obl,[25],[],Case=Loc
22,то,то,PRON,obl,[25],[],Case=Loc
25,задумался,задуматься,VERB,ROOT,[],"[8, 18, 21, 22, 48, 127]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
34,",",",",PUNCT,punct,"[48, 25]",[],
36,возможно,возможно,ADV,advmod,"[48, 25]",[],Degree=Pos
45,он,он,PRON,nsubj,"[48, 25]",[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
48,увидел,увидеть,VERB,conj,[25],"[34, 36, 45, 55, 59, 60, 69, 76]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
55,кого,кто,PRON,obj,"[48, 25]",[],Case=Acc
59,-,-,PRON,obj,"[48, 25]",[],Case=Acc
60,то,то,PRON,obj,"[48, 25]",[],Case=Acc
63,перед,перед,ADP,case,"[69, 48, 25]",[],
69,собой,себя,PRON,obl,"[48, 25]",[63],Case=Ins
74,",",",",PUNCT,punct,"[76, 48, 25]",[],
76,человека,человек,NOUN,obj,"[48, 25]","[74, 86]",Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing
84,",",",",PUNCT,punct,"[86, 76, 48, 25]",[],
86,вызывающего,вызывать,VERB,acl,"[76, 48, 25]","[84, 100, 115]",Aspect=Imp|Case=Gen|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act
98,у,у,ADP,case,"[100, 86, 76, 48, 25]",[],
100,него,него,PRON,obl,"[86, 76, 48, 25]",[98],Case=Gen|Gender=Masc|Number=Sing|Person=Third
