,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Мой,мой,DET,det,[11],[],Case=Nom|Gender=Masc|Number=Sing
4,первый,первый,ADJ,amod,[11],[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
11,день,день,NOUN,ROOT,[],"[0, 4, 18, 36]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
16,в,в,ADP,case,"[18, 11]",[],
18,статусе,статус,NOUN,nmod,[11],"[16, 26]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
26,миллионера,миллионер,NOUN,nmod,"[18, 11]",[],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
36,.,.,PUNCT,punct,[11],[],
38,1,1,NUM,ROOT,[],[39],
39,.,.,PUNCT,punct,[38],[],
41,Не,не,PART,advmod,[44],[],Polarity=Neg
44,пойду,пойти,VERB,ROOT,[],"[41, 53, 57]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
50,на,на,ADP,case,"[53, 44]",[],
53,пары,пара,NOUN,obl,[44],[50],Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
57,.,.,PUNCT,punct,[44],[],
59,2,2,NUM,ROOT,[],[60],
60,.,.,PUNCT,punct,[59],[],
62,Позвоню,позвоню,NOUN,ROOT,[],"[70, 77]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
70,друзьям,друг,NOUN,iobj,[62],[],Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur
77,.,.,PUNCT,punct,[62],[],
79,3,3,NUM,ROOT,[],[80],
80,.,.,PUNCT,punct,[79],[],
82,Буду,буду,AUX,aux,[87],[],Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
87,ждать,ждать,VERB,ROOT,[],"[82, 102, 109]",Aspect=Imp|VerbForm=Inf|Voice=Act
93,вечерних,вечерний,ADJ,amod,"[102, 87]",[],Case=Gen|Degree=Pos|Number=Plur
102,гуляний,гуляние,NOUN,obj,[87],[93],Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
109,.,.,PUNCT,punct,[87],[],
111,4,4,NUM,ROOT,[],[112],
112,.,.,PUNCT,punct,[111],[],
114,Пойду,пойду,VERB,ROOT,[],"[120, 126]",Aspect=Perf|Tense=Past|VerbForm=Conv|Voice=Act
120,гулять,гулять,VERB,xcomp,[114],[],Aspect=Imp|VerbForm=Inf|Voice=Act
126,.,.,PUNCT,punct,[114],[],
128,5,5,NUM,ROOT,[],[129],
129,.,.,PUNCT,punct,[128],[],
131,Решу,решу,PROPN,ROOT,[],"[165, 170]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
135,",",",",PUNCT,punct,"[165, 131]",[],
137,что,что,SCONJ,mark,"[165, 131]",[],
141,завтра,завтра,ADV,advmod,"[165, 131]",[],Degree=Pos
148,на,на,ADP,case,"[151, 165, 131]",[],
151,пары,пара,NOUN,obl,"[165, 131]",[148],Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
156,опять,опять,ADV,advmod,"[165, 131]",[],Degree=Pos
162,не,не,PART,advmod,"[165, 131]",[],Polarity=Neg
165,пойду,пойти,VERB,ccomp,[131],"[135, 137, 141, 151, 156, 162]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
170,.,.,PUNCT,punct,[131],[],
