,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,В,в,ADP,case,"[9, 15]",[],
2,восемь,восемь,NUM,nummod:gov,"[9, 15]",[],Case=Acc
9,часов,час,NOUN,obl,[15],"[0, 2]",Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
15,разбудил,разбудить,VERB,ROOT,[],"[9, 24, 30]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
24,звонок,звонок,NOUN,nsubj,[15],[],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
30,.,.,PUNCT,punct,[15],[],
32,Это,это,PRON,nsubj,[40],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
36,был,был,AUX,cop,[40],[],Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
40,нотариус,нотариус,NOUN,ROOT,[],"[32, 36, 48]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
48,.,.,PUNCT,punct,[40],[],
50,Он,он,PRON,nsubj,[67],[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
53,что,что,PRON,obj,[67],[],Case=Acc
56,-,-,PRON,obj,[67],[],Case=Acc
57,то,то,PRON,obj,[67],[],Case=Acc
60,быстро,быстро,ADV,advmod,[67],[],Degree=Pos
67,проговорил,проговорить,VERB,ROOT,[],"[50, 53, 56, 57, 60, 80, 97]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
78,и,и,CCONJ,cc,"[80, 67]",[],
80,попросил,попросить,VERB,conj,[67],"[78, 89]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
89,приехать,приехать,VERB,xcomp,"[80, 67]",[],Aspect=Perf|VerbForm=Inf|Voice=Act
97,.,.,PUNCT,punct,[67],[],
99,Я,я,PRON,nsubj,[108],[],Case=Nom|Number=Sing|Person=First
101,быстро,быстро,ADV,advmod,[108],[],Degree=Pos
108,собралась,собраться,VERB,ROOT,[],"[99, 101, 120, 127]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
118,и,и,CCONJ,cc,"[120, 108]",[],
120,поехала,поехать,VERB,conj,[108],[118],Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
127,.,.,PUNCT,punct,[108],[],
129,Василий,василий,PROPN,nsubj,[146],[137],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
137,Павлович,павлович,PROPN,appos,"[129, 146]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
146,сказал,сказать,VERB,ROOT,[],"[129, 195, 224]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
152,",",",",PUNCT,punct,"[195, 146]",[],
154,что,что,SCONJ,mark,"[195, 146]",[],
158,от,от,ADP,case,"[180, 195, 146]",[],
161,какого,какой,DET,det,"[180, 195, 146]",[],Case=Gen|Gender=Masc|Number=Sing
167,-,-,DET,det,"[180, 195, 146]",[],Case=Gen|Gender=Masc|Number=Sing
168,то,то,DET,det,"[180, 195, 146]",[],Case=Gen|Gender=Masc|Number=Sing
171,дальнего,дальний,ADJ,amod,"[180, 195, 146]",[],Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
180,родственника,родственник,NOUN,obl,"[195, 146]","[158, 161, 167, 168, 171]",Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing
193,я,я,PRON,nsubj,"[195, 146]",[],Case=Nom|Number=Sing|Person=First
195,получила,получить,VERB,ccomp,[146],"[152, 154, 180, 193, 212]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
204,миллион,миллион,NOUN,nummod:gov,"[212, 195, 146]",[],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
212,долларов,доллар,NOUN,obj,"[195, 146]","[204, 221]",Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
221,США,сша,PROPN,nmod,"[212, 195, 146]",[],Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
224,.,.,PUNCT,punct,[146],[],
226,Я,я,PRON,nsubj,[234],[],Case=Nom|Number=Sing|Person=First
228,долго,долго,ADV,advmod,[234],[],Degree=Pos
234,молчала,молчать,VERB,ROOT,[],"[226, 228, 241]",Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
241,...,...,PUNCT,punct,[234],[],
245,затем,затем,ADV,advmod,[260],[],Degree=Pos
251,медленно,медленно,ADV,advmod,[260],[],Degree=Pos
260,встала,встать,VERB,ROOT,[],"[245, 251, 269, 274]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
267,и,и,CCONJ,cc,"[269, 260]",[],
269,вышла,выйти,VERB,conj,[260],[267],Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
274,.,.,PUNCT,punct,[260],[],
276,Шла,шла,NOUN,nsubj,[310],"[283, 288]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
280,по,по,ADP,case,"[283, 276, 310]",[],
283,улице,улица,NOUN,nmod,"[276, 310]",[280],Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
288,...,...,PUNCT,punct,"[276, 310]",[],
292,мыслей,мысль,NOUN,nsubj,[310],[299],Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
299,никаких,никакой,DET,det,"[292, 310]",[],Case=Gen|Number=Plur
307,не,не,PART,advmod,[310],[],Polarity=Neg
310,было,быть,VERB,ROOT,[],"[276, 292, 307, 314]",Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
314,.,.,PUNCT,punct,[310],[],
316,Вернулась,вернуться,VERB,ROOT,[],"[326, 339, 351]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
326,домой,домой,ADV,advmod,[316],[],Degree=Pos
331,",",",",PUNCT,punct,"[339, 316]",[],
333,долго,долго,ADV,advmod,"[339, 316]",[],Degree=Pos
339,сидела,сидеть,VERB,conj,[316],"[331, 333, 346]",Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
346,молча,молча,ADV,advmod,"[339, 316]",[],Degree=Pos
351,.,.,PUNCT,punct,[316],[],
353,Потом,потом,ADV,advmod,[359],[],Degree=Pos
359,позвонила,позвонить,VERB,ROOT,[],"[353, 369, 376, 395]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
369,маме,мама,NOUN,iobj,[359],[],Animacy=Anim|Case=Dat|Gender=Fem|Number=Sing
374,и,и,CCONJ,cc,"[376, 359]",[],
376,сообщила,сообщить,VERB,conj,[359],"[374, 385, 388]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
385,ей,она,PRON,iobj,"[376, 359]",[],Case=Dat|Gender=Fem|Number=Sing|Person=Third
388,новость,новость,NOUN,obj,"[376, 359]",[],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
395,.,.,PUNCT,punct,[359],[],
397,Мама,мама,NOUN,nsubj,[418],[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
402,тут,тут,ADV,advmod,[418],[406],Degree=Pos
406,же,же,PART,advmod,"[402, 418]",[],
409,мысленно,мысленно,ADV,advmod,[418],[],Degree=Pos
418,потратила,потратить,VERB,ROOT,[],"[397, 402, 409, 432, 463]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
428,все,весь,DET,det,"[432, 418]",[],Animacy=Inan|Case=Acc|Number=Plur
432,деньги,деньга,NOUN,obj,[418],"[428, 440]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
438,:,:,PUNCT,punct,"[440, 432, 418]",[],
440,квартира,квартира,NOUN,parataxis,"[432, 418]","[438, 450, 459]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
448,",",",",PUNCT,punct,"[450, 440, 432, 418]",[],
450,машина,машина,NOUN,conj,"[440, 432, 418]",[448],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
457,и,и,CCONJ,cc,"[459, 440, 432, 418]",[],
459,проч,проч,NOUN,conj,"[440, 432, 418]",[457],Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
463,..,..,PUNCT,punct,[418],[],
466,и,и,CCONJ,cc,[468],[],
468,проч,проч,NOUN,ROOT,[],"[466, 472]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
472,.,.,PUNCT,punct,[468],[],
474,Решили,решить,VERB,ROOT,[],"[481, 507]",Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
481,разделить,разделить,VERB,xcomp,[474],"[491, 498]",Aspect=Perf|VerbForm=Inf|Voice=Act
491,деньги,деньга,NOUN,obj,"[481, 474]",[],Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
498,напополам,напополам,ADJ,iobj,"[481, 474]",[],Degree=Pos|Gender=Masc|Number=Sing|StyleVariant=Short
507,.,.,PUNCT,punct,[474],[],
509,Мама,мама,NOUN,nsubj,[514],[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
514,оставила,оставить,VERB,ROOT,[],"[509, 523, 536, 561]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
523,их,они,PRON,obj,[514],[],Animacy=Inan|Case=Acc|Number=Plur|Person=Third
526,до,до,ADP,case,"[536, 514]",[],
529,лучших,хороший,ADJ,amod,"[536, 514]",[],Case=Gen|Degree=Pos|Number=Plur
536,времен,время,NOUN,obl,[514],"[526, 529, 552]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
543,(,(,PUNCT,punct,"[552, 536, 514]",[],
544,«,"""",PUNCT,punct,"[545, 552, 536, 514]",[],
545,мне,я,PRON,iobj,"[552, 536, 514]",[544],Case=Dat|Number=Sing|Person=First
549,на,на,ADP,case,"[552, 536, 514]",[],
552,будущее,будущее,NOUN,parataxis,"[536, 514]","[543, 545, 549, 559, 560]",Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
559,»,"""",PUNCT,punct,"[552, 536, 514]",[],
560,),),PUNCT,punct,"[552, 536, 514]",[],
561,.,.,PUNCT,punct,[514],[],
563,Я,я,PRON,nsubj,[568],[565],Case=Nom|Number=Sing|Person=First
565,же,же,PART,advmod,"[563, 568]",[],
568,решила,решить,VERB,ROOT,[],"[563, 575, 594]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
575,устроить,устроить,VERB,xcomp,[568],[589],Aspect=Perf|VerbForm=Inf|Voice=Act
584,свою,свой,DET,det,"[589, 575, 568]",[],Case=Acc|Gender=Fem|Number=Sing
589,жизнь,жизнь,NOUN,obj,"[575, 568]",[584],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
594,...,...,PUNCT,punct,[568],[],
598,По,по,ADP,case,"[608, 615]",[],
601,мамину,мамин,ADJ,amod,"[608, 615]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
608,совету,совет,NOUN,obl,[615],"[598, 601]",Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
615,купила,купить,VERB,ROOT,[],"[608, 622, 639]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
622,квартиру,квартира,NOUN,obj,[615],[633],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
631,и,и,CCONJ,cc,"[633, 622, 615]",[],
633,машину,машина,NOUN,conj,"[622, 615]",[631],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
639,.,.,PUNCT,punct,[615],[],
641,И,и,CCONJ,cc,[643],[],
643,началась,начаться,VERB,ROOT,[],"[641, 660, 665]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
652,весёлая,весёлый,ADJ,amod,"[660, 643]",[],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
660,жизнь,жизнь,NOUN,nsubj,[643],[652],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
665,...,...,PUNCT,punct,[643],[],
669,Гулянки,гулянка,NOUN,ROOT,[],"[679, 689, 708]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
677,с,с,ADP,case,"[679, 669]",[],
679,друзьями,друг,NOUN,nmod,[669],[677],Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur
687,",",",",PUNCT,punct,"[689, 669]",[],
689,путешествия,путешествие,NOUN,conj,[669],"[687, 704]",Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
701,по,по,ADP,case,"[704, 689, 669]",[],
704,миру,мир,NOUN,nmod,"[689, 669]",[701],Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
708,.,.,PUNCT,punct,[669],[],
710,Исполнила,исполнить,VERB,ROOT,[],"[725, 733, 748]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
720,свою,свой,DET,det,"[725, 710]",[],Case=Acc|Gender=Fem|Number=Sing
725,мечту,мечта,NOUN,obj,[710],[720],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
731,—,—,PUNCT,punct,"[733, 710]",[],
733,съездила,съездить,VERB,parataxis,[710],"[731, 744]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
742,к,к,ADP,case,"[744, 733, 710]",[],
744,морю,море,NOUN,obl,"[733, 710]",[742],Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
748,...,...,PUNCT,punct,[710],[],
