,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Мне,я,PRON,iobj,[4],[],Case=Dat|Number=Sing|Person=First
4,кажется,казаться,VERB,ROOT,[],"[0, 28, 84]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
11,",",",",PUNCT,punct,"[28, 4]",[],
13,что,что,SCONJ,mark,"[28, 4]",[],
17,на,на,ADP,case,"[20, 28, 4]",[],
20,картине,картина,NOUN,obl,"[28, 4]",[17],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
28,изображен,изобразить,VERB,ccomp,[4],"[11, 13, 20, 52, 62]",Aspect=Perf|Gender=Masc|Number=Sing|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
38,один,один,DET,amod,"[52, 28, 4]",[45],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
43,и,и,CCONJ,cc,"[45, 38, 52, 28, 4]",[],
45,тот,тот,DET,det,"[38, 52, 28, 4]","[43, 49]",Case=Nom|Gender=Masc|Number=Sing
49,же,же,PART,advmod,"[45, 38, 52, 28, 4]",[],
52,человек,человек,NOUN,nsubj:pass,"[28, 4]",[38],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
60,с,с,ADP,case,"[62, 28, 4]",[],
62,разницей,разница,NOUN,obl,"[28, 4]","[60, 71, 75]",Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
71,лет,год,NOUN,nmod,"[62, 28, 4]",[],Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
75,пятьдесят,пятьдесят,NUM,nmod,"[62, 28, 4]",[],Case=Nom
84,.,.,PUNCT,punct,[4],[],
86,Прошло,пройти,VERB,ROOT,[],"[93, 110, 186]",Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
93,много,много,ADV,nsubj,[86],[99],Degree=Pos
99,лет,год,NOUN,obl,"[93, 86]",[],Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
102,",",",",PUNCT,punct,"[110, 86]",[],
104,и,и,CCONJ,cc,"[110, 86]",[],
106,тот,тот,DET,det,"[110, 86]",[],Case=Nom|Gender=Masc|Number=Sing
110,человек,человек,NOUN,conj,[86],"[102, 104, 106, 143]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
117,",",",",PUNCT,punct,"[143, 110, 86]",[],
119,который,который,PRON,nsubj,"[143, 110, 86]",[],Case=Nom|Gender=Masc|Number=Sing
