,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Прветик,прветик,NOUN,nsubj,[50],"[8, 11]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
8,зая,зая,PROPN,appos,"[0, 50]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
11,",",",",PUNCT,punct,"[0, 50]",[],
13,последний,последний,ADJ,amod,"[23, 50]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
23,месяц,месяц,NOUN,nsubj,[50],"[13, 34]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
29,моей,мой,DET,det,"[34, 23, 50]",[],Case=Gen|Gender=Fem|Number=Sing
34,жизни,жизнь,NOUN,nmod,"[23, 50]",[29],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
40,был,был,AUX,cop,[50],[],Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
44,очень,очень,ADV,advmod,[50],[],Degree=Pos
50,интересным,интересный,ADJ,ROOT,[],"[0, 23, 40, 44, 60]",Case=Ins|Degree=Pos|Gender=Masc|Number=Sing
60,.,.,PUNCT,punct,[50],[],
62,Во,во,ADV,parataxis,[73],[],Degree=Pos
64,-,-,ADV,parataxis,[73],[],Degree=Pos
65,первых,первых,ADV,parataxis,[73],[],Degree=Pos
71,",",",",PUNCT,punct,[73],[],
73,учеба,учёба,NOUN,ROOT,[],"[62, 64, 65, 71, 80, 118]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
78,",",",",PUNCT,punct,"[80, 73]",[],
80,устаю,уставать,VERB,conj,[73],"[78, 114]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
85,",",",",PUNCT,punct,"[87, 114, 80, 73]",[],
87,конечно,конечно,ADV,parataxis,"[114, 80, 73]","[85, 94]",Degree=Pos
