,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Здравствуй,здравствовать,VERB,ROOT,[],[10],Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
10,.,.,PUNCT,punct,[0],[],
12,Знаешь,знать,VERB,ROOT,[],"[20, 100, 114]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Second|Tense=Pres|VerbForm=Fin|Voice=Act
18,",",",",PUNCT,punct,"[20, 12]",[],
20,вспоминал,вспоминать,VERB,conj,[12],"[18, 30, 34]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
30,тут,тут,ADV,advmod,"[20, 12]",[],Degree=Pos
34,моменты,момент,NOUN,obj,"[20, 12]","[45, 81]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
42,из,из,ADP,case,"[45, 34, 20, 12]",[],
45,жизни,жизнь,NOUN,nmod,"[34, 20, 12]",[42],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
50,",",",",PUNCT,punct,"[81, 34, 20, 12]",[],
52,в,в,ADP,case,"[54, 81, 34, 20, 12]",[],
54,которых,которых,PRON,obl,"[81, 34, 20, 12]",[52],Case=Loc|Number=Plur
62,мы,мы,PRON,nsubj,"[81, 34, 20, 12]",[],Case=Nom|Number=Plur|Person=First
65,с,с,ADP,case,"[67, 81, 34, 20, 12]",[],
67,тобой,ты,PRON,obl,"[81, 34, 20, 12]",[65],Case=Ins|Number=Sing|Person=Second
73,отлично,отлично,ADV,advmod,"[81, 34, 20, 12]",[],Degree=Pos
81,проводили,проводить,VERB,acl:relcl,"[34, 20, 12]","[50, 54, 62, 67, 73, 91]",Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
91,время,время,NOUN,obj,"[81, 34, 20, 12]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
96,",",",",PUNCT,punct,"[100, 12]",[],
98,и,и,CCONJ,cc,"[100, 12]",[],
100,решил,решить,VERB,conj,[12],"[96, 98, 106]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
106,написать,написать,VERB,xcomp,"[100, 12]",[],Aspect=Perf|VerbForm=Inf|Voice=Act
114,.,.,PUNCT,punct,[12],[],
116,Последнее,последний,ADJ,amod,"[126, 132]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
126,время,время,NOUN,obl,[132],[116],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
132,наблюдал,наблюдать,VERB,ROOT,[],"[126, 144, 165, 180, 265]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
141,за,за,ADP,case,"[144, 132]",[],
144,собой,себя,PRON,obl,[132],[141],Case=Ins
150,некий,некий,DET,det,"[165, 132]",[],Case=Acc|Gender=Masc|Number=Sing
156,духовный,духовный,ADJ,amod,"[165, 132]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
165,подъем,подъём,NOUN,obj,[132],"[150, 156]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
171,",",",",PUNCT,punct,"[180, 132]",[],
173,во,во,ADP,case,"[176, 180, 132]",[],
176,мне,я,PRON,obl,"[180, 132]",[173],Case=Loc|Number=Sing|Person=First
180,открылись,открыться,VERB,conj,[132],"[171, 176, 196]",Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid
190,новые,новый,ADJ,amod,"[196, 180, 132]",[],Case=Nom|Degree=Pos|Number=Plur
196,черты,черта,NOUN,nsubj,"[180, 132]","[190, 208, 222]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
202,моего,мой,DET,det,"[208, 196, 180, 132]",[],Case=Gen|Gender=Masc|Number=Sing
208,таланта,талант,NOUN,nmod,"[196, 180, 132]",[202],Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
215,",",",",PUNCT,punct,"[222, 196, 180, 132]",[],
217,чему,что,PRON,iobj,"[222, 196, 180, 132]",[],Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
222,способствовало,способствовать,VERB,acl:relcl,"[196, 180, 132]","[215, 217, 237]",Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
237,написание,написание,NOUN,nsubj,"[222, 196, 180, 132]",[253],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
247,новых,новый,ADJ,amod,"[253, 237, 222, 196, 180, 132]",[],Case=Gen|Degree=Pos|Number=Plur
253,произведений,произведение,NOUN,nmod,"[237, 222, 196, 180, 132]",[247],Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
265,.,.,PUNCT,punct,[132],[],
267,Чуть,чуть,ADV,advmod,"[272, 275]",[],Degree=Pos
272,не,не,PART,advmod,[275],[267],Polarity=Neg
275,забыл,забыть,VERB,ROOT,[],"[272, 287, 324, 333]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
280,",",",",PUNCT,punct,"[287, 275]",[],
282,тебе,ты,PRON,iobj,"[287, 275]",[],Case=Dat|Number=Sing|Person=Second
287,привет,привет,NOUN,conj,[275],"[280, 282, 297]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
294,от,от,ADP,case,"[297, 287, 275]",[],
297,отца,отец,NOUN,obl,"[287, 275]",[294],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
301,",",",",PUNCT,punct,"[324, 275]",[],
303,и,и,CCONJ,cc,"[324, 275]",[],
305,вообще,вообще,ADV,parataxis,"[324, 275]",[],Degree=Pos
311,",",",",PUNCT,punct,"[324, 275]",[],
313,как,как,ADV,advmod,"[324, 275]",[],Degree=Pos
317,ты,ты,PRON,nsubj,"[324, 275]",[],Case=Nom|Number=Sing|Person=Second
320,там,там,ADV,advmod,"[324, 275]",[],Degree=Pos
324,поживаешь,поживать,VERB,conj,[275],"[301, 303, 305, 311, 313, 317, 320]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Second|Tense=Pres|VerbForm=Fin|Voice=Act
333,?,?,PUNCT,punct,[275],[],
335,Слышал,слышать,VERB,ROOT,[],"[354, 372]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
341,",",",",PUNCT,punct,"[354, 335]",[],
343,что,что,SCONJ,mark,"[354, 335]",[],
347,не,не,PART,advmod,"[354, 335]",[],Polarity=Neg
350,без,без,ADP,case,"[354, 335]",[],
354,удач,удача,NOUN,ccomp,[335],"[341, 343, 347, 350, 367]",Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
359,в,в,ADP,case,"[367, 354, 335]",[],
361,своих,свой,DET,det,"[367, 354, 335]",[],Case=Loc|Number=Plur
367,делах,дело,NOUN,nmod,"[354, 335]","[359, 361]",Animacy=Inan|Case=Loc|Gender=Neut|Number=Plur
372,.,.,PUNCT,punct,[335],[],
374,На,на,ADP,case,"[377, 382]",[],
377,днях,день,NOUN,obl,[382],[374],Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur
382,планирую,планировать,VERB,ROOT,[],"[377, 391, 518]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
391,отправиться,отправиться,VERB,xcomp,[382],"[405, 414]",Aspect=Perf|VerbForm=Inf|Voice=Mid
403,в,в,ADP,case,"[405, 391, 382]",[],
405,поездку,поездка,NOUN,obl,"[391, 382]",[403],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
412,",",",",PUNCT,punct,"[414, 391, 382]",[],
414,посетить,посетить,VERB,conj,"[391, 382]","[412, 423]",Aspect=Perf|VerbForm=Inf|Voice=Act
423,столицу,столица,NOUN,obj,"[414, 391, 382]","[433, 486]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
431,и,и,CCONJ,cc,"[433, 423, 414, 391, 382]",[],
433,Петербург,петербург,PROPN,conj,"[423, 414, 391, 382]",[431],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
442,",",",",PUNCT,punct,"[486, 423, 414, 391, 382]",[],
444,чья,чей,DET,det,"[448, 486, 423, 414, 391, 382]",[],Case=Nom|Gender=Fem|Number=Sing
448,культура,культура,NOUN,nsubj,"[486, 423, 414, 391, 382]","[444, 459]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
457,и,и,CCONJ,cc,"[459, 448, 486, 423, 414, 391, 382]",[],
459,искусство,искусство,NOUN,conj,"[448, 486, 423, 414, 391, 382]",[457],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
469,уже,уже,ADV,advmod,"[473, 480, 486, 423, 414, 391, 382]",[],Degree=Pos
473,долгое,долгий,ADJ,amod,"[480, 486, 423, 414, 391, 382]",[469],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
480,время,время,NOUN,obl,"[486, 423, 414, 391, 382]",[473],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
486,вызывают,вызывать,VERB,acl:relcl,"[423, 414, 391, 382]","[442, 448, 480, 511]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
495,мой,мой,DET,det,"[511, 486, 423, 414, 391, 382]",[],Case=Acc|Gender=Masc|Number=Sing
499,беспощадный,беспощадный,ADJ,amod,"[511, 486, 423, 414, 391, 382]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
511,интерес,интерес,NOUN,obj,"[486, 423, 414, 391, 382]","[495, 499]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
518,.,.,PUNCT,punct,[382],[],
520,Да,да,CCONJ,cc,[533],[523],
523,и,и,CCONJ,fixed,"[520, 533]",[],
525,вообще,вообще,ADV,parataxis,[533],[531],Degree=Pos
