,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],"[8, 12]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,",",",",PUNCT,punct,"[8, 0]",[],
8,друг,друг,NOUN,parataxis,[0],[6],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
12,!,!,PUNCT,punct,[0],[],
14,Сколько,сколько,NUM,nummod:gov,[22],[],Animacy=Inan|Case=Acc
22,лет,год,NOUN,ROOT,[],"[14, 35, 38]",Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
25,",",",",PUNCT,punct,"[35, 22]",[],
27,сколько,сколько,NUM,nummod:gov,"[35, 22]",[],Case=Nom
35,зим,зим,ADJ,acl,[22],"[25, 27]",Case=Gen|Degree=Pos|Number=Plur
38,!,!,PUNCT,punct,[22],[],
40,Давно,давно,ADV,advmod,[49],[],Degree=Pos
46,не,не,PART,advmod,[49],[],Polarity=Neg
49,списывались,списываться,VERB,ROOT,[],"[40, 46, 61, 63, 78, 87, 90]",Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Pass
61,-,-,PUNCT,nsubj,[49],[],
63,решил,решить,VERB,conj,[49],[69],Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
69,написать=,написать=,PROPN,obj,"[63, 49]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
78,),),PUNCT,punct,[49],[],
80,Как,как,SCONJ,mark,"[84, 87, 49]",[],
84,ты,ты,PRON,nsubj,"[87, 49]",[80],Case=Nom|Number=Sing|Person=Second
87,сам,сам,ADJ,parataxis,[49],[84],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
90,?,?,PUNCT,punct,[49],[],
92,Что,что,PRON,nsubj,[105],[96],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
96,нового,новый,ADJ,amod,"[92, 105]",[],Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
103,у,у,ADP,case,[105],[],
105,тебя,ты,PRON,ROOT,[],"[92, 103, 109]",Case=Gen|Number=Sing|Person=Second
109,?,?,PUNCT,punct,[105],[],
111,Как,как,SCONJ,mark,[115],[],
115,семья,семья,NOUN,ROOT,[],"[111, 120]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
120,?,?,PUNCT,punct,[115],[],
122,У,у,ADP,case,"[124, 162]",[],
