,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,По,по,ADP,case,"[9, 32]",[],
3,моему,мой,DET,det,"[9, 32]",[],Case=Dat|Gender=Neut|Number=Sing
9,мнению,мнение,NOUN,obl,[32],"[0, 3]",Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
16,на,на,ADP,case,"[24, 32]",[],
19,этой,этот,DET,det,"[24, 32]",[],Case=Loc|Gender=Fem|Number=Sing
24,картине,картина,NOUN,obl,[32],"[16, 19]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
32,изображены,изобразить,VERB,ROOT,[],"[9, 24, 43, 80]",Aspect=Perf|Number=Plur|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
43,люди,человек,NOUN,nsubj:pass,[32],[57],Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
47,",",",",PUNCT,punct,"[57, 43, 32]",[],
49,которые,которые,PRON,nsubj,"[57, 43, 32]",[],Case=Nom|Number=Plur
57,стоят,стоять,VERB,acl:relcl,"[43, 32]","[47, 49, 73]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
63,в,в,ADP,case,"[73, 57, 43, 32]",[],
65,длинной,длинный,ADJ,amod,"[73, 57, 43, 32]",[],Case=Loc|Degree=Pos|Gender=Fem|Number=Sing
73,очереди,очередь,NOUN,obl,"[57, 43, 32]","[63, 65]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
80,.,.,PUNCT,punct,[32],[],
82,Молодой,молодой,ADJ,amod,"[90, 129]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
90,человек,человек,NOUN,nsubj:pass,[129],"[82, 100, 120]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
98,в,в,ADP,case,"[100, 90, 129]",[],
100,силу,сила,NOUN,nmod,"[90, 129]","[98, 112]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
105,своего,свой,DET,det,"[112, 100, 90, 129]",[],Case=Gen|Gender=Masc|Number=Sing
112,возраста,возраст,NOUN,nmod,"[100, 90, 129]",[105],Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
120,",",",",PUNCT,punct,"[90, 129]",[],
122,еще,еще,ADV,advmod,[129],[],Degree=Pos
126,не,не,PART,advmod,[129],[],Polarity=Neg
129,измучен,измучить,VERB,ROOT,[],"[90, 122, 126, 144, 153]",Aspect=Perf|Gender=Masc|Number=Sing|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
137,долгим,долгий,ADJ,amod,"[144, 129]",[],Case=Ins|Degree=Pos|Gender=Neut|Number=Sing
144,ожиданием,ожидание,NOUN,obl,[129],[137],Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
153,.,.,PUNCT,punct,[129],[],
155,А,а,CCONJ,cc,[184],[],
157,вот,вот,PART,advmod,"[161, 184]",[],
161,женщина,женщина,NOUN,nsubj,[184],[157],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
169,стоящая,стоить,VERB,acl,[184],[180],Aspect=Imp|Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act
177,за,за,ADP,case,"[180, 169, 184]",[],
180,ним,он,PRON,obl,"[169, 184]",[177],Case=Ins|Gender=Masc|Number=Sing|Person=Third
184,устала,устать,VERB,ROOT,[],"[155, 161, 169, 202, 238, 270]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
190,",",",",PUNCT,punct,"[202, 184]",[],
192,ее,её,DET,det,"[195, 202, 184]",[],
195,взгляд,взгляд,NOUN,nsubj:pass,"[202, 184]",[192],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
202,устремлен,устремить,VERB,conj,[184],"[190, 195, 220]",Aspect=Perf|Gender=Masc|Number=Sing|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
212,куда,куда,ADV,amod,"[220, 202, 184]",[],Degree=Pos
216,-,-,ADV,advmod,"[220, 202, 184]",[],Degree=Pos
217,то,то,ADV,advmod,"[220, 202, 184]",[],Degree=Pos
220,вдаль,вдаль,ADV,nsubj:pass,"[202, 184]","[212, 216, 217]",Degree=Pos
225,",",",",PUNCT,punct,"[238, 184]",[],
227,видимо,видимо,ADV,advmod,"[238, 184]",[],Degree=Pos
234,там,там,ADV,advmod,"[238, 184]",[],Degree=Pos
238,находится,находиться,VERB,conj,[184],"[225, 227, 234, 248]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
248,объект,объект,NOUN,nsubj,"[238, 184]",[258],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
255,ее,её,DET,det,"[258, 248, 238, 184]",[],
258,интересующий,интересовать,VERB,appos,"[248, 238, 184]",[255],Aspect=Imp|Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act
270,.,.,PUNCT,punct,[184],[],
272,А,а,CCONJ,cc,[307],[],
