,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Я,я,PRON,nsubj,[2],[],Case=Nom|Number=Sing|Person=First
2,считаю,считать,VERB,ROOT,[],"[0, 29, 55]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
8,",",",",PUNCT,punct,"[29, 2]",[],
10,что,что,SCONJ,mark,"[29, 2]",[],
14,именно,именно,PART,advmod,"[21, 29, 2]",[],
21,меня,я,PRON,obj,"[29, 2]",[14],Case=Acc|Number=Sing|Person=First
26,вы,вы,PRON,nsubj,"[29, 2]",[],Case=Nom|Number=Plur|Person=Second
29,должны,должный,ADJ,ccomp,[2],"[8, 10, 21, 26, 36]",Degree=Pos|Number=Plur|StyleVariant=Short
36,взять,взять,VERB,xcomp,"[29, 2]",[49],Aspect=Perf|VerbForm=Inf|Voice=Act
42,на,на,ADP,case,"[49, 36, 29, 2]",[],
45,эту,этот,DET,det,"[49, 36, 29, 2]",[],Case=Acc|Gender=Fem|Number=Sing
49,работу,работа,NOUN,obl,"[36, 29, 2]","[42, 45]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
55,.,.,PUNCT,punct,[2],[],
57,Конечно,конечно,ADV,parataxis,[68],[64],Degree=Pos
64,",",",",PUNCT,punct,"[57, 68]",[],
66,я,я,PRON,nsubj,[68],[],Case=Nom|Number=Sing|Person=First
68,объясню,объяснить,VERB,ROOT,[],"[57, 66, 76, 82]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
76,почему,почему,ADV,advmod,[68],[],Degree=Pos
82,.,.,PUNCT,punct,[68],[],
84,Я,я,PRON,nsubj,[86],[],Case=Nom|Number=Sing|Person=First
86,имею,иметь,VERB,ROOT,[],"[84, 98, 111, 176]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
91,высшее,высокий,ADJ,amod,"[98, 86]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
98,образование,образование,NOUN,obj,[86],[91],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
109,",",",",PUNCT,punct,"[111, 86]",[],
111,закончила,закончить,VERB,conj,[86],"[109, 133, 155]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
121,Воронежский,воронежский,ADJ,amod,"[133, 111, 86]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
133,ГАСУ,гасу,PROPN,obj,"[111, 86]","[121, 141]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
138,по,по,ADP,case,"[141, 133, 111, 86]",[],
141,специальности,специальность,NOUN,nmod,"[133, 111, 86]",[138],Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
155,управление,управление,NOUN,nsubj,"[111, 86]",[166],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
166,персоналом,персонал,NOUN,nmod,"[155, 111, 86]",[],Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing
176,.,.,PUNCT,punct,[86],[],
178,У,у,ADP,case,"[180, 185]",[],
180,меня,я,PRON,obl,[185],[178],Case=Gen|Number=Sing|Person=First
185,есть,быть,VERB,ROOT,[],"[180, 200, 246, 277]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
190,небольшой,небольшой,ADJ,amod,"[200, 185]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
200,опыт,опыт,NOUN,nsubj,[185],"[190, 205]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
205,работы,работа,NOUN,nmod,"[200, 185]",[],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
211,",",",",PUNCT,punct,"[246, 185]",[213],
213, , ,SPACE,case,"[211, 246, 185]",[],
214,сразу,сразу,ADV,advmod,"[226, 246, 185]",[],Degree=Pos
220,после,после,ADP,case,"[226, 246, 185]",[],
226,окончания,окончание,NOUN,obl,"[246, 185]","[214, 220, 236]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
236,учебы,учёба,NOUN,nmod,"[226, 246, 185]",[],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
242,мне,я,PRON,iobj,"[246, 185]",[],Case=Dat|Number=Sing|Person=First
246,представилась,представиться,VERB,conj,[185],"[211, 226, 242, 266]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
260,такая,такой,DET,det,"[266, 246, 185]",[],Case=Nom|Gender=Fem|Number=Sing
