,FPI All / 1045,FPI ж / 696,FPI м / 343,FPI н / 6,FPI повествование / 553,FPI описание / 325,FPI официальный / 167,BIG5 All / 536,BIG5 ж / 338,BIG5 м / 198,BIG5 описание / 261,BIG5 повествование / 203,BIG5 рассуждение / 72
",_PUNCT",1038,694,338,6,552,323,163,526,335,191,254,200,72
._PUNCT,1038,691,341,6,551,323,164,533,336,197,261,201,71
на_ADP,979,656,317,6,506,318,155,476,303,173,249,173,54
в_ADP,975,655,314,6,531,300,144,465,298,167,206,192,67
и_CCONJ,973,655,312,6,510,321,142,477,305,172,235,180,62
я_PRON,903,614,284,5,540,205,158,389,245,144,133,198,58
не_PART,882,602,274,6,531,253,98,394,256,138,173,185,36
что_SCONJ,807,573,228,6,421,274,112,331,225,106,165,143,23
с_ADP,800,546,250,4,488,204,108,337,217,120,145,162,30
у_ADP,771,548,222,1,495,200,76,294,192,102,110,168,16
как_SCONJ,717,488,226,3,497,150,70,277,184,93,90,175,12
а_CCONJ,643,463,176,4,378,217,48,283,191,92,140,119,24
что_PRON,642,448,189,5,382,213,47,299,198,101,142,138,19
но_CCONJ,606,432,171,3,367,190,49,247,173,74,108,123,16
это_PRON,576,416,158,2,333,198,45,235,159,76,116,98,21
очень_ADV,560,432,125,3,379,120,61,216,165,51,74,130,12
ты_PRON,555,384,169,2,523,30,2,204,130,74,9,194,1
так_ADV,552,398,152,2,382,112,58,196,131,65,71,114,11
этот_DET,552,384,166,2,265,215,72,250,163,87,138,93,19
по_ADP,551,397,153,1,349,118,84,201,133,68,79,105,17
!_PUNCT,547,389,156,2,443,57,47,202,139,63,35,158,9
?_PUNCT,543,372,168,3,485,52,6,196,127,69,32,158,6
свой_DET,535,381,152,2,247,216,72,237,158,79,124,76,37
все_PRON,531,379,151,1,417,93,21,185,137,48,43,130,12
мы_PRON,509,357,149,3,428,69,12,181,120,61,43,134,4
к_ADP,479,331,146,2,272,138,69,173,118,55,85,78,10
она_PRON,457,340,116,1,169,268,20,242,159,83,187,49,6
за_ADP,450,312,136,2,257,146,47,193,125,68,92,89,12
как_ADV,439,314,120,5,327,103,9,147,104,43,48,92,7
хотеть_VERB,438,310,126,2,271,113,54,159,102,57,62,92,5
мой_DET,438,318,115,5,294,68,76,161,114,47,45,101,15
весь_DET,432,314,115,3,288,98,46,171,119,52,61,85,25
время_NOUN,426,292,132,2,300,87,39,173,116,57,57,106,10
он_PRON,424,315,106,3,224,175,25,187,129,58,120,60,7
хороший_ADJ,423,301,122,0,304,76,43,162,106,56,30,117,15
человек_NOUN,400,291,107,2,138,182,80,210,136,74,140,55,15
о_ADP,395,282,111,2,214,152,29,174,118,56,99,63,12
привет_NOUN,388,273,113,2,388,0,0,155,101,54,0,155,0
уже_ADV,382,280,101,1,281,80,21,124,85,39,27,96,1
и_PART,373,286,86,1,251,92,30,140,95,45,54,80,6
они_PRON,358,267,89,2,186,147,25,197,131,66,103,66,28
мочь_VERB,356,261,94,1,159,134,63,143,94,49,71,62,10
дело_NOUN,350,235,114,1,304,24,22,154,100,54,23,115,16
быть_VERB,349,251,97,1,217,94,38,116,69,47,43,59,14
же_PART,349,256,91,2,219,98,32,129,88,41,48,66,15
думать_VERB,348,250,95,3,189,134,25,145,96,49,73,66,6
