	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	274	-0.19744930227975907	0.022721959143673573	133.0	3.0220205661085853	94	0.19374423819902803	0.03398237745086914	120.0	4.077885294104297	202	-0.30875537273899095	0.01462051259678727	62.0	0.9064717810008107	117	-0.6163372399027073	5.036988451759637e-09	74.0	3.727371454302131e-07	191	-0.3485388615270566	1.0165846138895908e-06	187	0.00019010132279735346	27	0.31147476474443037	0.03957859619544539	44.0	1.741458232599597	31	-0.4011096610756235	0.02069765685397212	33.0	0.6830226761810799	278	0.3822932194671907	0.0234269415088815	35.0	0.8199429528108525	100	0.40658562692487993	0.01130493051369678	38.0	0.42958735952047766	26	0.3957348360010005	0.03711275443665484	28.0	1.0391571242263355	196	-0.518163722229001	0.001207400284396595	36.0	0.04346641023827742	112	0.43348605144633595	0.021197253018528418	28.0	0.5935230845187957	69	0.43715303953820833	0.025539064802952635	26.0	0.6640156848767685
1	223	-0.19436759407304574	0.024972845925049062	133.0	3.321388508031525											83	0.5938219455229118	2.4521275310827386e-08	74.0	1.8145743730012266e-06	274	0.3159352487416391	1.0591592068762485e-05	187	0.0019806277168585846	284	0.2975018977928741	0.049849449344425874	44.0	2.1933757711547384	283	-0.39267987725596826	0.023792852704490993	33.0	0.7851641392482027						148	-0.40654170483641155	0.011314609474427756	38.0	0.42995516002825473						219	0.5173687587285204	0.001232302546982403	36.0	0.04436289169136651	286	-0.4026162136604022	0.033657798042807587	28.0	0.9424183451986125	8	-0.39139588686365534	0.04801075532041354	26.0	1.248279638330752
2	229	-0.19409279073854058	0.025182526174636344	133.0	3.3492759812266337											143	-0.5254319740531243	1.5342283116551524e-06	74.0	0.00011353289506248128	101	0.31156477997725235	1.4212624103232878e-05	187	0.002657760707304548						275	0.3866743661010537	0.026222936506163943	33.0	0.8653569047034101						219	0.3850764144017363	0.01697016298501588	38.0	0.6448661934306034						22	0.48995717863320454	0.002419686417669611	36.0	0.087108711036106										
3	184	0.1845555494223245	0.03345242354204914	133.0	4.4491723310925355											252	-0.5110106944277654	3.2843920937984957e-06	74.0	0.00024304501494108868	46	0.30873253571358383	1.7154122205938852e-05	187	0.0032078208525105653						42	0.38260052793503346	0.0279846451970968	33.0	0.9234932915041943						262	0.381948810037115	0.017964981533616628	38.0	0.6826692982774318						221	0.48254186536783367	0.002877264458132143	36.0	0.10358152049275715										
4	121	0.1845080658865265	0.033498747648275325	133.0	4.455333437220618											277	0.4715391363813121	2.228018402232947e-05	74.0	0.0016487336176523807	238	-0.30655310310319855	1.9799957787962197e-05	187	0.0037025921063489307						146	-0.3766868543676863	0.03071343824674367	33.0	1.0135434621425412						28	0.36411633285943457	0.024617307842413408	38.0	0.9354576980117095						24	0.47702440210942676	0.003264993743834608	36.0	0.11753977477804589										
5	61	-0.18372539374898172	0.03427015905315311	133.0	4.5579311540693634											15	0.4680848647289988	2.605606103340479e-05	74.0	0.0019281485164719544	257	0.30482906124928333	2.2161276629865966e-05	187	0.004144158729784936						234	0.37645625888787965	0.03082409002724273	33.0	1.01719497089901						215	0.36183160271435494	0.02560105964609409	38.0	0.9728402665515754						184	-0.47642799814962644	0.0033095073490955547	36.0	0.11914226456743997										
6	275	0.1828443873171924	0.035156389238499335	133.0	4.675799768720411											123	0.4175658665735867	0.00021432693593107812	74.0	0.01586019325889978	266	-0.30193761974012606	2.6728195244544015e-05	187	0.004998172510729731						135	0.3737555119844291	0.03214442949834464	33.0	1.060766173445373						135	0.35884444566075785	0.026936157127598594	38.0	1.0235739708487466						177	0.4692700175028899	0.0038863549181206132	36.0	0.1399087770523421										
7	216	0.17984817035187473	0.038316396675559125	133.0	5.096080757849363											152	0.41306356259740906	0.00025460544293589085	74.0	0.018840802777255923	107	0.30025518738928925	2.9779953417295644e-05	187	0.005568851289034286						16	-0.3718388538143807	0.033109101842285556	33.0	1.0926003607954233						47	0.3463543537877119	0.033156988811311836	38.0	1.2599655748298497						211	-0.45099806787361135	0.005769388743399149	36.0	0.20769799476236936										
8	299	0.1783756324369789	0.03995488944802101	133.0	5.314000296586794											250	-0.4114668236419941	0.00027048363077974367	74.0	0.02001578867770103	234	0.2960240238383081	3.897031253004437e-05	187	0.0072874484431182975						296	0.3718186683594448	0.033119385272061735	33.0	1.0929397139780372						115	-0.3463491590874784	0.03315980188515607	38.0	1.2600724716359306						92	0.4466579054326371	0.006317597630788135	36.0	0.22743351470837286										
9	169	0.17718441607033292	0.04132298279095351	133.0	5.4959567111968175											255	-0.40691379498620067	0.00032088037335581583	74.0	0.02374514762833037	68	-0.29566138139998677	3.987133556513954e-05	187	0.007455939750681094						122	0.3704012380790171	0.03384801429658324	33.0	1.116984471787247						185	-0.34544226993608884	0.03365391317653433	38.0	1.2788487007083045						236	-0.4414900736916852	0.007028190290463842	36.0	0.2530148504566983										
10	177	-0.17656107734497004	0.042054369958711	133.0	5.593231204508563											275	0.4035604462529376	0.00036334811322552964	74.0	0.026887760378689195	72	0.29498448076733463	4.160586119572047e-05	187	0.007780296043599728						251	-0.368703216483869	0.03473797314132224	33.0	1.1463531136636338						167	-0.34512436184092743	0.03382854338831403	38.0	1.285484648755933						17	-0.4324235342284433	0.008440898879890003	36.0	0.3038723596760401										
11	164	0.1750437990269604	0.04388001170201989	133.0	5.836041556368645											81	-0.4029012952678971	0.00037227773577572595	74.0	0.02754855244740372	242	-0.28750781968101224	6.612414640305363e-05	187	0.012365215377371027						266	0.3686658627617327	0.034757762190678575	33.0	1.1470061522923929						159	-0.33174085903514955	0.04188114494741035	38.0	1.5914835080015932						145	-0.4258980045979661	0.009601799982516673	36.0	0.34566479937060024										
12	173	0.17166112728544053	0.04818913965544831	133.0	6.409155574174625											94	-0.39962942334102575	0.0004196480673176047	74.0	0.031053956981502744	232	-0.28506677150006593	7.670839321024839e-05	187	0.014344469530316449						236	0.36723775061683983	0.03552122841110484	33.0	1.1722005375664597						224	-0.32977283212912634	0.04318647287202116	38.0	1.641085969136804						106	-0.4249669426082618	0.009778026918145848	36.0	0.3520089690532505										
13																114	-0.39618513398608024	0.000475414071590581	74.0	0.03518064129770299	105	-0.2818957049491008	9.283877145961451e-05	187	0.017360850262947914						281	0.36427843127274295	0.037146568312503785	33.0	1.225836754312625						204	-0.3283117499366972	0.044176693057619607	38.0	1.6787143361895451						4	0.42019669642838053	0.01072469847386703	36.0	0.3860891450592131										
14																176	0.38288424629062784	0.0007601779358644465	74.0	0.05625316725396904	270	0.27919159371071456	0.00010905079459366626	187	0.02039249858901559						217	-0.3629121600324833	0.037916998474751946	33.0	1.2512609496668143						103	-0.32644409987446255	0.04546908763162143	38.0	1.7278253300016142						222	0.41878993847871954	0.011018303001611322	36.0	0.39665890805800763										
15																192	0.3669258322839125	0.0013015922383660021	74.0	0.09631782563908416	167	0.2760922958321802	0.00013087722005682953	187	0.02447404015062712						113	-0.36202040432992433	0.03842678210468983	33.0	1.2680838094547644						263	0.325865043948744	0.04587592635671051	38.0	1.7432852015549996						216	-0.41002909298885426	0.01300448742881998	36.0	0.46816154743751925										
16																7	-0.35836548826298453	0.0017178078724452742	74.0	0.1271177825609503	127	-0.2725467213856606	0.0001608287675296313	187	0.030074979528041054						229	0.36189029971945536	0.03850161869621927	33.0	1.270553416975236						62	0.3240655957382347	0.04715897004813339	38.0	1.7920408618290686						153	0.4100201975781561	0.013006648264890829	36.0	0.46823933753606983										
17																290	-0.3542808706986368	0.001955794098896372	74.0	0.1447287633183315	8	-0.2724150077713562	0.00016205599581317916	187	0.0303044712170645						201	0.3616409659017635	0.0386453652690508	33.0	1.2752970538786765						227	-0.3221636425163956	0.048546353862721464	38.0	1.8447614467834157						88	-0.4054579259670254	0.01415560537995992	36.0	0.5096017936785571										
18																36	0.33342037513847933	0.003697019960693657	74.0	0.2735794770913306	252	0.2723494821404803	0.00016266977440778372	187	0.030419247814255555						136	-0.35976553229824065	0.039740539221520065	33.0	1.311437794310162						199	-0.3207545985085102	0.049595195056050145	38.0	1.8846174121299055						48	0.40129382931234386	0.015277785081686413	36.0	0.5500002629407109										
19																223	-0.3158165262213335	0.006124594250877404	74.0	0.45321997456492785	211	-0.26944905058767155	0.000192116040636977	187	0.0359256995991147						132	-0.3595119793391208	0.03989050503944368	33.0	1.3163866663016413																8	-0.39795627882461676	0.016230359396268487	36.0	0.5842929382656655										
