	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	268	-0.3238531706858111	0.01314064592922108	58.0	0.7621574638948226	64	0.5413105264003383	0.0029328330994793893	28.0	0.0821193267854229	46	-0.9573413132707216	0.0007054638290128322	7.0	0.004938246803089825	9	-0.9832954814564169	0.002585196752919907	5.0	0.012925983764599535	157	-0.6740815314917008	0.016222862924498295	12.0	0.19467435509397954	222	0.8831581234032859	0.01968047213081242	6.0	0.11808283278487453	33	-0.9115381472257807	0.011392120006633663	6.0	0.06835272003980197	276	-0.6878524614920833	0.027910438174753926	10.0	0.27910438174753927	260	0.9947534316318205	0.005246568368179494	4.0	0.020986273472717976	105	0.7771721998957588	0.0006511866053242712	15	0.009767799079864067	110	0.995921602419748	0.004078397580251969	4.0	0.016313590321007876	59	-0.9964186323551807	0.003581367644819311	4.0	0.014325470579277244	28	0.5775844495523057	0.01912740291910758	16.0	0.3060384467057213	82	-0.8951940157147419	0.00046433209351117414	10.0	0.004643320935111742	264	-0.9386566776225329	0.018069568446005265	5.0	0.09034784223002633
1	250	0.30954057332459434	0.01805604139946004	58.0	1.0472504011686823	140	-0.4801448499820453	0.00971293903517582	28.0	0.2719622929849229	176	0.9482772865005383	0.001136360141792115	7.0	0.007954520992544805	108	0.9518770059038886	0.012580642438812925	5.0	0.06290321219406463	266	-0.6629431366906227	0.01878873679859338	12.0	0.22546484158312055	176	-0.8795605008030384	0.020884981456403332	6.0	0.12530988873842						67	0.6605998688295474	0.03759080242149578	10.0	0.37590802421495784	116	0.9925877869943094	0.0074122130056906155	4.0	0.029648852022762462	204	-0.7470745505828671	0.0013708726662605398	15	0.020563089993908098	16	-0.9936730006324552	0.006326999367544772	4.0	0.02530799747017909	149	0.9943353504531005	0.005664649546899492	4.0	0.022658598187597967	266	-0.5639811369684928	0.02287616547634068	16.0	0.36601864762145087	227	-0.7564987543206786	0.011326732392889918	10.0	0.11326732392889918	2	0.9316123536583639	0.021246843603613924	5.0	0.10623421801806962
2	219	-0.30622411132043015	0.01939582766616281	58.0	1.124958004637443	231	0.4434415363779387	0.01810082970902632	28.0	0.5068232318527369	82	0.8693041041191522	0.01104087244428347	7.0	0.07728610710998429	136	0.9450366539076986	0.015340174876602027	5.0	0.07670087438301014	175	-0.6314662190351099	0.02763976744517289	12.0	0.3316772093420747	114	0.8789654852970069	0.02108749191319869	6.0	0.12652495147919213											125	-0.9925456379311958	0.007454362068804232	4.0	0.02981744827521693	51	-0.7153777801234216	0.002714114566468225	15	0.040711718497023375	52	0.9924322444457248	0.007567755554275246	4.0	0.030271022217100985	43	0.9888420110748021	0.011157988925197926	4.0	0.0446319557007917	78	0.5624415528837078	0.02333367045501865	16.0	0.3733387272802984	268	0.7313035550372206	0.01624332598990401	10.0	0.1624332598990401	224	-0.9292980408201561	0.022326508568557953	5.0	0.11163254284278976
3	43	0.3011236410199959	0.0216208280319122	58.0	1.2540080258509076	67	-0.4341453628882735	0.020979603741748617	28.0	0.5874289047689613	67	-0.8583732455902138	0.013413588994370193	7.0	0.09389512296059135	82	0.9341889479152752	0.020065400175414038	5.0	0.1003270008770702	152	0.5877564498972072	0.04445378131580493	12.0	0.5334453757896591	62	0.8305558975004724	0.040634475249725466	6.0	0.2438068514983528											71	-0.9836219033981436	0.016378096601856407	4.0	0.06551238640742563	147	0.7115731691844638	0.0029287223974564943	15	0.043930835961847416	300	-0.9905324497519583	0.00946755024804169	4.0	0.03787020099216676	112	-0.9736119435485513	0.026388056451448705	4.0	0.10555222580579482	7	-0.5623323467582652	0.023366387614661636	16.0	0.3738622018345862	34	0.7247267250173014	0.017737071375287218	10.0	0.17737071375287217	157	-0.9286143947187827	0.022648738020154213	5.0	0.11324369010077107
4	283	0.2785160333519134	0.03425753038429114	58.0	1.9869367622888863	15	-0.4329320298160512	0.021381571416277743	28.0	0.5986839996557768	180	0.8313339975213941	0.020446029291252513	7.0	0.1431222050387676	187	-0.9303134089825922	0.02185069120583468	5.0	0.10925345602917341	217	0.5851983348240852	0.045619936483640225	12.0	0.5474392378036828																217	-0.982638323622378	0.017361676377621982	4.0	0.06944670551048793	266	0.6702366990227251	0.006253290160807304	15	0.09379935241210956	164	0.98576049842576	0.014239501574240032	4.0	0.05695800629696013	182	-0.9720149770205578	0.027985022979442165	4.0	0.11194009191776866	198	-0.5542047480783555	0.025902070289440346	16.0	0.41443312463104554	149	-0.7245690032163085	0.017774020696310264	10.0	0.17774020696310264	10	-0.9220960610314102	0.025794780640192787	5.0	0.12897390320096394
5	197	-0.2748069648803816	0.03682601317325424	58.0	2.135908764048746	80	-0.43135615519698794	0.02191303958454883	28.0	0.6135651083673673	57	-0.7977230844068718	0.03159071138511993	7.0	0.2211349796958395	85	0.9273082739215219	0.02326849846253948	5.0	0.1163424923126974																					199	0.9794643509353045	0.020535649064695516	4.0	0.08214259625878206	186	0.668147854212143	0.0064781620774169175	15	0.09717243116125376	223	-0.9853802742259185	0.014619725774081549	4.0	0.058478903096326196	292	0.9684870125448517	0.0315129874551483	4.0	0.1260519498205932	182	-0.5242074650137034	0.03712253577158787	16.0	0.5939605723454059	131	0.6960249720293669	0.02537877455129386	10.0	0.2537877455129386	215	0.9175726757992004	0.028054133436024895	5.0	0.1402706671801245
6	238	-0.2589447649650829	0.0496747757755028	58.0	2.8811369949791623	187	0.4310893087644521	0.022004095231633526	28.0	0.6161146664857388	251	-0.7973526135458988	0.031728792969190574	7.0	0.22210155078433402	104	-0.9013589952832709	0.03663427570566451	5.0	0.18317137852832255																					69	-0.9737703256248189	0.02622967437518109	4.0	0.10491869750072436	108	-0.6630424254411199	0.007054648157331749	15	0.10581972235997623	162	0.9852397351761142	0.014760264823885816	4.0	0.05904105929554326	161	-0.9519926061554281	0.048007393844571866	4.0	0.19202957537828746	160	-0.5142147506519128	0.04157349924408191	16.0	0.6651759879053105	127	0.6601040592458625	0.03778531642892144	10.0	0.3778531642892144	268	0.9172267596927304	0.02822941163881492	5.0	0.1411470581940746
7						116	0.42787219606014015	0.023126432531183485	28.0	0.6475401108731376	222	-0.7859961119874221	0.0361253109998316	7.0	0.2528771769988212	34	-0.8888674769870675	0.04372403935395113	5.0	0.21862019676975566																					182	0.9733441360412568	0.026655863958743198	4.0	0.10662345583497279	236	0.6450303950601288	0.009417528105242712	15	0.14126292157864068	218	-0.983436860530449	0.016563139469551014	4.0	0.06625255787820405						43	0.5133865452641637	0.041959592597705965	16.0	0.6713534815632954	6	0.6572711342310555	0.03890975652544207	10.0	0.3890975652544207	45	-0.9125327056382915	0.030642262259309994	5.0	0.15321131129654997
8						20	-0.426596857974889	0.023584096422375217	28.0	0.6603546998265061	214	0.7700103794558407	0.042855370665924875	7.0	0.2999875946614741	134	0.8813728350920775	0.0481645280109758	5.0	0.24082264005487902																					227	0.9723143195557581	0.02768568044424191	4.0	0.11074272177696765	261	0.6437590972497188	0.009605103874351225	15	0.14407655811526837	275	-0.9819715166775654	0.018028483322434563	4.0	0.07211393328973825						261	-0.5087314095095004	0.04417999262308624	16.0	0.7068798819693798	71	0.6556950204579608	0.03954500262615935	10.0	0.3954500262615935	100	0.9028901797985915	0.03579308840918924	5.0	0.1789654420459462
