	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	68	0.15769441868922676	0.02649971513962024	198.0	5.246943597644807	242	0.3180645413439978	0.002003504708965509	92.0	0.1843224332248268	248	0.2549445291216113	0.003419496705831766	130	0.4445345717581296	241	0.38123696755124464	0.006878463320176472	49.0	0.3370447026886471	142	0.2685184272240801	0.029258895793402007	66.0	1.9310871223645325	291	0.3817297346260254	0.0022029806560097047	62.0	0.1365848006726017	75	0.503987200062743	6.382412034765736e-06	72.0	0.000459533666503133	255	0.43482013579836615	0.008045746518402744	36.0	0.2896468746624988	234	-0.2408258379214625	0.0446138858638945	70.0	3.1229720104726146	247	-0.1979855338278499	0.032372790402732825	117.0	3.7876164771197405	295	-0.25259125644270597	0.022052822950763207	82.0	1.808331481962583	238	0.32110583975640783	0.0010601290677467378	101.0	0.10707303584242052	122	-0.3518783063231299	0.00468289953593671	63.0	0.29502267076401273	28	0.3292430786579916	0.029085357154137428	44.0	1.2797557147820469	275	0.5106825498620883	0.0012397262721519282	37.0	0.04586987206962134
1						283	0.30576760205781617	0.003036128246464564	92.0	0.2793237986747399	233	0.2509776394334895	0.0039742813545502655	130	0.5166565760915345	236	0.37054291617994983	0.008770761207724152	49.0	0.42976729917848344						103	-0.3654434480791394	0.00349251531353725	62.0	0.21653594943930948	158	-0.46049042630109766	4.698081153934905e-05	72.0	0.0033826184308331313	98	-0.36494643226182877	0.028632683326334958	36.0	1.0307765997480585											127	-0.24796307708509516	0.024695500044115488	82.0	2.02503100361747	193	-0.3103227599240884	0.0015872519914212826	101.0	0.16031245113354953	290	-0.3384511046473697	0.006664642015150393	63.0	0.4198724469544748	236	-0.3271059015908247	0.03021013345840508	44.0	1.3292458721698235	54	-0.4403622457309385	0.006379301264976029	37.0	0.23603414680411308
2						62	-0.3028285117778657	0.0033447230157188485	92.0	0.30771451744613404	127	0.24512223382600656	0.0049411512642155205	130	0.6423496643480177	300	-0.3671165514418756	0.009465362632911391	49.0	0.46380276901265816						73	-0.36112533480250286	0.003931143394170186	62.0	0.24373089043855153	201	-0.44930748637121043	7.524062777289516e-05	72.0	0.005417325199648451	85	0.3385204988274561	0.04343471486029848	36.0	1.5636497349707452											141	0.24588796082430345	0.025965065647309785	82.0	2.129135383079402	100	-0.3083030134586148	0.001709089797547697	101.0	0.1726180695523174	180	0.3286322617939308	0.008546528001788664	63.0	0.5384312641126858	132	-0.3265903423348401	0.0304867924141771	44.0	1.3414188662237925	210	-0.41892413995204514	0.009860714932897124	37.0	0.36484645251719355
3						37	-0.27382515674398555	0.008260978358991436	92.0	0.7600100090272122	272	-0.24081327538354497	0.0057816773682969605	130	0.7516180578786048	88	0.36622162405939707	0.009654417322409861	49.0	0.4730664487980832						104	0.3411078295811414	0.006665334601286835	62.0	0.4132507452797838	204	0.43252490301055707	0.00014803883147266177	72.0	0.010658795866031648	80	0.3376070785612287	0.04403984135698689	36.0	1.585434288851528											232	0.24238212374840995	0.028235702548320734	82.0	2.3153276089623	192	-0.29535932111029034	0.002712442226254759	101.0	0.27395666485173065	222	-0.3275543306404291	0.008778952732944533	63.0	0.5530740221755056	120	0.32219719561997273	0.032930364931989274	44.0	1.448936057007528	179	-0.4023897943553466	0.01354900062610934	37.0	0.5013130231660455
4						201	0.2633704616277725	0.011194311212538575	92.0	1.029876631553549	41	-0.23554715562844353	0.0069803346042151115	130	0.9074434985479645	187	0.35596936351107117	0.012063417767347206	49.0	0.5911074706000131						192	-0.33645961614443004	0.007499433311896197	62.0	0.4649648653375642	110	0.4152794972879922	0.00028632710774166386	72.0	0.0206155517573998	9	-0.3369596140448073	0.04447287787258319	36.0	1.6010236034129948											109	0.23587417213870202	0.032896743294650956	82.0	2.6975329501613783	218	-0.2947534758072773	0.0027703206334477796	101.0	0.27980238397822577	118	-0.32215888161179124	0.010026957191926174	63.0	0.631698303091349	94	-0.31446062855510665	0.03762562338945136	44.0	1.6555274291358597	100	-0.3997129153473653	0.014243939207613703	37.0	0.527025750681707
5						230	0.25912195817578504	0.012624642444506024	92.0	1.1614671048945542	76	0.23533718205621718	0.0070323972370348875	130	0.9142116408145353	17	0.3503700643251369	0.01358456463124914	49.0	0.6656436669312079						184	0.33503754350374726	0.007772206567533794	62.0	0.4818768071870952	36	0.41163200660730453	0.00032772737332120727	72.0	0.023596370879126922																179	0.23210294470029438	0.0358820714410819	82.0	2.942329858168716	125	-0.2882345188994766	0.0034671376627199357	101.0	0.3501809039347135	38	-0.31866804188067227	0.010914111343463814	63.0	0.6875890146382203	113	-0.31131688629149024	0.039684125177536084	44.0	1.7461015078115878	75	0.38461176798162783	0.01875216747464801	37.0	0.6938301965619763
6						99	0.25372937470283285	0.014667295436885247	92.0	1.3493911801934426	216	0.2343399486020049	0.007284393349546634	130	0.9469711354410624	204	0.348419981988442	0.014151482982347289	49.0	0.6934226661350171						58	0.3289716907045743	0.009035348747191996	62.0	0.5601916223259038	125	-0.4058022284095192	0.00040539741226360904	72.0	0.029188613682979852																170	-0.2302888410565232	0.037396948642434105	82.0	3.0665497886795965	168	-0.28298926036041366	0.00413772846328148	101.0	0.4179105747914295	19	-0.3154530258641408	0.01179054414321277	63.0	0.7428042810224045	22	-0.3089887271787157	0.04126720495936392	44.0	1.8157570182120126	216	0.3706002883040238	0.023946932744044122	37.0	0.8860365115296325
7						1	-0.24678474374271878	0.01771524396621403	92.0	1.6298024448916908	276	-0.23332462805906765	0.0075491542728431645	130	0.9813900554696113	190	-0.34750719717344347	0.014423707040995114	49.0	0.7067616450087606						19	0.32558216441434634	0.009816186129371914	62.0	0.6086035400210587	185	0.3971908295717457	0.0005511704999075688	72.0	0.03968427599334495																77	-0.2280369887070843	0.039351297158088556	82.0	3.226806366963262	181	-0.28002213602161574	0.004566370571861531	101.0	0.46120342775801465	100	0.2971821190096475	0.018016244293219318	63.0	1.135023390472817	194	-0.30525702417990574	0.04391188183597733	44.0	1.9321228007830025	291	0.3682592513658351	0.024921481812751393	37.0	0.9220948270718016
8						88	0.2462851316793542	0.01795416979099651	92.0	1.651783620771679	20	-0.23259816401611055	0.0077437892510034065	130	1.0066926026304428	135	0.3469585155663582	0.014589483280296496	49.0	0.7148846807345284						292	-0.32552943595504963	0.009828782006815666	62.0	0.6093844844225713	180	-0.39455635744159623	0.0006044866444634058	72.0	0.04352303840136522																128	-0.22235435242002244	0.04466413883258322	82.0	3.662459384271824	183	0.27734044054089874	0.004987395072351722	101.0	0.5037269023075239	60	-0.29379782570698737	0.019434743965739226	63.0	1.2243888698415712						126	0.36212651824052444	0.02763114245962332	37.0	1.0223522710060629
