	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	199	0.4175434815451754	0.0011100392726432471	58.0	0.06438227781330834	198	0.42122912028001946	0.009421860175676441	37.0	0.34860882650002833	272	-0.8949932177910086	0.0064806509409628945	7.0	0.04536455658674026	16	-0.9835798592127522	0.0025195709882219544	5.0	0.012597854941109772	28	0.5171827077177519	0.048346753919574145	15.0	0.7252013087936122	10	0.7072310818131977	0.010100454670094633	12.0	0.12120545604113558	13	0.9784506982769986	0.0006915551565925413	6	0.0041493309395552475	214	-0.8889562987928964	0.0005805986575877756	10.0	0.005805986575877756	251	-0.6118762992402375	0.015342708598891058	15.0	0.23014062898336587	132	0.9810891344654243	0.01891086553457566	4.0	0.07564346213830264	83	-0.522859670266187	0.0455179746617852	15.0	0.682769619926778	58	-0.6918984866939993	0.006113569015682263	14.0	0.08558996621955169	290	-0.5836301561559163	0.02236578849233454	15.0	0.33548682738501806	175	0.8756259071135699	0.0019741228977155504	9.0	0.017767106079439952	160	-0.5709562590846987	0.020889319815000577	16.0	0.33422911704000924	12	-0.7258324489817642	0.017479530011574176	10.0	0.17479530011574176	283	-0.947653578598787	0.014263450530876635	5.0	0.07131725265438317
1	289	0.4150087980288544	0.0011984876060496413	58.0	0.0695122811508792	37	0.4017025030599578	0.013724635004280115	37.0	0.5078114951583642	134	-0.7900575250561941	0.03451648177967128	7.0	0.24161537245769896	15	-0.9661253334838531	0.007446072910036604	5.0	0.03723036455018302						259	-0.6422587137395858	0.024323546120017123	12.0	0.29188255344020547	57	-0.9717493242194895	0.0011858775812788104	6	0.007115265487672862	222	0.8218152593697091	0.003535447665389559	10.0	0.03535447665389559	221	0.6048931652969921	0.016893513340737847	15.0	0.2534027001110677																245	-0.5786168956734405	0.023833025302736167	15.0	0.3574953795410425	38	-0.8576774918272	0.003106848948513129	9.0	0.02796164053661816	186	-0.5070996067448856	0.04497876876865401	16.0	0.7196603002984642	274	-0.7079283742400079	0.021980031962787184	10.0	0.21980031962787183	222	-0.9403106221866547	0.01734811734762264	5.0	0.08674058673811319
2	197	-0.3861550880099805	0.0027542011372830863	58.0	0.159743665962419	201	0.395546666090543	0.01538522649993276	37.0	0.5692533804975122	57	-0.7895785902257609	0.03470408130236048	7.0	0.24292856911652339	116	0.9283832540181403	0.022758021061697026	5.0	0.11379010530848513						232	-0.6254616311372185	0.029620042314184674	12.0	0.3554405077702161	154	0.971561361169421	0.0012016343053724758	6	0.007209805832234855	72	0.814807665914119	0.004088312628048747	10.0	0.04088312628048747	284	-0.5939993213681336	0.01955035692398051	15.0	0.2932553538597077																					212	0.8479832057543739	0.0038740320035756375	9.0	0.03486628803218074	78	0.5048455142021828	0.04609985629225503	16.0	0.7375977006760804	164	0.6981575280521283	0.024745047535968172	10.0	0.24745047535968173	104	-0.9301076526467907	0.021946843706056676	5.0	0.10973421853028338
3	57	-0.3492510748802884	0.007207432521162947	58.0	0.4180310862274509	228	-0.38766819433153443	0.017754291350954302	37.0	0.6569087799853092						252	0.9230246055973335	0.025338603105517058	5.0	0.1266930155275853						2	-0.6068977986064642	0.03638793348189932	12.0	0.4366552017827919	125	-0.9706528531980393	0.0012792448492913468	6	0.00767546909574808	45	0.8070753443764738	0.004767338801051009	10.0	0.04767338801051009	252	0.5695662584001606	0.026665948271453688	15.0	0.3999892240718053																					237	-0.8444485612982964	0.004183336968794946	9.0	0.037650032719154514						96	-0.6339108157759151	0.04905110194197982	10.0	0.4905110194197982	176	-0.9275693617735731	0.023144178979271367	5.0	0.11572089489635684
4	295	0.3328871391130689	0.010671358419201877	58.0	0.6189387883137089	147	-0.38541494025531153	0.018485507852076942	37.0	0.6839637905268469						262	-0.8987128507809398	0.038102603599227854	5.0	0.19051301799613926						199	0.5982579267142992	0.03988685120997044	12.0	0.4786422145196453	231	0.9641354441342199	0.001906333865177654	6	0.011438003191065924	68	0.8037025192196151	0.00508736038502576	10.0	0.050873603850257604	212	-0.5349088552497228	0.03992184095381126	15.0	0.5988276143071689																					13	-0.8388846357315063	0.004703848904453938	9.0	0.04233464014008544											24	0.9176606073912572	0.028009633878717098	5.0	0.1400481693935855
5	163	0.31314481938521843	0.016690210603879912	58.0	0.9680322150250349	172	0.3707648298723916	0.023879641600197427	37.0	0.8835467392073048						148	-0.8986896328866599	0.038115568324717325	5.0	0.19057784162358662											32	0.962703459722498	0.0020606075360532767	6	0.01236364521631966	145	-0.7998929766257015	0.005466930601008132	10.0	0.054669306010081326	27	-0.534838265169399	0.03995305512137497	15.0	0.5992958268206245																					18	-0.8380258303714038	0.004787947956726443	9.0	0.043091531610537984											169	-0.9126545529650301	0.03057883017080925	5.0	0.15289415085404626
6	213	0.301096007687958	0.021633447664156598	58.0	1.2547399645210826	112	-0.37009229886493383	0.024155673538402277	37.0	0.8937599209208842						246	-0.8941664827020546	0.04066786277335487	5.0	0.20333931386677437											23	-0.9601405783177085	0.002351496448885864	6	0.014108978693315184	208	0.7975066253355865	0.005714730677636734	10.0	0.05714730677636734	46	0.5319845053837173	0.04123023442223971	15.0	0.6184535163335957																					250	0.836262306201508	0.004963855384040339	9.0	0.04467469845636305											102	-0.9042378032595985	0.03505792977847396	5.0	0.1752896488923698
7	131	0.3008032483591006	0.021767528962348338	58.0	1.2625166798162035	148	-0.3652331878789996	0.026229633635339294	37.0	0.9704964445075539						93	-0.8842019970931391	0.04647232398336585	5.0	0.23236161991682924											44	0.9521706316011616	0.003376764331154986	6	0.020260585986929914	70	-0.7936059791175367	0.006136844353784148	10.0	0.061368443537841474	286	0.5229604418374953	0.04546889337044263	15.0	0.6820334005566395																					279	-0.8299262614196267	0.005632287470746621	9.0	0.05069058723671959											298	-0.9000751928122052	0.03734434947338698	5.0	0.18672174736693492
8	233	0.3007399760897581	0.02179659939875519	58.0	1.264202765127801	68	0.3641004594517072	0.02673367512802433	37.0	0.9891459797369002																					247	-0.9520909186585002	0.003387937732572648	6	0.020327626395435887	149	0.76981364232259	0.009204685375408311	10.0	0.09204685375408311	114	0.5206002778456543	0.0466287398090342	15.0	0.6994310971355131																					209	0.8093220686659987	0.008226388614910794	9.0	0.07403749753419714											228	-0.8995888604562242	0.037614474741323095	5.0	0.18807237370661548
