	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12
0	0	3_спокойствие-суматоха	0.20538200331963144	0.017713032645877515	133.0	2.3558333419017097	99_благоразумие-безолаберность	-0.1850086067427567	0.03967683867643066	124.0	4.919927995877402	257_тёплые_чувства-холодные_чувства	-0.23625775947575786	0.016278567029578462	103.0	1.6766924040465816	15_древняя_работа-современная_работа	-0.22435712823684745	0.01375975449176241	120.0	1.6511705390114892	14_изобилие-недостаток	-0.42634936116812544	0.0005497762952774869	62	0.03408613030720418	196_неуют-уют	-0.1717452649736291	0.018757050331825075	187.0	3.5075684120512887	162_история-одномоментное_происшествие	-0.3944234067624853	0.008064617220920419	44.0	0.3548431577204984	26_ненависть-дружба	0.4699238704549391	0.004394697199799973	35.0	0.15381440199299906	43_энергия-покой	-0.3409301375294125	0.03620272847599276	38.0	1.375703682087725	167_дополнение-устранение	-0.4784172765498905	0.008659251742722581	29.0	0.25111830053895484	216_старость-смерть	0.4743266199008308	0.003470579044966092	36.0	0.12494084561877933	256_фильм-жизнь	0.4734491399668809	0.010934960227414428	28.0	0.306178886367604	214_спешка-неторопливость	-0.2612179914590803	0.04200964635868787	61.0	2.56258842787996
1	1	101_фиксация-пересмотр	0.1821679781296904	0.035849862128761026	133.0	4.768031663125217						4_праздник-быт	-0.21675512458190027	0.027864223165459747	103.0	2.8700149860423534	61_единство-разрозренность	0.21766150378494808	0.01693519562849096	120.0	2.032223475418916	82_суматоха-спокойствие	0.4098459391239351	0.0009394158180790113	62	0.05824378072089871	252_современность-древность	0.16782651879533728	0.021680824174099625	187.0	4.05431412055663	283_героизм-малодушие	-0.38929219723899394	0.00900506013806317	44.0	0.3962226460747795	122_неопределенная_тема-здоровье	0.3957451781885967	0.018611937526764037	35.0	0.6514178134367412						133_торможение-развитие	0.44390191262885453	0.01585605452546986	29.0	0.4598255812386259	48_отдаление-приближение	-0.4528021124600585	0.005553865966620243	36.0	0.19993917479832876	139_свобода-неволя	0.4648380407006071	0.012692969604345057	28.0	0.3554031489216616					
2	2	217_завоевание-бегство	-0.18183985835215288	0.0361903911997233	133.0	4.813322029563199						226_человек-транспорт	-0.2122896369505796	0.03133342540142222	103.0	3.227342816346489	223_бытовые_ситуации-глобальные_происшествия	0.20421673539439614	0.025266738484181855	120.0	3.0320086181018224	52_близость-расстояние	0.4040974214623269	0.0011250446048122898	62	0.06975276549836197	98_разрушение-поддержание	0.16567415467640267	0.023448194946850843	187.0	4.384812455061106	39_целостность-пустота	0.3639240813895521	0.015164684595821463	44.0	0.6672461222161443	272_образование-невежество	0.3909585489770753	0.020220606224005958	35.0	0.7077212178402086						152_исчезнование-появление	0.4116863263672467	0.02649184960496812	29.0	0.7682636385440755	106_кончина-вечное_искусство	0.4201153102194409	0.010741501712243695	36.0	0.3866940616407731	249_порыв-покой	0.44478663184778977	0.01771262985410305	28.0	0.4959536359148854					
3	3	12_частное-общее	-0.1747415401631923	0.04425149036591953	133.0	5.885448218667297						211_больница-дом	0.2114082220322369	0.03205966520880297	103.0	3.3021455165067057	289_недовольство-радость	-0.20221661760159773	0.02676548205681521	120.0	3.2118578468178254	125_разработка-разрушение	-0.3852099471344128	0.001990295302404908	62	0.12339830874910428	152_исчезнование-появление	-0.16508815887738515	0.023950339253047674	187.0	4.478713440319915	114_церковь-мирская_жизнь	0.363845429422279	0.015188287152809034	44.0	0.6682846347235976	212_наука-быт	-0.38792522695010256	0.021298673836826296	35.0	0.7454535842889204						113_скрытность-прозрачность	-0.4040224934204771	0.029731439903399694	29.0	0.8622117571985912	199_уют-неуют	0.41037211384286	0.012921393154701321	36.0	0.4651701535692476	208_неживая_природа-живая_природа	0.4405166226807182	0.01896918657711109	28.0	0.5311372241591106					
4	4	26_ненависть-дружба	0.1741612433381282	0.04497203510051773	133.0	5.981280668368858						210_спешка-неторопливость	-0.2047484234538428	0.03801965844593496	103.0	3.9160248199313017	67_неизменность-изменение	-0.20212918708263772	0.026832689238156744	120.0	3.2199227085788094	267_неволя-свобода	0.3824345852665503	0.002158334733500319	62	0.1338167534770198	61_единство-разрозренность	0.1602626178163697	0.028448491832249893	187.0	5.31986797263073	280_радость-недовольство	0.3305440999188237	0.02841780904791033	44.0	1.2503835981080549	258_конец-начало	0.387360551796242	0.021504540207929714	35.0	0.7526589072775399						182_светское_общество-религия	0.3828380105212197	0.04038426716889938	29.0	1.1711437478980822	206_расслабление-напряжение	0.4021173711970213	0.015050106328673474	36.0	0.5418038278322451	201_вирус-растение	0.4267528166221283	0.02352773610649553	28.0	0.658776610981875					
5	5	142_равенство-иерархия	0.17364864524473356	0.0456166292295458	133.0	6.067011687529591						214_спешка-неторопливость	-0.1992698395071524	0.04359409429741126	103.0	4.490191712633361	127_начало-конец	-0.20047400548843355	0.028132415718547483	120.0	3.375889886225698	143_неважность-значимость	-0.3784604441793806	0.0024210321765802557	62	0.15010399494797588	124_сражение-тыл	0.1598736477775962	0.02884062038680905	187.0	5.393196012333293	285_опасность-безопасность	0.3277015061616605	0.02989311186711247	44.0	1.315296922152949	129_успех-беда	-0.3520016492772603	0.03810414386058727	35.0	1.3336450351205544						87_народ-власть	0.3708282132643185	0.04766075061748699	29.0	1.3821617679071223	146_разум-чувство	-0.3998179555570881	0.015693053790738102	36.0	0.5649499364665718	83_речь-текст	-0.42163930099328994	0.025433887505623327	28.0	0.7121488501574531					
6	6											244_смерть-жизнь	0.19669080586087287	0.04644470244987256	103.0	4.7838043523368725	14_изобилие-недостаток	0.1965587293937323	0.03142158994388252	120.0	3.7705907932659017	27_труд-фортуна	0.37600560550532897	0.002597208431375345	62	0.1610269227452714	212_наука-быт	-0.15645806175777366	0.03248648908713738	187.0	6.07497345929469	23_мир-конфликт	0.32261048682246385	0.03269380714743297	44.0	1.4385275144870506	90_отдых-напряжение	-0.3516690359106019	0.03829925814198346	35.0	1.3404740349694209						229_закрытие-открытие	-0.3706454474559953	0.0477790075360813	29.0	1.3855912185463577	25_скрытность-прозрачность	-0.3955264417774103	0.016954787307691392	36.0	0.61037234307689	59_увядание-расцвет	-0.4097282122061561	0.030363826308899708	28.0	0.8501871366491918					
7	7											294_испытание-безмятежность	0.19633476068959	0.04685011681467904	103.0	4.825562031911941	221_получение_денег-отсутствие_денег	0.18797928734193448	0.0397803013719942	120.0	4.773636164639305	133_торможение-развитие	0.3717931991261353	0.002926275462572667	62	0.18142907867950533	219_соблюдение_закона-правонарушение	0.15631532876798074	0.0326470053412221	187.0	6.1049899988085325	96_наука-быт	-0.3224798323240247	0.032768438530361335	44.0	1.4418112953358992	36_спокойствие-деятельность	-0.3437675888152332	0.04317751871285614	35.0	1.5112131549499652						273_жар-холод	0.3673563916647523	0.04994717866442805	29.0	1.4484681812684137	198_обучение-достижение	-0.394969412549187	0.017124621690547674	36.0	0.6164863808597163	126_путешествие-конец_движения	-0.4047761050632948	0.032628407115610686	28.0	0.9135953992370992					
8	8											153_прерывание-продолжение	-0.19464363735111287	0.04881598452769391	103.0	5.0280464063524715	203_концепция-хаотичность	-0.1835132763307196	0.044822294841543694	120.0	5.378675380985245	103_познание-непостижимость	-0.3656798484621877	0.003469807446495303	62	0.2151280616827088	67_неизменность-изменение	-0.15556565558671268	0.03350118543211965	187.0	6.264721675806376	59_увядание-расцвет	0.3159808854627462	0.03666204374363348	44.0	1.6131299247198732	299_веселье-грусть	-0.3412672714304648	0.044821431024381235	35.0	1.5687500858533434											241_нападение-оборона	0.3921007063311663	0.018022000181884937	36.0	0.6487920065478577	171_работа-отдых	0.4004654908405279	0.034708615508102884	28.0	0.9718412342268808					
9	9											155_поражение-победа	0.1942838905032712	0.049242856318492574	103.0	5.072014200804736	164_устранение-дополнение	-0.1805851104477369	0.04840861820731642	120.0	5.809034184877969	272_образование-невежество	-0.35947659334297044	0.004111069110414278	62	0.2548862848456852	51_творческая_реализация - эмоциональное_переживание	0.15439257013608934	0.034875825080139755	187.0	6.521779289986133						213_обозрение-сокрытие	0.33844579693640764	0.04673654819480229	35.0	1.63577918681808											237_низшие_слои-высшие_слои	0.3906326290942906	0.01849624142011005	36.0	0.6658646911239618	121_несовременность-актуальность	-0.3961539600900765	0.036894514013552385	28.0	1.0330463923794666					
10	10																234_холодное_отношение-тёплое_отношение	0.1804471334999653	0.048583314273884806	120.0	5.829997712866176	107_мир-драка	0.35521963100123577	0.004609731752171914	62	0.28580336863465866	199_уют-неуют	0.15412689567675336	0.03519369566657567	187.0	6.58122108964965																					209_отрицание-утверждение	-0.3892974061761661	0.01893657673397148	36.0	0.6817167624229732	177_изыскание-решение	0.39490163271431983	0.0375496781691609	28.0	1.0513909887365054					
11	11																					204_столкновение-мир	0.35398586438724416	0.004763896465686784	62	0.29536158087258063	232_проблема-решение_проблем	-0.1511095670887524	0.038979210617406085	187.0	7.2891123854549384																					130_размеренная_жизнь-напряжённая_жизнь	0.3854877637209251	0.020241302492734845	36.0	0.7286868897384544	292_экстрим-повседневность	0.3806479358621687	0.04568251734555725	28.0	1.279110485675603					
12	12																					16_воля-неволя	-0.3499473361163698	0.005300806744886408	62	0.32865001818295725	144_физический_труд-искусство	0.15099273439713806	0.0391324325929978	187.0	7.317764894890589																					194_контроль-бесконтрольность	0.38042015422903097	0.022092133917982516	36.0	0.7953168210473704	295_прощение-мстительность	-0.3806391456161571	0.04568793136391623	28.0	1.2792620781896544					
13	13																					217_завоевание-бегство	-0.3496204906267863	0.005346503604358141	62	0.3314832234702047	176_животное-человек	-0.15066832896731674	0.03956054131040553	187.0	7.397821225045835																					277_неживая_природа-живая_природа	-0.3768767562752732	0.023468061035905024	36.0	0.8448501972925808										
14	14																					7_чужбина-родной_дом	-0.3467810451235161	0.005758305688489726	62	0.357014952686363	31_интеллект-культура	-0.1497540397559808	0.040788371418822265	187.0	7.627425455319762																					233_неопределенная_тема-часть_целого	0.3741417195348063	0.02457800759709961	36.0	0.8848082734955859										
15	15																					101_фиксация-пересмотр	0.34418281346504104	0.006159285873591969	62	0.3818757241627021	211_больница-дом	-0.14956475028107868	0.04104653739235407	187.0	7.675702492370211																					65_серьёзность-веселье	0.3729431291969431	0.02507792820669947	36.0	0.9028054154411808										
16	16																					219_соблюдение_закона-правонарушение	-0.34316273301619193	0.006323289284853186	62	0.3920439356608976	251_недостаток-достоинство	0.1490616641385493	0.04173936327072749	187.0	7.805260931626038																					115_наследство-собственность	0.3638850879131564	0.029134174398114714	36.0	1.0488302783321295										
17	17																					197_проблема-решение_проблем	0.3425104460790667	0.006430157327068112	62	0.3986697542782229	257_тёплые_чувства-холодные_чувства	0.1489506799597905	0.041893520135605634	187.0	7.834088265358252																					234_холодное_отношение-тёплое_отношение	-0.362445118849722	0.029826084595257107	36.0	1.0737390454292557										
18	18																					155_поражение-победа	0.341693486903998	0.00656623616384595	62	0.40710664215844894	238_дистанция-близость	-0.14583642639130098	0.04641806852327219	187.0	8.6801788138519																					119_окончание-процесс	-0.36200881924439465	0.030038370862804524	36.0	1.081381351060963										
19	19																					243_проблема-решение_проблем	-0.3408512424736129	0.006709162637910605	62	0.4159680835504575	15_древняя_работа-современная_работа	-0.14525733243123473	0.04730286353042828	187.0	8.845635480190088																					34_духовное_наслаждение-физическое_наслаждение	0.35877295875307263	0.031651816589197024	36.0	1.1394653972110929										
20	20																					58_формирование-перестройка	0.3386738214070264	0.007091367283848798	62	0.4396647715986255	242_отдых-работа	-0.14513163966430784	0.04749675558837548	187.0	8.881893295026213																					79_многообразие-единство	0.35556321323542506	0.03332166669216996	36.0	1.1995800009181186										
21	21																					169_потеря-приобретение	0.3335895004584997	0.008058824735018353	62	0.4996471335711379	45_наука-быт	0.14478450562274234	0.04803568567151503	187.0	8.98267322057331																					267_неволя-свобода	0.35153207011752025	0.03552008998469144	36.0	1.2787232394488917										
22	22																					234_холодное_отношение-тёплое_отношение	-0.3328183915900809	0.008215184442227194	62	0.5093414354180862																										32_разруха-реализация	0.34952377137898305	0.036658630066002784	36.0	1.3197106823761002										
23	23																					290_статистика-отсутствие_системы	-0.3327501668527552	0.008229145101895045	62	0.5102069963174928																										111_нежелание-желание	0.3434531959869039	0.04028177503051783	36.0	1.450143901098642										
24	24																					54_реальность-когнитивные_процессы	-0.3245745596691029	0.010059325682097976	62	0.6236781922900745																										269_власть-беспорядок	-0.34315221391725603	0.04046869397000777	36.0	1.4568729829202796										
25	25																					144_физический_труд-искусство	0.32350534909976275	0.010323030654916006	62	0.6400279006047922																										93_учёба-отдых	0.3419924343077624	0.0411955284375501	36.0	1.4830390237518036										
26	26																					8_застой-работа	0.3230429584870786	0.010438916882245462	62	0.6472128466992186																										163_человек-инструмент	0.33991167766269603	0.04252598422335653	36.0	1.530935432040835										
27	27																					265_радость-недовольство	-0.3223285184371173	0.01062019072385916	62	0.6584518248792679																										155_поражение-победа	0.338390582084276	0.0435203712126814	36.0	1.5667333636565304										
28	28																					225_кража-находка	0.31800547843810384	0.011776344799141605	62	0.7301333775467794																										265_радость-недовольство	-0.3336396857752245	0.04674750259154707	36.0	1.6829100932956946										
29	29																					213_обозрение-сокрытие	0.3143396406463635	0.012840445118530623	62	0.7961075973488987																										129_успех-беда	0.32978331132675265	0.04950603608523547	36.0	1.7822172990684768										
30	30																					206_расслабление-напряжение	0.31334976665049585	0.013141620278041204	62	0.8147804572385546																																								
31	31																					253_соблюдение_закона-правонарушение	0.3132795264436405	0.013163220718569938	62	0.8161196845513361																																								
32	32																					57_улица-дом	-0.31315411699938245	0.013201863026178243	62	0.8185155076230509																																								
33	33																					240_осторожность-риск	0.3119159432325437	0.013588656958186951	62	0.8424967314075911																																								
34	34																					62_жизнь-смерть	-0.3116079555411839	0.013686371158354558	62	0.8485550118179825																																								
35	35																					154_знание-сомнение	0.31045977505556643	0.014055999957090708	62	0.8714719973396238																																								
36	36																					121_несовременность-актуальность	0.3101523997324221	0.014156397052062725	62	0.8776966172278888																																								
37	37																					289_недовольство-радость	0.3027752525986145	0.016757910955553162	62	1.0389904792442959																																								
38	38																					113_скрытность-прозрачность	-0.301735460393851	0.017155601984959985	62	1.063647323067519																																								
