	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	57	-0.6057100889625562	4.710380686482183e-07	58	2.7320207981596663e-05	224	-0.5975172803943473	9.434084203597372e-05	37.0	0.003490611155331028	145	0.8374102505536725	0.018718503510623784	7.0	0.13102952457436648	238	0.9672957172147266	0.007064782130272644	5.0	0.03532391065136322	167	-0.7808798146843791	0.0027170997434014755	12.0	0.0326051969208177	226	0.9861822600229533	0.0002850757969908474	6.0	0.0017104547819450846	32	0.8741521203526053	0.022759963439881032	6.0	0.1365597806392862	209	-0.9093584700439667	0.00026439195366349474	10.0	0.002643919536634947	34	0.516633585531511	0.04862708855873095	15.0	0.7294063283809642	6	-0.9992283082922728	0.0007716917077271734	4.0	0.0030867668309086937	58	-0.7484713199557104	0.002073395786032697	14.0	0.029027541004457758	207	0.9993501134375191	0.0006498865624808836	4.0	0.0025995462499235344	212	0.602938694133519	0.017348429881137682	15.0	0.26022644821706525	57	-0.8472755248872109	0.003934658009615241	9.0	0.035411922086537165	166	-0.9999971434376781	2.856562321906786e-06	4.0	1.1426249287627144e-05	23	0.6119380413619042	0.011757920405628257	16.0	0.1881267264900521	275	0.6403396105447907	0.04610256354956955	10.0	0.4610256354956955
1	133	0.5864549191633492	1.3152005670084716e-06	58	7.628163288649135e-05	147	-0.5691602614297628	0.00023681597130806846	37.0	0.008762190938398532	87	0.8291497805875973	0.02108820544968766	7.0	0.14761743814781364	156	-0.9621295275847129	0.008796348258979736	5.0	0.04398174129489868	260	0.7084648223846847	0.009912280849363155	12.0	0.11894737019235786	21	0.9824921978223952	0.0004571014324117004	6.0	0.0027426085944702028						157	0.8845574946003861	0.0006744846298389437	10.0	0.006744846298389437						3	0.9974045373594295	0.002595462640570534	4.0	0.010381850562282136	53	-0.7044445997941903	0.004911088014061953	14.0	0.06875523219686734	89	0.995211488251584	0.004788511748415991	4.0	0.019154046993663965						134	-0.7032633166730865	0.03454851023988019	9.0	0.3109365921589217						127	-0.5861439418180268	0.01702497192602939	16.0	0.2723995508164702					
2	167	-0.5449142522415322	9.755734208777518e-06	58	0.000565832584109096	165	0.5688046191802357	0.00023943869517620563	37.0	0.008859231721519608	134	-0.7996724289384641	0.03086969006789857	7.0	0.21608783047528998	288	0.9602869054978755	0.009443442448959964	5.0	0.04721721224479982	246	0.6518593211890409	0.02162505786785886	12.0	0.25950069441430634	205	0.9766829933985999	0.0008091856675929989	6.0	0.004855114005557994						189	0.880555173538604	0.0007691291986512721	10.0	0.007691291986512721						225	-0.9952999084346327	0.004700091565367326	4.0	0.018800366261469303	137	0.6345547217996204	0.014783081585494077	14.0	0.20696314219691708	282	0.9945729083898492	0.005427091610150758	4.0	0.021708366440603033																100	-0.5837535520539471	0.0175930836261095	16.0	0.281489338017752					
3	163	0.5447241267525446	9.83964155178353e-06	58	0.0005706992100034448	133	-0.5620830203817445	0.00029416036144057004	37.0	0.010883933373301092	218	0.7958440770283773	0.03229452809900657	7.0	0.226061696693046	265	-0.9559717197688746	0.011016465863369358	5.0	0.05508232931684679	123	-0.614337500872349	0.03355547338210314	12.0	0.4026656805852377	155	0.9691648453121261	0.0014115510101049217	6.0	0.00846930606062953						153	-0.8802339221550257	0.0007771237406227937	10.0	0.007771237406227937						166	-0.9899116995313962	0.010088300468603761	4.0	0.040353201874415046						238	0.9922183621588168	0.007781637841183242	4.0	0.03112655136473297																76	0.5607901370085687	0.023832198143790215	16.0	0.38131517030064344					
4	134	-0.5372379612758695	1.3729153290449748e-05	58	0.0007962908908460853	198	0.5443055347763075	0.000496631378160682	37.0	0.018375360991945235	28	-0.7672441331322434	0.044084684929895195	7.0	0.30859279450926635	258	0.9539320647632342	0.011787126967802396	5.0	0.05893563483901198	297	-0.5951056609702101	0.0412209665672385	12.0	0.49465159880686194	58	0.965729627692148	0.0017415630635536745	6.0	0.010449378381322047						269	-0.866153555010746	0.0011909363358101306	10.0	0.011909363358101306						17	-0.9868965025991154	0.013103497400884567	4.0	0.05241398960353827						35	0.9906178609909329	0.009382139009067147	4.0	0.03752855603626859																157	0.5520258940580678	0.02661637512135376	16.0	0.4258620019416602					
5	59	0.5313672535046321	1.7729685181517547e-05	58	0.0010283217405280178	201	0.5359941941229214	0.0006282105391178687	37.0	0.02324378994736114						98	-0.9513476846355507	0.012787748571649436	5.0	0.06393874285824717	221	-0.5800814687249745	0.04801705076962744	12.0	0.5762046092355293	96	0.9626402935177613	0.0020675491410504713	6.0	0.012405294846302827						266	0.8538229169089805	0.0016680413065540483	10.0	0.016680413065540484						245	0.979350447818732	0.02064955218126796	4.0	0.08259820872507184						132	0.9869830388343772	0.013016961165622787	4.0	0.05206784466249115																87	0.5316772191455932	0.03403777226098018	16.0	0.5446043561756829					
6	120	-0.5231666243510683	2.514290568727943e-05	58	0.001458288529862207	68	0.5273616591791743	0.0007968485665863841	37.0	0.02948339696369621						229	0.9485274720450212	0.013909620138865876	5.0	0.06954810069432939						290	0.9588901307351749	0.002500293748059923	6.0	0.015001762488359537						25	-0.8517847065032262	0.0017584876598971577	10.0	0.017584876598971576						286	0.9787343070099679	0.021265692990032115	4.0	0.08506277196012846						48	-0.9848052442105054	0.015194755789494585	4.0	0.06077902315797834																77	0.5305745994288965	0.03448044731598811	16.0	0.5516871570558097					
7	4	-0.5198681424023323	2.8862895524751965e-05	58	0.001674047940435614	210	0.5097633930225495	0.0012694717033838675	37.0	0.0469704530252031						6	0.934703984617393	0.019831879998882633	5.0	0.09915939999441317						44	0.9583708718727592	0.002563405150038036	6.0	0.015380430900228217						150	-0.8513484655075897	0.0017782978338630724	10.0	0.017782978338630726						175	-0.9717563709020565	0.028243629097943534	4.0	0.11297451639177414						175	0.9763510279572942	0.023648972042705774	4.0	0.0945958881708231																276	-0.5235697104546733	0.037395358240890034	16.0	0.5983257318542405					
8	113	-0.5171554401504461	3.229672681187672e-05	58	0.0018732101550888497	228	-0.48580281584085155	0.002302628130619152	37.0	0.08519724083290862						61	-0.9328013145623756	0.020698950332566423	5.0	0.10349475166283212						239	-0.9576294270131903	0.0026548649698450773	6.0	0.015929189819070464						258	-0.8510808322131628	0.0017905310127965025	10.0	0.017905310127965025						241	-0.971621722456888	0.02837827754311195	4.0	0.1135131101724478						77	-0.9761302304401632	0.023869769559836773	4.0	0.09547907823934709																6	0.5142442283541331	0.04155980663900142	16.0	0.6649569062240227					
