	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17
0	0	248_спор-согласие	0.4054975014205892	0.0015896341839849528	58	0.09219878267112727	148_усталость-бодрость	-0.34601103777018394	0.035927189308868714	37.0	1.3293060044281422	87_народ-власть	0.9000969020503656	0.0057379003232442575	7.0	0.04016530226270981	218_трусость-мужество	-0.937639386471634	0.01851802906868755	5.0	0.09259014534343776	98_разрушение-поддержание	-0.6940098229760817	0.025987757664425747	10.0	0.2598775766442575	139_свобода-неволя	-0.5841739519602308	0.02221087626607362	15.0	0.3331631439911043	131_процесс-завершение	0.6484811926091569	0.02254832721284701	12.0	0.2705799265541642	121_несовременность-актуальность	0.965259939820435	0.0017893442727643562	6.0	0.010736065636586136	41_развлечение-когнитивная-способность	-0.8934352411185313	0.016428994503481925	6.0	0.09857396702089156	61_единство-разрозренность	-0.7518754793676021	0.012137623378037154	10.0	0.12137623378037155	34_духовное_наслаждение-физическое_наслаждение	0.5290203631073088	0.04258868493836436	15.0	0.6388302740754654	23_мир-конфликт	0.9676560209587846	0.032343979041215436	4.0	0.12937591616486174	125_разработка-разрушение	0.5719285874948828	0.025903131938494386	15.0	0.3885469790774158	58_формирование-перестройка	-0.5987395911409273	0.023676937762498663	14.0	0.3314771286749813	71_изобилие-недостаток	0.9862263927372414	0.013773607262758558	4.0	0.05509442905103423	233_неопределенная_тема-часть_целого	0.4085446911442872	0.02778321103457738	29.0	0.8057131200027441	80_сон-бодрствование	0.8414146791017059	0.00446197608691922	9.0	0.040157784782272984	140_шум-тишина	0.9800786635558091	0.003365189588546996	5.0	0.01682594794273498
1	1	289_недовольство-радость	0.3807352916573376	0.0031943045556126893	58	0.18526966422553603						149_нищета-состояние	-0.8659215350098711	0.011746864539714744	7.0	0.0822280517780032	219_соблюдение_закона-правонарушение	-0.913073106577014	0.03036125849327598	5.0	0.15180629246637992	92_жизнь-смерть	-0.6768614186941381	0.03158005311872808	10.0	0.3158005311872808	300_беспокойство-спокойствие	0.5719585289872082	0.02589357100135812	15.0	0.38840356502037177	242_отдых-работа	-0.6197230038857909	0.03160618748265465	12.0	0.37927424979185576	145_высказывание-умалчивание	0.9600972914435336	0.002356572157200887	6.0	0.014139432943205318	26_ненависть-дружба	-0.8749698440695167	0.022471540387858254	6.0	0.13482924232714952	193_порядок-беспорядок	-0.7363070495927793	0.01516725166336115	10.0	0.1516725166336115						105_сущность-внешность	-0.9576367383306076	0.042363261669392416	4.0	0.16945304667756966	288_радость-недовольство	-0.5395754170464904	0.03789831042669884	15.0	0.5684746564004826						207_фантастика-реальность	0.9718026470414896	0.02819735295851045	4.0	0.1127894118340418						81_религия-наука	-0.7915595960515927	0.011028628360501776	9.0	0.099257655244516	84_последовательность-разлад	-0.9687759412823402	0.006592092820006436	5.0	0.03296046410003218
2	2	57_улица-дом	-0.3671760956236255	0.004579415133940991	58	0.2656060777685775						82_суматоха-спокойствие	0.8567110378574282	0.01379771418710812	7.0	0.09658399930975684						144_физический_труд-искусство	0.6516122915693082	0.0412229191912402	10.0	0.4122291919124021	100_труд-отдых	0.5562557708892624	0.031286549959574	15.0	0.46929824939361	240_осторожность-риск	0.5894391733265956	0.04369827704560236	12.0	0.5243793245472284	192_производство-наука	-0.9565952252459176	0.0027850749633910273	6.0	0.01671044978034616	137_вертикальные_отношения-горизонтальные_отношения	-0.8242138711225033	0.04363518189574486	6.0	0.2618110913744692	263_влияние-зависимость	0.7327186775893998	0.015933765038574514	10.0	0.15933765038574516																					238_дистанция-близость	0.9557257550989048	0.04427424490109522	4.0	0.17709697960438087						161_холодное_отношение-тёплое_отношение	0.7788292423491018	0.013390979429216405	9.0	0.12051881486294765	204_столкновение-мир	-0.9669621753364412	0.007172772054105885	5.0	0.035863860270529416
3	3	159_реальная_жизнь-выдуманная_жизнь	0.3620788577183779	0.005223262679399128	58	0.30294923540514945						134_физическое-абстрактное	-0.8320309884747871	0.02024347318979773	7.0	0.1417043123285841						95_доброта-злость	0.6480003317273114	0.042746689531212974	10.0	0.4274668953121297	74_тёплые_чувства-холодные_чувства	0.5500627458021312	0.03363095006444553	15.0	0.5044642509666829						187_гармония-конфликт	0.9320678497857868	0.006765419685793519	6.0	0.04059251811476111						178_мыслительная_работа-физическая_работа	-0.7165977804486192	0.019711800731489173	10.0	0.19711800731489174																					48_отдаление-приближение	-0.950329048492962	0.04967095150703793	4.0	0.19868380602815167						109_убожество-роскошь	0.7594516293701185	0.01760196731322305	9.0	0.15841770581900744	186_движение-неподвижность	0.9342133469116912	0.02005431756518169	5.0	0.10027158782590846
4	4	46_идея-реализация	0.340859512572682	0.008836419889047743	58	0.5125123535647691						175_нематериальное-материальное	-0.8033736757408724	0.02952623420871442	7.0	0.20668363946100093						179_работа-искусство	0.6428136602219794	0.04500018454791092	10.0	0.4500018454791092	181_дополнение-устранение	0.5455238411731398	0.035431108301104214	15.0	0.5314666245165632						231_злость-радость	0.9203475612849557	0.009264088603347329	6.0	0.055584531620083984						127_начало-конец	0.7013460686861096	0.02381791050430821	10.0	0.2381791050430821																																				193_порядок-беспорядок	-0.9308467669295272	0.021602083524414964	5.0	0.10801041762207482
5	5	232_проблема-решение_проблем	-0.332707430958125	0.010716259289360472	58	0.6215430387829074						49_развитие-откат	-0.7808363426328624	0.03822811740096356	7.0	0.2675968218067449						53_подчинение-неповиновение	-0.6335773196229443	0.049207396910845934	10.0	0.4920739691084592	171_работа-отдых	0.5430172601882004	0.03645563304755027	15.0	0.546834495713254						69_труд-месть	-0.9080746581195974	0.012287005810248613	6.0	0.07372203486149168						188_страх-надёжность	-0.6975875513284421	0.02491335029203065	10.0	0.2491335029203065																																				236_умственный_труд-физический_труд	0.9306937966359548	0.02167329152307413	5.0	0.10836645761537067
6	6	149_нищета-состояние	-0.3276382872861208	0.012051911170095077	58	0.6990108478655145						46_идея-реализация	-0.7804241616893639	0.03839894675666836	7.0	0.2687926272966785											38_личное-общее	-0.5249865226247487	0.04449036227914182	15.0	0.6673554341871273						213_обозрение-сокрытие	0.8686630417921161	0.024741353247337863	6.0	0.1484481194840272						34_духовное_наслаждение-физическое_наслаждение	0.6922718884729413	0.02652094478178719	10.0	0.2652094478178719																																				105_сущность-внешность	0.9279728602788426	0.02295247324743265	5.0	0.11476236623716328
7	7	207_фантастика-реальность	-0.3274184613734572	0.012112942734023231	58	0.7025506785733475						272_образование-невежество	-0.7763886677595151	0.04009378814165095	7.0	0.2806565169915567											280_радость-недовольство	-0.5164214739799596	0.04873569453234248	15.0	0.7310354179851372						34_духовное_наслаждение-физическое_наслаждение	-0.8565195418746058	0.02940307239286355	6.0	0.1764184343571813						101_фиксация-пересмотр	-0.687584897206558	0.02799612507583497	10.0	0.2799612507583497																																				266_мир-война	0.8969907460508594	0.03906802019592308	5.0	0.1953401009796154
8	8	258_конец-начало	-0.3194535839626946	0.014511471319125457	58	0.8416653365092764						57_улица-дом	-0.7762984097784413	0.04013215860867146	7.0	0.2809251102607002											165_улучшение-ухудшение	0.5151353122982459	0.04939806963916278	15.0	0.7409710445874417						98_разрушение-поддержание	0.8504819867168968	0.03186216928185113	6.0	0.1911730156911068						111_нежелание-желание	0.6867343949005477	0.028269690234314162	10.0	0.28269690234314165																																				276_начало-конец	-0.8944778476809703	0.04049048519888295	5.0	0.2024524259944147
