	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17	Dim.18	Pearson C.18	P-value.18	Occ.18	P-Bonferroni.18
0	0	269_власть-беспорядок	-0.14833003019951616	0.0333564574541266	206.0	6.871430235550079	129_успех-беда	-0.2010339529719627	0.0028668411079607412	218.0	0.6249713615354416	289_недовольство-радость	-0.1946294332493453	0.03885364327798805	113.0	4.39046169041265	237_низшие_слои-высшие_слои	-0.2384270180010899	0.02528433123301277	88.0	2.225021148505124	27_труд-фортуна	-0.21956794724233766	0.01510001210364826	122.0	1.842201476645088	87_народ-власть	0.12525096242302394	0.03972081197332247	270.0	10.724619232797066	22_деятельность_наверху-деятельность_в_земле	-0.18085941192876	0.03510840375358598	136.0	4.774742910487694	94_проблема-решение_проблем	0.2423781836189541	0.004468814274552782	136.0	0.6077587413391784	56_протест-мир	-0.29480693660437185	0.014668003938384263	68.0	0.9974242678101299	81_религия-наука	-0.16613784273857254	0.039470052239951856	154.0	6.078388044952586	136_апатия-взбудораженность	-0.3093285819116956	0.01921241399313222	57.0	1.0951075976085365	229_закрытие-открытие	-0.4946294377079782	0.0007472692367033838	43	0.032132577178245504	295_прощение-мстительность	-0.30953404769855136	0.006885507842568208	75.0	0.5164130881926156	54_реальность-когнитивные_процессы	0.2552256284113014	0.032976075710609086	70.0	2.3083252997426364	292_экстрим-повседневность	-0.4284305433305932	0.002381663981131568	48.0	0.11431987109431528	283_героизм-малодушие	-0.4014875333983734	0.020567127388384773	33.0	0.6787152038166976	129_успех-беда	0.454969897216529	0.008888338315226259	32.0	0.2844268260872403	157_отсутствие_чувств-чувства	0.2873744210943322	0.02028003398942908	65.0	1.3182022093128902	3_спокойствие-суматоха	0.42733553239516603	0.008338907909090178	37.0	0.30853959263633657
1	1						201_вирус-растение	-0.1897790230856236	0.004930487971409918	218.0	1.074846377767362																					60_восстание-смирение	0.17593811089687436	0.04047723336424289	136.0	5.504903737537034	109_убожество-роскошь	0.23707167461976886	0.00545401964177192	136.0	0.7417466712809812	7_чужбина-родной_дом	-0.2909667970939783	0.016074328953761742	68.0	1.0930543688557983						258_конец-начало	0.2703063772817497	0.041993643587407634	57.0	2.393637684482235	143_неважность-значимость	0.4914295736708015	0.0008184586598877076	43	0.035193722375171425	260_быт-искусство	-0.30211996901125154	0.008429667536669346	75.0	0.6322250652502011	249_порыв-покой	0.253150543526292	0.034477101559877016	70.0	2.4133971091913913	15_древняя_работа-современная_работа	0.40204378471458857	0.004616827042752904	48.0	0.2216076980521394	276_начало-конец	0.3842806828224373	0.027246675281085597	33.0	0.8991402842758246	7_чужбина-родной_дом	-0.4273208722053403	0.014711890118770126	32.0	0.47078048380064397	82_суматоха-спокойствие	0.2701364248800274	0.029533829123360125	65.0	1.919698893018408	33_абстрактная_работа-конкретная_работа	0.3967837101333014	0.01503859386619424	37.0	0.556427973049187
2	2						212_наука-быт	-0.18393490608684265	0.006460823657458413	218.0	1.4084595573259342																					289_недовольство-радость	0.17454676615175765	0.0421143543217864	136.0	5.727552187762949	193_порядок-беспорядок	0.2333639592881206	0.006253089678019408	136.0	0.8504201962106395	212_наука-быт	0.2907729771406009	0.016148278323202026	68.0	1.0980829259777376											140_шум-тишина	-0.4792334866159903	0.001148580949903952	43	0.04938898084586993	97_активность-пассивность	0.2985692278356593	0.009271065174028207	75.0	0.6953298880521155	167_дополнение-устранение	0.2431756844447803	0.042511322341171616	70.0	2.9757925638820133	99_благоразумие-безолаберность	-0.4016967864677141	0.004655584702709062	48.0	0.22346806573003494	41_развлечение-когнитивная-способность	0.3691132039086234	0.03452137264043932	33.0	1.1392052971344977	96_наука-быт	0.40517942537764506	0.02141933603143801	32.0	0.6854187530060163	198_обучение-достижение	0.2696693598631124	0.02982717168541335	65.0	1.938766159551868	45_наука-быт	0.3744734849288743	0.022404041844613108	37.0	0.828949548250685
3	3						225_кража-находка	-0.18271920344230005	0.0068280183346890256	218.0	1.4885079969622077																					104_неподвижность-подвижность	-0.1709117203935703	0.046654688653756465	136.0	6.345037656910878	169_потеря-приобретение	-0.22290211024569306	0.009097417863223095	136.0	1.2372488293983408	14_изобилие-недостаток	-0.2714551386653893	0.02514277689349424	68.0	1.7097088287576083											106_кончина-вечное_искусство	-0.4541757359032434	0.00221868614826528	43	0.09540350437540704	253_соблюдение_закона-правонарушение	-0.29508576622838045	0.01016691935625325	75.0	0.7625189517189939	158_конец-начало	0.23554823260750546	0.04964979011143982	70.0	3.475485307800787	229_закрытие-открытие	-0.3953046882641488	0.005422278192340434	48.0	0.26026935323234085	202_отставание-лидерство	-0.3569670368149239	0.04142114870497155	33.0	1.3668979072640612	124_сражение-тыл	-0.3996918353652086	0.02342419578826045	32.0	0.7495742652243343	172_наука-быт	0.2633156196518253	0.03406656704875165	65.0	2.214326858168857	55_армия-гражданская_жизнь	0.3689974778124308	0.024610683666294784	37.0	0.9105952956529071
4	4						101_фиксация-пересмотр	0.17087217301459642	0.011503982933372485	218.0	2.507868279475202																					117_живая_природа-неживая_природа	-0.1704987070112137	0.04719541276285495	136.0	6.418576135748272	89_апатия-взбудораженность	0.2195922727133955	0.010209295284941845	136.0	1.388464158752091	213_обозрение-сокрытие	-0.2707173901888016	0.02555698170292496	68.0	1.7378747557988972											211_больница-дом	0.4451087819277432	0.002782219662873593	43	0.11963544550356453	209_отрицание-утверждение	0.2931351495533709	0.010700811009650651	75.0	0.8025608257237989						161_холодное_отношение-тёплое_отношение	0.3881804684536229	0.0064045486394566685	48.0	0.3074183346939201	187_гармония-конфликт	-0.3466476465009962	0.04811886504742744	33.0	1.5879225465651057	190_погода-животное	0.3996485643293612	0.02344059784047494	32.0	0.7500991308951981	118_покой-беспокойство	-0.2578506768774024	0.03810436817933803	65.0	2.476783931656972					
5	5						199_уют-неуют	0.17056547604377134	0.011655652175145564	218.0	2.540932174181733																					273_жар-холод	0.1694367440108601	0.04860972203951748	136.0	6.610922197374379	121_несовременность-актуальность	-0.2171178352447169	0.01111700555816234	136.0	1.511912755910078	249_порыв-покой	-0.26913410089131096	0.02646541073678656	68.0	1.7996479301014858											14_изобилие-недостаток	0.4409225622400064	0.003082379933387793	43	0.13254233713567512	163_человек-инструмент	-0.2918771756461513	0.011057928043605048	75.0	0.8293446032703785						276_начало-конец	0.3617784777489892	0.011516224584350265	48.0	0.5527787800488126						41_развлечение-когнитивная-способность	-0.3747438495444488	0.034581425778468684	32.0	1.1066056249109981	285_опасность-безопасность	-0.2527688007500173	0.042207982133265085	65.0	2.7435188386622307					
6	6						252_современность-древность	-0.16351239162924866	0.015664550226326013	218.0	3.4148719493390707																										173_отдых-работа	-0.2168917824776083	0.011203359947998348	136.0	1.5236569529277753	176_животное-человек	0.26715293748050445	0.027640374599473442	68.0	1.879545472764194											62_жизнь-смерть	-0.4383936296813199	0.0032771662499557373	43	0.14091814874809672	73_наука-физический_труд	0.29126186968752305	0.011236347254461241	75.0	0.8427260440845931						205_отдых-рабочий_процесс	-0.34356411963453914	0.016810971938042787	48.0	0.8069266530260537						123_отдых-работа	0.3614552778669122	0.04208741042718798	32.0	1.3467971336700153	167_дополнение-устранение	0.24925701023479804	0.045251742984265146	65.0	2.9413632939772345					
7	7						125_разработка-разрушение	0.16138498006459528	0.017089564651434547	218.0	3.725525094012731																										85_направление-дезориентация	0.2100006452417934	0.01413440500593803	136.0	1.9222790808075725	192_производство-наука	0.2638150561736912	0.029719318340465293	68.0	2.0209136471516396											146_разум-чувство	-0.42961346624331975	0.0040397573586691705	43	0.17370956642277433	102_фантастика-реальность	-0.2878694559689547	0.012265670245767595	75.0	0.9199252684325696						230_отступление-наступление	-0.3347759821989981	0.020028521630901158	48.0	0.9613690382832558						262_серьезность-шутка	-0.3579236889678632	0.04428779398809561	32.0	1.4172094076190596										
8	8						237_низшие_слои-высшие_слои	-0.15643622814319855	0.02084837924213116	218.0	4.544946674784593																										73_наука-физический_труд	0.20963389264918267	0.014307617725525475	136.0	1.9458360106714645	132_правонарушение-соблюдение_закона	0.262727577526348	0.03042438137804169	68.0	2.068857933706835											204_столкновение-мир	-0.4251933519776761	0.004479250641877017	43	0.1926077776007117	47_журналистика-литература	-0.2865180527193056	0.012697945036284769	75.0	0.9523458777213576						170_спокойствие-суматоха	0.3325897640323815	0.020905136291873856	48.0	1.0034465420099452						152_исчезнование-появление	-0.3512761993890929	0.04867886822627968	32.0	1.5577237832409496										
