	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	251	-0.13560592289707527	0.03424762245555783	244.0	8.35641987915611	21	0.19941490672155196	0.0028406516355433888	222.0	0.6306246630906323	23	0.14345285659406198	0.018570947910090046	269.0	4.995584987814222	37	-0.11896783685901728	0.040134077089487415	298.0	11.95995497266725	160	0.17173426381688822	0.045593151679997564	136.0	6.200668628479669	141	0.15267729054003704	0.0029966145150440355	376.0	1.1267270576565573	221	-0.2198974434617427	0.005810740563164348	156.0	0.9064755278536383	236	-0.12474469885446614	0.009786336166277205	428.0	4.188551879166644	122	0.18222044897427722	0.015799393776629124	175.0	2.7648939109100965	263	0.21998602135268763	0.01668296788089182	118.0	1.9685902099452348	237	-0.17490712753288493	0.012785364000610921	202	2.5826435281234064	160	-0.211099920429204	0.0359546124165238	99.0	3.559506629235856	17	-0.23056406605680113	0.0008557087542849007	206.0	0.17627600338268953	120	-0.20583831641940015	0.03341737737252397	107.0	3.5756593788600646	6	0.17161972798346053	0.01672407907028523	194.0	3.2444713396353344	123	0.19712719787599006	0.02402106212643904	131.0	3.1467591385635143	225	-0.24887079196426892	0.012991606410977824	99.0	1.2861690346868047
1	231	0.13429401542079175	0.036040214640833144	244.0	8.793812372363288	264	-0.19198838908951665	0.004089532810931207	222.0	0.9078762840267278						59	0.11861456175180013	0.04073391067961274	298.0	12.138705382524597						291	-0.14771210790332015	0.0040986301438386075	376.0	1.5410849340833164	142	-0.19542868868218888	0.014489438982844036	156.0	2.2603524813236695	7	-0.11324044275618844	0.019107469097299934	428.0	8.177996773644372	45	0.17046882151360399	0.024104200489224487	175.0	4.218235085614285	139	-0.19582113211631746	0.03357511722626095	118.0	3.961863832698792	245	0.16967684072209951	0.015772980093305362	202	3.186141978847683	288	0.20365459165951977	0.04319245557331633	99.0	4.2760531017583165	290	-0.21955608591736372	0.0015200549705146691	206.0	0.31313132392602183	137	0.1924667031513078	0.04702027790840895	107.0	5.031169736199757	39	-0.1673723249537847	0.019667036755612995	194.0	3.815405130588921						263	0.2194707295396903	0.029061033913079952	99.0	2.8770423573949153
2	116	0.1329136986153203	0.038011479145894755	244.0	9.27480091159832	182	0.19174699999303554	0.0041373763814931295	222.0	0.9184975566914747						276	-0.11575195055686519	0.045878834682424555	298.0	13.671892735362517						223	0.14711470266253274	0.0042533828740787495	376.0	1.5992719606536099	67	0.1882095063486971	0.018627767990327036	156.0	2.9059318064910173	21	0.09505117885557056	0.04939867342656989	428.0	21.142632226571912	160	0.16708757509954858	0.027099554806378757	175.0	4.742422091116283	132	-0.18396433238796575	0.04613623401046368	118.0	5.4440756132347135	177	-0.16915015851067824	0.016105187946110447	202	3.2532479651143102	72	0.20223136109176973	0.044705593028727696	99.0	4.425853709844042	109	0.20885292470752065	0.002589711576060171	206.0	0.5334805846683952						88	-0.16588600666795164	0.020797947137231418	194.0	4.034801744622895						249	0.20697726311180176	0.0398251152246933	99.0	3.942686407244637
3	63	0.13103991428056974	0.0408326645496292	244.0	9.963170150109525	259	-0.19129248237708482	0.004228833367810079	222.0	0.9388010076538374																203	-0.14534680450462198	0.00474274675619994	376.0	1.7832727803311776	227	0.17352058817125982	0.030288113329907145	156.0	4.724945679465515						6	-0.16624116112892864	0.02789738471875824	175.0	4.882042325782693						160	0.1672642760659691	0.017345288154458575	202	3.503748207200632						44	-0.2053274735874952	0.003069588533894908	206.0	0.632335237982351						74	-0.16136656752574735	0.024588748165148194	194.0	4.7702171440387495						289	-0.20647758212039624	0.040317044866195535	99.0	3.991387441753358
4	97	-0.12615625908760952	0.049024823685270516	244.0	11.962056979206006	295	0.19079681123131023	0.004330643635385486	222.0	0.9614028870555779																164	-0.13974980003590687	0.006644453212589338	376.0	2.498314407933591	33	0.1645814527512341	0.04006176580152859	156.0	6.249635465038461						240	0.1590681678523395	0.03550073322272046	175.0	6.21262831397608						78	-0.1650139649750988	0.01893307559826518	202	3.8244812708495664						174	-0.20021255308051947	0.003909444574645986	206.0	0.8053455823770731						128	-0.14289651672866077	0.04684841658097787	194.0	9.088592816709706						146	0.2042444073028812	0.0425779906422754	99.0	4.215221073585265
5						191	-0.1890028191310924	0.004717835883975511	222.0	1.0473595662425634																287	0.1387441693722497	0.007050808441644583	376.0	2.6511039740583633	136	-0.16313348930453836	0.0418708556725769	156.0	6.531853484921997						99	0.1573759835978001	0.03753030631352996	175.0	6.567803604867743						84	-0.1637871619597039	0.019850701476953832	202	4.009841698344674						163	-0.19887066933897232	0.00416164726632354	206.0	0.8572993368626491																177	0.1987275239011275	0.04861914765034767	99.0	4.813295617384419
6						87	0.1885004156210678	0.0048317084012200065	222.0	1.0726392650708414																146	0.13844505884209485	0.007175888703254316	376.0	2.6981341524236226	115	0.16210663900399597	0.04319489042748712	156.0	6.738402906687991						261	0.14869651044950236	0.049541118516744045	175.0	8.669695740430209						267	0.162734305706972	0.020668702268193458	202	4.1750778581750785						14	0.1968295278026588	0.004573429942051393	206.0	0.942126568062587																				
7						54	-0.1878526486240293	0.004982171128817208	222.0	1.1060419905974201																266	-0.13757529658249823	0.007550947262708474	376.0	2.839156170778386	156	-0.16157510033770683	0.043893911946790126	156.0	6.84745026369926																3	0.1623900572802312	0.020942413964865916	202	4.230367620902915						108	0.19477857485851233	0.005023730147199712	206.0	1.0348884103231406																				
8						226	-0.18700630754057174	0.0051850946278546904	222.0	1.1510910073837413																231	-0.1373890934957054	0.007633481035526986	376.0	2.8701888693581465	209	-0.16133204988506802	0.04421668243483412	156.0	6.897802459834123																105	0.16145958584127731	0.02169797337357001	202	4.3829906214611425						278	0.19395689104811087	0.005215028644525924	206.0	1.0742959007723403																				
9						247	-0.18489737693916933	0.005723379454339225	222.0	1.270590238863308																150	0.13511460310507073	0.008708620871237692	376.0	3.2744414475853723	285	0.16128568477366056	0.04427847995309098	156.0	6.907442872682193																276	0.16106176236017786	0.02202813064453562	202	4.4496823901961955						97	0.19389255630697294	0.0052302788529386786	206.0	1.0774374437053678																				
10						104	0.18294980536428923	0.006264374410235576	222.0	1.390691119072298																168	0.13510564294502306	0.00871311018675162	376.0	3.2761294302186093	254	-0.15942673261893325	0.04681629368139183	156.0	7.303341814297125																114	0.15987594068530636	0.023038111387056737	202	4.653698500185461						168	0.19145627549668195	0.005838041430543657	206.0	1.2026365346919934																				
11						82	0.18008449848196198	0.007143497799859955	222.0	1.58585651156891																36	-0.13432523054669837	0.009112112153142194	376.0	3.426154169581465																					140	0.15903044998058846	0.023782378875685278	202	4.804040532888426						1	0.18209022246400747	0.008805364665835891	206.0	1.8139051211621935																				
12						202	0.17828268518711665	0.007751131761397496	222.0	1.720751251030244																153	0.13390251414445437	0.009334948704237653	376.0	3.5099407127933575																					34	-0.158977823491892	0.023829381525966087	202	4.81353506824515						137	0.18101417639721581	0.009220235625073406	206.0	1.8993685387651218																				
13						251	-0.1773832908979858	0.008071314503784222	222.0	1.7918318198400973																63	-0.13377679385587063	0.009402150391341195	376.0	3.5352085471442893																					244	0.15866438761141324	0.02411098240127105	202	4.870418445056752						268	-0.17758694262793157	0.010659331630206072	206.0	2.195822315822451																				
14						157	0.17538338259677644	0.008825762655239322	222.0	1.9593193094631296																73	0.13290937415278453	0.009877644248099554	376.0	3.7139942372854327																					263	-0.15865032752035083	0.02412368126607238	202	4.87298361574662						19	-0.17684089413686604	0.010997689508171751	206.0	2.2655240386833806																				
15						272	-0.17233267198279997	0.010097315401441086	222.0	2.241604019119921																278	0.13249061924172212	0.010114739160887495	376.0	3.803141924493698																					44	-0.15856937449134634	0.024196908853725625	202	4.887775588452576						181	0.17631801929604063	0.011240442812865039	206.0	2.315531219450198																				
16						170	0.1698023980020855	0.01127217959895831	222.0	2.502423870968745																238	-0.13210142653120047	0.01033960737240567	376.0	3.8876923720245316																					6	-0.15826040901732893	0.024478149951934564	202	4.944586290290782						214	-0.17563345927442406	0.011565394200581943	206.0	2.3824712053198804																				
17						62	-0.1696332233748317	0.011354866672112123	222.0	2.5207804012088912																22	0.131776870819867	0.010530506300002863	376.0	3.9594703688010764																					35	-0.15736684948807414	0.025307403266426633	202	5.11209545981818						21	-0.17557482673852173	0.011593607210949647	206.0	2.3882830854556274																				
18						159	0.1695050006431539	0.011417893608239754	222.0	2.5347723810292253																200	0.13158032141984743	0.010647625986891219	376.0	4.003507371071098																					152	-0.15709048039941043	0.025568720272083442	202	5.164881494960856						291	-0.17170441814760534	0.013595327155467476	206.0	2.8006373940263																				
19						177	-0.16849846198068527	0.01192345645928847	222.0	2.6470073339620406																220	0.13132778530162212	0.010799799641078411	376.0	4.060724665045482																					85	0.15699828074310385	0.02565641220665838	202	5.182595265744993						54	0.16801366594008868	0.015780140257357002	206.0	3.2507088930155423																				
20						189	0.16798228470575344	0.012190288278305123	222.0	2.706243997783737																121	-0.13095019876127226	0.01103091867130457	376.0	4.1476254204105185																					82	-0.15693302205049128	0.025718636279667695	202	5.1951645284928745						10	-0.1657363460641916	0.017276113354674487	206.0	3.558879351062944																				
21						248	0.166669621844855	0.012892663391887752	222.0	2.8621712729990807																25	0.1304391324492182	0.011350706900378595	376.0	4.2678657945423515																					226	-0.15661752854735075	0.026021289084225626	202	5.256300395013576						210	0.16395086920553953	0.018533910332322004	206.0	3.817985528458333																				
22						67	0.16655921535263327	0.012953329322149956	222.0	2.87563910951729																70	0.13042318736044933	0.011360814710799843	376.0	4.271666331260741																					70	-0.15649225500122993	0.026142308786066337	202	5.2807463747854						92	-0.1629917595497928	0.019241848032970073	206.0	3.9638206947918353																				
23						280	0.16589797553782892	0.013321942075272727	222.0	2.9574711407105454																111	-0.13040648115499584	0.01137141354047107	376.0	4.275651491217122																					187	-0.1564290770227039	0.026203524400220515	202	5.293111928844544						220	0.1622304349051472	0.019820384380031048	206.0	4.082999182286396																				
