	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	290	-0.22180079783099807	0.0009765834250438615	218.0	0.2128951866595618	240	0.23966704940660416	0.010923029475165925	113.0	1.2343023306937495	151	-0.17588786866935666	0.017234764479300686	183.0	3.1539618997120256	69	-0.22901225429423505	0.011515300307632745	122.0	1.404866637531195	123	-0.1328473762694347	0.029378008052172788	270.0	7.932062174086653	78	0.25225373195678275	0.003161786635903085	136.0	0.4300029824828196	261	0.1768217720940292	0.039465437721594436	136.0	5.367299530136843	217	-0.33694591637641624	0.0049590908660919406	68.0	0.337218178894252	258	-0.33798048871305114	0.010131206975836205	57.0	0.5774787976226637	192	-0.30325650272951477	0.010712401235603613	71.0	0.7605804877278565	285	-0.253338394655071	0.021649688708644685	82.0	1.7752744741088642	300	-0.41575287263588084	0.00020769717710993565	75.0	0.015577288283245174	285	0.38009095008555055	0.001172276226330594	70.0	0.08205933584314157	95	0.41325103146362774	0.003507721336431377	48.0	0.16837062414870607	151	0.47148883627348037	0.00644854124522612	32.0	0.20635331984723584	214	0.2772018941775316	0.004199174344714264	105.0	0.44091330619499775	166	0.3801773124621348	0.0017852531381278066	65	0.11604145397830742	84	0.38176598023823893	0.01972302453827148	37.0	0.7297519079160448
1	93	-0.20157058992394314	0.0027916663406955945	218.0	0.6085832622716396	158	0.20007910171166343	0.03441968573920682	113.0	3.8894244885303704	166	0.16555065365983232	0.025113049356173353	183.0	4.595688032179724	148	-0.22858052691016822	0.011676728117476007	122.0	1.424560830332073	140	-0.13086017311864606	0.03191241502141617	270.0	8.616352055782365	17	-0.2515435604679845	0.0032508321702152125	136.0	0.4421131751492689	151	0.17604426726752775	0.04035454614835102	136.0	5.488218276175738	131	-0.3282954170529292	0.006272195859353312	68.0	0.42650931843602524	240	0.30293300212136726	0.021990308983248788	57.0	1.253447612045181	246	-0.3023289414571147	0.01096695262161025	71.0	0.7786536361343277	52	-0.2528016280159758	0.021938669744541676	82.0	1.7989709190524175	284	0.33702390640924473	0.0031093758194880865	75.0	0.23320318646160648	190	-0.31308327662093405	0.008315579365090937	70.0	0.5820905555563656	225	0.37667874462610207	0.008317633974539078	48.0	0.3992464307778757	188	0.39121590680798835	0.026822508271020732	32.0	0.8583202646726634	117	0.215982297734476	0.026907642436300474	105.0	2.8253024558115496	288	0.36334691468197144	0.002930324440800797	65	0.1904710886520518	10	-0.36082361002903957	0.02823702037861396	37.0	1.0447697540087166
2	87	0.1975651355135261	0.003398681394798392	218.0	0.7409125440660494	43	-0.19419086114029308	0.040204534392990876	113.0	4.543112386407969	76	-0.16130054163363905	0.029154868565731417	183.0	5.33534094752885	247	-0.22152972578021315	0.014607995855316724	122.0	1.7821754943486403						289	-0.244968515592918	0.004188904097975405	136.0	0.569690957324655						57	-0.2842423914855251	0.01881652836100355	68.0	1.2795239285482414	56	-0.2865509964855226	0.030693470704019784	57.0	1.7495278301291277	49	0.2876688444083039	0.015745764102245218	71.0	1.1179492512594105	294	-0.24302020724555562	0.027810365222607783	82.0	2.280449948253838	127	0.33302109823800774	0.003506704192888672	75.0	0.2630028144666504	140	-0.3078037703608057	0.009537420547456436	70.0	0.6676194383219505	142	-0.36657056744559047	0.010388583186184774	48.0	0.4986519929368691	39	0.38543599777705306	0.029363693255316316	32.0	0.9396381841701221	63	-0.19896821024028216	0.04187056324246882	105.0	4.396409140459227	201	0.35611699509934436	0.0035969726291515147	65	0.23380322089484845	129	-0.35144806792223726	0.032927174903067236	37.0	1.2183054714134878
3	45	-0.19085487916191635	0.004687233362658212	218.0	1.0218168730594903						139	0.16007959054333235	0.03041394914114746	183.0	5.565752692829985	8	0.21734847913081853	0.016633151487126546	122.0	2.029244481429439						176	0.2325857816281033	0.006635477749039072	136.0	0.9024249738693138						159	-0.25166856687454536	0.03842553674865511	68.0	2.6129364989085477	259	0.28359025678068134	0.0325389894079733	57.0	1.854722396254478	194	0.2558572696091267	0.032530181152579926	71.0	2.309642861833175	162	0.24178063429241983	0.02864166929553486	82.0	2.3486168822338582	239	-0.3146627581061729	0.005968537200349978	75.0	0.4476402900262484	20	-0.2940252644440308	0.013489683885395317	70.0	0.9442778719776722	224	0.3455958233971024	0.016133055373085313	48.0	0.774386657908095	242	0.371613990704614	0.03624336667600264	32.0	1.1597877336320845	84	0.19895853511008402	0.041880728188345026	105.0	4.397476459776228	234	-0.3514061292903104	0.0041007196163492	65	0.266546775062698	81	-0.33237455636260205	0.04444052269170015	37.0	1.6442993395929055
4	52	0.18967803522788676	0.0049538938569208095	218.0	1.0799488608087364						178	-0.15779397314234325	0.03289568721802207	183.0	6.019910760898039	46	-0.2157556694596698	0.017466315231351337	122.0	2.1308904582248633						184	0.2191512769781708	0.010656897232008031	136.0	1.4493380235530922						56	0.24745969041683735	0.04189777677177031	68.0	2.849048820480381	251	-0.2801338784707266	0.034809449529595755	57.0	1.984138623186958	146	-0.24656394314575947	0.03962443557302827	71.0	2.813334925685007	45	0.23781236309507062	0.031445459995057046	82.0	2.578527719594678	240	0.3102884627772461	0.006743294040471199	75.0	0.50574705303534	35	-0.2872507125894006	0.01590492376420746	70.0	1.113344663494522	30	-0.3313533804316353	0.021415048785339622	48.0	1.027922341696302	91	0.3660844585895538	0.03933699677745738	32.0	1.2587838968786362						245	-0.35050769008574184	0.004203590261524013	65	0.2732333669990608	72	-0.3256220335279538	0.04922148796374682	37.0	1.8211950546586324
5	65	0.1833610700133899	0.006631889760679757	218.0	1.4457519678281872						144	0.15387430282509884	0.037551958456603404	183.0	6.872008397558423	47	0.21462920087996254	0.018077137808791378	122.0	2.205410812672548						251	-0.21646139176549303	0.011680994563891734	136.0	1.5886152606892758											136	0.2709069508436726	0.0415221267921812	57.0	2.3667612271543286	45	-0.23745200255428303	0.047781997402178575	71.0	3.392521815554679	42	0.22982049536723928	0.037796601896602236	82.0	3.099321355521383	203	0.30640399394130186	0.007504120708660549	75.0	0.5628090531495412	59	0.2849192930307888	0.016817954751037655	70.0	1.1772568325726358	211	0.3285900391429075	0.022592664332277308	48.0	1.084447887949311	74	0.35539969757280565	0.04591609262946699	32.0	1.4693149641429437						121	0.34587122551209615	0.004771621328057247	65	0.3101553863237211					
6	268	0.17703664623146265	0.008802991311301666	218.0	1.9190521058637633						56	0.15262176868615632	0.039152440552177314	183.0	7.164896621048449	2	-0.21436745216886163	0.018221685939626506	122.0	2.223045684634434						175	0.215983866310274	0.011871553360554198	136.0	1.614531257035371																87	0.2371070109261844	0.04811611830395244	71.0	3.416244399580623	228	-0.22796426990956717	0.039415800248888334	82.0	3.2320956204088436	193	-0.30451624136318484	0.007900351681971673	75.0	0.5925263761478755	24	-0.2823381673693118	0.017880891154885815	70.0	1.251662380842007	45	0.30265328958068216	0.036538264793257884	48.0	1.7538367100763783											47	0.3432235844670264	0.005125527392734694	65	0.3331592805277551					
7	236	-0.1753810040000579	0.009466676456004866	218.0	2.0637354674090607						35	0.1463608364080304	0.048038761892829455	183.0	8.791093426387791	93	0.21115965296290307	0.020075933457084038	122.0	2.4492638817642525						100	-0.2146238311440575	0.01242929470746835	136.0	1.6903840802156955																245	0.2367407747502454	0.04847291197773763	71.0	3.4415767504193715	245	0.22317342907104068	0.04386359923421888	82.0	3.596815137205948	35	-0.30208239139070264	0.008438209623669077	75.0	0.6328657217751807	249	-0.278632454745332	0.019507263093975227	70.0	1.3655084165782658	148	-0.3026280909620558	0.03655465267987996	48.0	1.754623328634238											275	0.33643329318187315	0.006141060505255059	65	0.39916893284157884					
8	142	0.1733056940307967	0.010360936871854211	218.0	2.2586842380642183											14	-0.21077799418590995	0.02030701469958153	122.0	2.4774557933489465						104	0.21306788250846725	0.013095399718998054	136.0	1.7809743617837355																					114	0.22192219885039458	0.0450913612237183	82.0	3.6974916203449	54	-0.2965407667327014	0.009783946163683967	75.0	0.7337959622762975	229	0.2683496033398582	0.0246964287213585	70.0	1.728750010495095	262	-0.2966758906222531	0.04059887715558226	48.0	1.9487461034679485											160	-0.33463645323100516	0.006437754620887487	65	0.4184540503576866					
