	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	21	-0.08716684997459617	0.04347915826454614	538.0	23.39178714632582	52	-0.13594815262824447	0.03416336420820065	244.0	8.33586086680096	35	-0.17236259712541252	0.0028329218130714513	298.0	0.8442107002952924	87	-0.24819582031721135	0.003574596916524273	136.0	0.4861451806473011	190	0.13187061773658526	0.023978107321071494	293.0	7.025585445073948	209	0.1504900173020517	0.001795934778482466	428.0	0.7686600851904954	242	0.18488423718222255	0.014308836450659378	175.0	2.5040463788653913	7	-0.20411309274733347	0.026621177932148087	118.0	3.1412989959934743	165	0.2353807169185313	0.019010816295354623	99.0	1.8820708132401076	67	0.21796859924499215	0.024108658090633353	107.0	2.579626415697769	99	-0.17193316719772636	0.00424274431180183	276.0	1.170997430057305	229	-0.16572761547755965	0.02092171652530471	194.0	4.058813005909114	145	0.19051779194201507	0.026304756327596473	136.0	3.5774468605531204	123	-0.31519810616834953	0.00024545188767062233	131	0.03215419728485153	219	0.2795518933490918	0.005074275897530747	99.0	0.5023533138555439
1											165	-0.17186600343182873	0.0029148553697110322	298.0	0.8686269001738877	292	0.21308426117966	0.012748982364899384	136.0	1.7338616016263162	111	-0.127113148709361	0.029603349175149816	293.0	8.673781308318896	21	-0.14650115874503733	0.0023784968843312665	428.0	1.017996666493782	198	0.18185322832257297	0.016015144056659224	175.0	2.802650209915364	79	-0.19872797441480217	0.03098044033730651	118.0	3.6556919598021684						93	-0.21023727867212133	0.029741070159742894	107.0	3.1822945070924895	187	-0.16555480903592695	0.00592459370657021	276.0	1.635187863013378	230	-0.16450062973638963	0.021902261772749097	194.0	4.249038783913325	115	0.1893307370449759	0.02727333041118948	136.0	3.709172935921769	205	-0.26637960583277664	0.002102208394830096	131	0.27538929972274256	203	-0.27175148983808195	0.006509285327347529	99.0	0.6444192474074054
2											158	0.14944408442179907	0.009780732576898458	298.0	2.9146583079157407	100	0.19616846000174157	0.022087032165234523	136.0	3.003836374471895	27	0.12427541860532855	0.03346919792823185	293.0	9.806474992971932	9	-0.14250341393889948	0.003130701252812881	428.0	1.339940136203913	290	-0.16844360438915695	0.025862063470509226	175.0	4.525861107339114	61	-0.18459792634816474	0.04537804098187322	118.0	5.354608835861041						141	0.19569616756489475	0.04337329419629244	107.0	4.640942479003291	232	0.15520308724343296	0.009946992546182781	276.0	2.7453699427464477						286	-0.17350575585086384	0.04337517342837406	136.0	5.899023586258872	260	-0.25894739250104576	0.002821947971411098	131	0.3696751842548538	12	-0.2619433863957792	0.008816133259941166	99.0	0.8727971927341754
3											42	0.14529393728611975	0.012040363561195025	298.0	3.588028341236117	221	0.19585273696217684	0.02230632415041766	136.0	3.033660084456802	272	0.12127495909775017	0.038015936307576194	293.0	11.138669338119826	233	-0.14204855417118284	0.003228746531933917	428.0	1.3819035156677164	133	0.16437873969176592	0.029723831121366038	175.0	5.201670446239056	124	0.1836314419910965	0.046538789477914094	118.0	5.491577158393863											27	-0.15094928174255984	0.012204165321759466	276.0	3.3683496288056127						79	0.17025096533537085	0.047522253812777665	136.0	6.463026518537762	147	-0.25669079352073343	0.0030808122821660467	131	0.4035864089637521	272	0.26096689842505993	0.009081103168327017	99.0	0.8990292136643747
4											285	-0.14281032420571085	0.013602672437793891	298.0	4.05359638646258	80	-0.19355418658438192	0.023959973014740607	136.0	3.2585563300047227	297	0.12052212976751023	0.039235448807433966	293.0	11.495986500578152	131	-0.1411392443534116	0.003433151504258187	428.0	1.469388843822504	212	-0.16197307581442122	0.032233062106153974	175.0	5.640785868576946																61	-0.15058377537641549	0.012417697390264023	276.0	3.42728447971287						224	-0.16905649197172626	0.0491246169998298	136.0	6.680947911976853	181	0.2561823705130309	0.0031420112007776676	131	0.41160346730187447	150	0.25818851377912405	0.009873680859423948	99.0	0.9774944050829708
5											207	0.13989426753448142	0.015662111495527535	298.0	4.667309225667205	16	0.19328714157080032	0.024158742615924354	136.0	3.2855889957657123	230	-0.12014951235078719	0.0398511786059671	293.0	11.67639533154836	101	0.13745403627596192	0.004387219401559519	428.0	1.877729903867474	26	0.16176226227446652	0.03246128348322798	175.0	5.680724609564896																139	0.1494160494924438	0.013122104102660518	276.0	3.621700732334303											95	-0.2559831530607928	0.0031662881525019435	131	0.4147837479777546	48	0.25337831032361274	0.011389941029891814	99.0	1.1276041619592896
6											39	0.13789133480875296	0.01723022922579802	298.0	5.13460830928781	172	0.1919396261414499	0.02518343817605073	136.0	3.424947591942899	68	-0.11976456138301991	0.040495834848236205	293.0	11.865279610533207	272	0.13607555226427157	0.004801643774527938	428.0	2.0551035354979574	238	-0.1601972388260693	0.03419882244328375	175.0	5.984793927574656																69	0.14817144275189284	0.01391134765475476	276.0	3.839531952712314											176	-0.25067864774763793	0.003878116766252538	131	0.5080332963790825	17	-0.23730285935412712	0.018028373465380835	99.0	1.7848089730727026
7											162	0.1338661161366021	0.020800345943143672	298.0	6.198503091056814	284	-0.19157572950223636	0.025466454586272724	136.0	3.4634378237330905	247	0.11885481458320449	0.04205436746514561	293.0	12.321929667287664	205	-0.12548361439748476	0.009357411995210483	428.0	4.004972333950087	182	-0.15512604514328923	0.04037967661665426	175.0	7.0664434079144955																81	0.14708848612573608	0.014631685602755134	276.0	4.038345226360417											239	0.2504480406490544	0.003912090763245734	131	0.5124838899851911	94	0.2351137052395958	0.019150870987283727	99.0	1.895936227741089
8											86	-0.13343447116227566	0.021218834656493997	298.0	6.3232127276352115	45	0.18560001750208868	0.03051784978594612	136.0	4.150427570888672	276	0.11873463455287477	0.0422639810890685	293.0	12.383346459097071	275	-0.12466954493350156	0.009830924779801627	428.0	4.207635805755096	132	0.1502808636539953	0.047136698458116015	175.0	8.248922230170303																134	0.14680872939594877	0.014823001745782044	276.0	4.091148481835845											179	0.24748127662373948	0.004373621946696309	131	0.5729444750172166	247	0.2339511419095636	0.019771062570121768	99.0	1.957335194442055
