	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14
0	0	21_получение_результата-разработка	-0.08716684997459617	0.04347915826454614	538.0	23.39178714632582	52_близость-расстояние	-0.13594815262824447	0.03416336420820065	244.0	8.33586086680096	35_кончина-вечное_искусство	-0.17236259712541252	0.0028329218130714517	298.0	0.8442107002952924	87_народ-власть	-0.2481958203172113	0.0035745969165242725	136.0	0.4861451806473011	190_погода-животное	0.13187061773658526	0.02397810732107149	293.0	7.025585445073947	209_отрицание-утверждение	0.1504900173020517	0.001795934778482466	428.0	0.7686600851904954	242_отдых-работа	0.18488423718222252	0.014308836450659378	175.0	2.5040463788653917	7_чужбина-родной_дом	-0.20411309274733347	0.026621177932148087	118.0	3.1412989959934743	165_улучшение-ухудшение	0.2353807169185313	0.019010816295354626	99.0	1.882070813240108	67_неизменность-изменение	0.21796859924499212	0.024108658090633357	107.0	2.579626415697769	99_благоразумие-безолаберность	-0.17193316719772636	0.00424274431180183	276.0	1.170997430057305	229_закрытие-открытие	-0.16572761547755965	0.02092171652530471	194.0	4.058813005909114	145_высказывание-умалчивание	0.19051779194201507	0.026304756327596476	136.0	3.5774468605531204	123_отдых-работа	-0.31519810616834953	0.0002454518876706224	131	0.032154197284851534	219_соблюдение_закона-правонарушение	0.2795518933490918	0.005074275897530747	99.0	0.5023533138555439
1	1											165_улучшение-ухудшение	-0.17186600343182873	0.0029148553697110322	298.0	0.8686269001738877	292_экстрим-повседневность	0.21308426117966	0.012748982364899384	136.0	1.7338616016263162	111_нежелание-желание	-0.127113148709361	0.02960334917514982	293.0	8.673781308318896	21_получение_результата-разработка	-0.14650115874503733	0.0023784968843312665	428.0	1.0179966664937818	198_обучение-достижение	0.18185322832257295	0.016015144056659224	175.0	2.8026502099153645	79_многообразие-единство	-0.19872797441480214	0.030980440337306514	118.0	3.655691959802168						93_учёба-отдых	-0.21023727867212133	0.029741070159742894	107.0	3.182294507092489	187_гармония-конфликт	-0.16555480903592695	0.00592459370657021	276.0	1.635187863013378	230_отступление-наступление	-0.16450062973638965	0.021902261772749097	194.0	4.249038783913325	115_наследство-собственность	0.1893307370449759	0.02727333041118948	136.0	3.7091729359217687	205_отдых-рабочий_процесс	-0.26637960583277664	0.002102208394830096	131	0.27538929972274256	203_концепция-хаотичность	-0.27175148983808195	0.0065092853273475285	99.0	0.6444192474074054
2	2											158_конец-начало	0.14944408442179907	0.009780732576898458	298.0	2.9146583079157407	100_труд-отдых	0.1961684600017416	0.022087032165234523	136.0	3.003836374471895	27_труд-фортуна	0.12427541860532855	0.03346919792823185	293.0	9.806474992971932	9_трудности-отсутствие_проблем	-0.14250341393889948	0.003130701252812881	428.0	1.3399401362039132	290_статистика-отсутствие_системы	-0.16844360438915695	0.025862063470509226	175.0	4.5258611073391135	61_единство-разрозренность	-0.18459792634816474	0.045378040981873216	118.0	5.354608835861041						141_микробиология-неопределенная_тема	0.19569616756489475	0.04337329419629244	107.0	4.640942479003291	232_проблема-решение_проблем	0.15520308724343296	0.00994699254618278	276.0	2.745369942746448						286_начало-конец	-0.17350575585086386	0.04337517342837406	136.0	5.899023586258871	260_быт-искусство	-0.25894739250104576	0.0028219479714110983	131	0.3696751842548538	12_частное-общее	-0.2619433863957792	0.008816133259941166	99.0	0.8727971927341754
3	3											42_деструктивная_коммуникация-конструктивная_коммуникация	0.14529393728611975	0.012040363561195023	298.0	3.5880283412361167	221_получение_денег-отсутствие_денег	0.19585273696217684	0.02230632415041766	136.0	3.033660084456802	272_образование-невежество	0.12127495909775016	0.038015936307576194	293.0	11.138669338119826	233_неопределенная_тема-часть_целого	-0.14204855417118284	0.0032287465319339173	428.0	1.3819035156677164	133_торможение-развитие	0.16437873969176592	0.029723831121366038	175.0	5.201670446239056	124_сражение-тыл	0.1836314419910965	0.046538789477914094	118.0	5.491577158393864											27_труд-фортуна	-0.15094928174255984	0.012204165321759466	276.0	3.3683496288056127						79_многообразие-единство	0.17025096533537085	0.04752225381277767	136.0	6.463026518537762	147_рассудительность-беспокойство	-0.25669079352073343	0.003080812282166047	131	0.4035864089637521	272_образование-невежество	0.26096689842505993	0.009081103168327016	99.0	0.8990292136643747
4	4											285_опасность-безопасность	-0.14281032420571085	0.013602672437793893	298.0	4.05359638646258	80_сон-бодрствование	-0.19355418658438192	0.02395997301474061	136.0	3.2585563300047227	297_юмор-суровость	0.12052212976751026	0.039235448807433966	293.0	11.495986500578153	131_процесс-завершение	-0.1411392443534116	0.003433151504258187	428.0	1.4693888438225042	212_наука-быт	-0.16197307581442122	0.032233062106153974	175.0	5.6407858685769465																61_единство-разрозренность	-0.15058377537641549	0.012417697390264023	276.0	3.42728447971287						224_власть-отставка	-0.16905649197172626	0.0491246169998298	136.0	6.680947911976852	181_дополнение-устранение	0.2561823705130309	0.003142011200777668	131	0.4116034673018745	150_безопасность-опасность	0.25818851377912405	0.009873680859423948	99.0	0.9774944050829708
5	5											207_фантастика-реальность	0.13989426753448142	0.01566211149552754	298.0	4.667309225667205	16_воля-неволя	0.19328714157080032	0.024158742615924357	136.0	3.2855889957657123	230_отступление-наступление	-0.1201495123507872	0.0398511786059671	293.0	11.67639533154836	101_фиксация-пересмотр	0.13745403627596192	0.004387219401559519	428.0	1.8777299038674742	26_ненависть-дружба	0.16176226227446652	0.03246128348322798	175.0	5.680724609564897																139_свобода-неволя	0.1494160494924438	0.013122104102660518	276.0	3.621700732334303											95_доброта-злость	-0.2559831530607928	0.0031662881525019435	131	0.4147837479777546	48_отдаление-приближение	0.25337831032361274	0.011389941029891814	99.0	1.1276041619592896
6	6											39_целостность-пустота	0.13789133480875296	0.01723022922579802	298.0	5.13460830928781	172_наука-быт	0.1919396261414499	0.025183438176050732	136.0	3.4249475919428987	68_власть-народ	-0.11976456138301993	0.040495834848236205	293.0	11.865279610533207	272_образование-невежество	0.13607555226427154	0.004801643774527938	428.0	2.055103535497957	238_дистанция-близость	-0.1601972388260693	0.03419882244328375	175.0	5.984793927574656																69_труд-месть	0.14817144275189284	0.01391134765475476	276.0	3.839531952712314											176_животное-человек	-0.25067864774763793	0.0038781167662525384	131	0.5080332963790825	17_полемика-консенсус	-0.2373028593541271	0.01802837346538084	99.0	1.7848089730727026
7	7											162_история-одномоментное_происшествие	0.1338661161366021	0.020800345943143672	298.0	6.198503091056813	284_учеба-производство	-0.1915757295022364	0.025466454586272724	136.0	3.4634378237330905	247_радостное_событие_грустное_событие	0.11885481458320447	0.04205436746514561	293.0	12.321929667287664	205_отдых-рабочий_процесс	-0.12548361439748476	0.009357411995210485	428.0	4.004972333950087	182_светское_общество-религия	-0.15512604514328926	0.040379676616654266	175.0	7.066443407914496																81_религия-наука	0.14708848612573608	0.014631685602755134	276.0	4.038345226360417											239_радость-недовольство	0.2504480406490544	0.003912090763245734	131	0.5124838899851911	94_проблема-решение_проблем	0.2351137052395958	0.019150870987283727	99.0	1.8959362277410892
8	8											86_доказательство-совпадение	-0.13343447116227564	0.021218834656494	298.0	6.323212727635212	45_наука-быт	0.18560001750208868	0.03051784978594612	136.0	4.150427570888672	276_начало-конец	0.11873463455287475	0.0422639810890685	293.0	12.383346459097073	275_жизненный_процесс-кончина	-0.12466954493350155	0.009830924779801627	428.0	4.207635805755096	132_правонарушение-соблюдение_закона	0.1502808636539953	0.04713669845811602	175.0	8.248922230170303																134_физическое-абстрактное	0.14680872939594874	0.014823001745782044	276.0	4.0911484818358455											179_работа-искусство	0.2474812766237395	0.004373621946696309	131	0.5729444750172166	247_радостное_событие_грустное_событие	0.2339511419095636	0.019771062570121768	99.0	1.957335194442055
