	Unnamed: 0	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10
0	0	117_живая_природа-неживая_природа	0.15088592935757156	0.0398093400854009	186.0	7.404537255884567	294_испытание-безмятежность	-0.18857016585926348	0.0018944901868945508	269.0	0.5096178602746342	183_неживая_природа-живая_природа	0.21296121864326456	0.00021272817724589984	298	0.06339299681927815	116_смерть-жизнь	0.20490663630764988	0.010288283364092949	156.0	1.6049722047984998	52_близость-расстояние	0.10914777036950178	0.02393235650651753	428.0	10.243048584789506	261_болезнь-здоровье	0.17525430591976252	0.020353587137452396	175.0	3.561877749054169	277_неживая_природа-живая_природа	-0.14676014836790816	0.035291454988940665	206.0	7.270039727721777	103_познание-непостижимость	0.14093329704989951	0.02526660426496588	252.0	6.367184274771402	38_личное-общее	0.22042777931341495	0.022520044545493237	107.0	2.4096447663677756	252_современность-древность	0.16237958179830034	0.02369098643388752	194.0	4.596051368174178	145_высказывание-умалчивание	-0.18840779935517168	0.03115418687627755	131.0	4.081198480792359
1	1						87_народ-власть	-0.1787993051719808	0.003254484114766574	269.0	0.8754562268722084	103_познание-непостижимость	-0.2116599171540683	0.00023301188680846733	298	0.06943754226892325	172_наука-быт	0.1784696381782977	0.025808256862300042	156.0	4.026088070518807	229_закрытие-открытие	-0.1014480035499038	0.035900706879529426	428.0	15.365502544438597	106_кончина-вечное_искусство	0.17239224209891282	0.022530777069383053	175.0	3.9428859871420334	51_творческая_реализация - эмоциональное_переживание	0.14482748074456306	0.03780342500425979	206.0	7.787505550877516						86_доказательство-совпадение	0.2119769121620829	0.02838490937424602	107.0	3.037185303044324	16_воля-неволя	-0.15908432487956306	0.02671906347708472	194.0	5.183498314554437	271_бюрократия-творчество	-0.1795268723235547	0.04019039285902908	131.0	5.264941464532809
2	2						258_конец-начало	0.17290594710957766	0.004453502525622491	269.0	1.19799217939245	39_целостность-пустота	-0.2089646878089235	0.0002808953085741418	298	0.08370680195509425											152_исчезнование-появление	0.16842713044107824	0.02587680163593324	175.0	4.528440286288316	74_тёплые_чувства-холодные_чувства	-0.14476496762603655	0.03788713392351757	206.0	7.804749588244619						259_процесс-итог	-0.21039235500669448	0.029617988916778464	107.0	3.1691248140952952	243_проблема-решение_проблем	-0.15819445147787267	0.027591549261842416	194.0	5.352760556797429	141_микробиология-неопределенная_тема	0.1727200293248026	0.04852095666021563	131.0	6.356245322488247
3	3						295_прощение-мстительность	0.17271108890693673	0.00449920118504729	269.0	1.2102851187777213	113_скрытность-прозрачность	-0.20515328320316809	0.00036441272994493245	298	0.10859499352358988											224_власть-отставка	-0.15668149838374462	0.03839114097989473	175.0	6.7184496714815785	62_жизнь-смерть	-0.14410096612330942	0.03878597294495751	206.0	7.989910426661247						201_вирус-растение	0.1913304570736478	0.048362414167816885	107.0	5.174778315956408	116_смерть-жизнь	0.1572219835140578	0.028572783546500245	194.0	5.543120008021048					
4	4						114_церковь-мирская_жизнь	0.17150787366677125	0.004790861140871352	269.0	1.2887416468943935	75_действующее_лицо-зритель	0.20017259437245966	0.00050849634847758	298	0.15153191184631884											251_недостаток-достоинство	0.15638073062375718	0.0387690818844271	175.0	6.784589329774742	266_мир-война	-0.1432721851321586	0.03993303872046339	206.0	8.226205976415457											258_конец-начало	-0.15224459077400654	0.03407465022181428	194.0	6.6104821430319705					
5	5						29_негативные_чувства-духовные_чувства	0.1708102559000206	0.004967652432503473	269.0	1.336298504343434	172_наука-быт	-0.1939658251433987	0.0007617741422812963	298	0.2270086943998263											122_неопределенная_тема-здоровье	0.1519233277900307	0.044747609767499065	175.0	7.830831709312335																115_наследство-собственность	0.14869027245291186	0.03853218716521276	194.0	7.475244310051277					
6	6						115_наследство-собственность	-0.17057370535800195	0.005028918113757812	269.0	1.3527789726008512	130_размеренная_жизнь-напряжённая_жизнь	0.18611013640444352	0.0012487703467057975	298	0.3721335633183277																															69_труд-месть	-0.14753046677539589	0.040089184625068434	194.0	7.777301817263275					
7	7						161_холодное_отношение-тёплое_отношение	-0.16876637734280045	0.005519883026656093	269.0	1.4848485341704891	269_власть-беспорядок	-0.18578894484024552	0.0012737431070568605	298	0.3795754459029443																																								
8	8						25_скрытность-прозрачность	0.16769051206800886	0.0058321700215774866	269.0	1.5688537358043442	121_несовременность-актуальность	0.18565244893176228	0.0012844939336590525	298	0.3827791922303976																																								
9	9						137_вертикальные_отношения-горизонтальные_отношения	0.1661012063868512	0.006322498729507939	269.0	1.7007521582376353	35_кончина-вечное_искусство	0.18547879314992466	0.0012982920275156126	298	0.3868910241996525																																								
10	10						229_закрытие-открытие	-0.16252137653932344	0.00756445637692542	269.0	2.0348387653929385	112_профессиональный-любительский	0.18354982464091116	0.0014609828827077086	298	0.4353728990468971																																								
11	11						155_поражение-победа	-0.1603714151557808	0.008410869119953306	269.0	2.26252379326744	85_направление-дезориентация	-0.18290616325623654	0.0015192980665267072	298	0.4527508238249587																																								
12	12						237_низшие_слои-высшие_слои	-0.1596788612293068	0.008700917523146319	269.0	2.34054681372636	241_нападение-оборона	0.18115831817436465	0.0016885771023340136	298	0.5031959764955359																																								
