	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni
0	21	-2.0605146152724187	0.04054019018261434	172.0	363.0	538.0	21.810622318246512	39	-2.073044821950142	0.03983691912407671	66.0	177.0	244.0	9.720208266274717	27	2.253299535230295	0.02543408466549215	57.0	164.0	222.0	5.646366795739257	82	2.764015131565326	0.006173817208412658	71.0	197.0	269.0	1.6607568290630048	250	-2.851269303402277	0.004665471115343154	91.0	205.0	298.0	1.39031039237226	182	2.382658994457303	0.020662331777782435	32.0	103.0	136.0	2.810077121778411	263	2.3239401074581556	0.020740712398948615	81.0	293.0	376.0	7.798507862004679	15	2.451438839472707	0.0153829961645193	42.0	114.0	156.0	2.3997474016650107	252	-2.4711260456707924	0.01386444001345965	127.0	299.0	428.0	5.93398032576073	238	2.6616636117371772	0.00852015275321295	54.0	119.0	175.0	1.4910267318122663	113	2.3515736807721805	0.020446202099747166	37.0	81.0	118.0	2.4126518477701655	113	2.7344728092046706	0.007936585734251286	48	157	206	1.634936661255765	141	2.4027056020827278	0.017944796424654717	91.0	213.0	304.0	5.455218113095034	174	2.497666652658507	0.01537539918801263	27.0	80.0	107.0	1.6451677131173514	74	2.6066687641559727	0.010137619405580627	63.0	213.0	276.0	2.797982955940253	227	2.5481478058927176	0.012990042132939207	51.0	141.0	194.0	2.520068173790206	149	-3.2258973171357077	0.001965032571319214	28.0	107.0	136.0	0.2672444296994131	251	2.7381251106490403	0.007377487321151931	29.0	70.0	99.0	0.7303712447940411
1								83	-2.02189890397287	0.04524718155006224	66.0	177.0	244.0	11.040312298215188	81	-2.1737774951357607	0.03186982099317005	57.0	164.0	222.0	7.075100260483752	45	-2.502443577282304	0.013111905948339823	71.0	197.0	269.0	3.5271027001034123	112	2.596843064669813	0.009901463485683385	91.0	205.0	298.0	2.950636118733649	33	-2.3193710174716147	0.022748122814423292	32.0	103.0	136.0	3.0937447027615677	204	2.0143305946341834	0.04472937113320377	81.0	293.0	376.0	16.818243546084616	83	-2.0241037255244643	0.04470510496832125	42.0	114.0	156.0	6.973996375058116	178	2.3896773393741357	0.017395577589348045	127.0	299.0	428.0	7.445307208240963	30	-2.4890840877332963	0.013798745810557797	54.0	119.0	175.0	2.4147805168476144	114	-2.2657374707370233	0.025537521424735768	37.0	81.0	118.0	3.0134275281188208	201	-2.6528095021812836	0.009721379796227	48	157	206	2.0026042380227618	31	-2.2507695492978264	0.026075165596491066	91.0	213.0	304.0	7.926850341333284	210	-2.400705979215857	0.02092521819040304	27.0	80.0	107.0	2.2389983463731253								23	2.3804549110043665	0.018895119001992096	51.0	141.0	194.0	3.6656530863864667	236	-2.746667224980072	0.006909823203468786	28.0	107.0	136.0	0.9397359556717548	30	2.6155720461662857	0.010334476050080251	29.0	70.0	99.0	1.023113128957945
2								284	-2.028554285718602	0.04567237845730423	66.0	177.0	244.0	11.144060343582233								197	-2.2497896326650983	0.02615954832272806	71.0	197.0	269.0	7.036918498813848	216	2.363089971979738	0.018785893461353	91.0	205.0	298.0	5.598196251483194	167	-2.265258637506456	0.027892705859839884	32.0	103.0	136.0	3.793407996938224	60	-1.9779833036957106	0.048877338488958325	81.0	293.0	376.0	18.37787927184833								37	2.2826921043229804	0.022943168616272474	127.0	299.0	428.0	9.81967616776462	198	-2.308268243748722	0.02238178039126452	54.0	119.0	175.0	3.9168115684712914	139	2.155863616621916	0.03316306247780045	37.0	81.0	118.0	3.9132413723804533	255	2.506028095478485	0.013291304928232876	48	157	206	2.7380088152159727	42	2.1354636773907276	0.03495731643904757	91.0	213.0	304.0	10.627024197470462	132	-2.35366233311928	0.02198744321303607	27.0	80.0	107.0	2.3526564237948597								57	2.3293471823269227	0.023446960907207687	51.0	141.0	194.0	4.548710415998292	97	-2.339807710761418	0.021919103923532284	28.0	107.0	136.0	2.980998133600391	236	-2.567115850491939	0.011801668170190642	29.0	70.0	99.0	1.1683651488488735
3																						281	2.171093428506272	0.031175807763727036	71.0	197.0	269.0	8.386292288442572	233	2.3460499787825757	0.01971376936418558	91.0	205.0	298.0	5.874703270527303	207	2.129264958168323	0.03610033531406489	32.0	103.0	136.0	4.909645602712825															278	2.279743997314342	0.02317759685711407	127.0	299.0	428.0	9.920011454844822	116	2.2150291842886407	0.029069973343252523	54.0	119.0	175.0	5.087245335069191	17	-2.0883460788644936	0.03921647602778547	37.0	81.0	118.0	4.627544171278685	84	2.5384887542984176	0.013718163815849142	48	157	206	2.8259417460649234	99	2.1004295234388266	0.038089837131521226	91.0	213.0	304.0	11.579310487982452	229	-2.1766786346283555	0.03399972627895364	27.0	80.0	107.0	3.6379707118480393								160	2.2677536704300394	0.026322483401442522	51.0	141.0	194.0	5.10656177987985	242	-2.174452546345064	0.031454197415749174	28.0	107.0	136.0	4.277770848541888	246	-2.475776190547684	0.016171853633147725	29.0	70.0	99.0	1.6010135096816247
4																						160	-2.1455513234354058	0.034827983289301465	71.0	197.0	269.0	9.368727504822093	171	-2.255291096495192	0.025103406157118237	91.0	205.0	298.0	7.4808150348212346	275	2.08341632948389	0.03942961445876323	32.0	103.0	136.0	5.3624275663917995															275	-2.2692669142002373	0.02386812874842981	127.0	299.0	428.0	10.215559104327959	178	-2.077510876619163	0.039593151235499266	54.0	119.0	175.0	6.928801466212372	100	2.0496400607131102	0.0428929847492673	37.0	81.0	118.0	5.061372200413542	211	-2.5263715229120542	0.013737051841624742	48	157	206	2.829832679374697	116	2.069970458319883	0.039596480170219536	91.0	213.0	304.0	12.03732997174674	238	2.179410615520463	0.03573206455275037	27.0	80.0	107.0	3.8233309071442894								201	-2.1297642614211085	0.03686273655215735	51.0	141.0	194.0	7.151370891118526	300	-2.177593987211487	0.03269371843289827	28.0	107.0	136.0	4.4463457068741645	55	-2.2672256832261444	0.026152507288573903	29.0	70.0	99.0	2.5890982215688165
5																						52	2.1105190746000058	0.03633122139019016	71.0	197.0	269.0	9.773098553961153	183	2.248549952760869	0.025355659652536455	91.0	205.0	298.0	7.555986576455863	141	-2.1169528032822655	0.04050588010415037	32.0	103.0	136.0	5.50879969416445															5	-2.2422087169515414	0.02570089019331702	127.0	299.0	428.0	10.999981002739684	27	2.0461324690670817	0.042458144040521326	54.0	119.0	175.0	7.430175207091232	24	2.0274319477664986	0.04544306592769829	37.0	81.0	118.0	5.362281779468399	14	2.4065708660474745	0.018536882492261066	48	157	206	3.8185977934057798								68	2.1055431964361597	0.042284186438392414	27.0	80.0	107.0	4.524407948907989															273	2.113580657053976	0.038396906426144795	28.0	107.0	136.0	5.221979273955692	135	2.2478210001645067	0.02699981086237174	29.0	70.0	99.0	2.672981275374802
6																						183	2.0872494054603936	0.03950351417306116	71.0	197.0	269.0	10.626445312553452	294	2.203544989101726	0.028601072579688525	91.0	205.0	298.0	8.52311962874718	39	-2.06183844838141	0.04241601720918972	32.0	103.0	136.0	5.768578340449802															70	2.2139014521343188	0.02736945641252077	127.0	299.0	428.0	11.71412734455889	216	1.9937392247798476	0.04799714499203947	54.0	119.0	175.0	8.399500373606907	225	-2.00075908164242	0.04797427835695997	37.0	81.0	118.0	5.660964846121277	137	2.3835858357543813	0.019086166073142594	48	157	206	3.9317502110673743								24	-2.087287889974504	0.04230203410562195	27.0	80.0	107.0	4.526317649301549															14	-2.0815130971840397	0.042500027795892445	28.0	107.0	136.0	5.780003780241373	10	-2.2204883201987546	0.0288274778355817	29.0	70.0	99.0	2.8539203057225886
7																						117	2.0653747746401843	0.04223795663842884	71.0	197.0	269.0	11.362010335737358	163	2.1400883283946417	0.0331737404908117	91.0	205.0	298.0	9.885774666261886	205	2.0882825428105467	0.04399235585630756	32.0	103.0	136.0	5.982960396457829															226	2.1888443307548067	0.0293010725226139	127.0	299.0	428.0	12.54085903967875								199	-1.99542227724782	0.04886633961414587	37.0	81.0	118.0	5.766228074469212	108	2.3985154927662165	0.019176111444636566	48	157	206	3.9502789575951325								17	2.072445769147873	0.04517142165798175	27.0	80.0	107.0	4.833342117404047																						157	-2.194960095199789	0.030567025511776393	29.0	70.0	99.0	3.026135525665863
8																													4	-2.117379915936926	0.03514768314907218	91.0	205.0	298.0	10.474009578423509	135	2.0450551697881267	0.0464632338051502	32.0	103.0	136.0	6.318999797500427																																				101	2.4060270994931923	0.019729688003810905	48	157	206	4.064315728785046																																				232	2.1394517495552603	0.0349711367250537	29.0	70.0	99.0	3.462142535780316
