	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	21	0.08500679061049453	0.04875820034248795	538.0	26.231911784258518	238	-0.17345952101909126	0.017898960969579478	186.0	3.3292067403417827	205	0.1663769232007612	0.003974976876238148	298.0	1.184543109118968	252	-0.10374727164853685	0.044382078099044445	376.0	16.68766136524071	192	0.19358074352805466	0.01546397629264291	156.0	2.412380301652294	232	-0.11992093682459348	0.040232908441660796	293.0	11.788242173406614	236	-0.15076380819157184	0.0017611959456358625	428.0	0.7537918647321491	14	-0.2085218873600179	0.00561898615433252	175.0	0.983322577008191	198	-0.21218812382520064	0.021068808652133973	118.0	2.486119420951809	3	-0.1442965613532229	0.038519351915435616	206.0	7.934986494579737	101	-0.12873550666253172	0.024788586450678596	304.0	7.535730281006293	175	0.19556660281420574	0.04351493470009343	107.0	4.656098012909998	27	0.1384868457794178	0.02137046587087087	276.0	5.89824858036036	107	0.23072320900676596	0.0012095608124145763	194.0	0.2346547976084278	132	0.2827706458127533	0.0008513067838038357	136	0.11577772259732165	138	0.2578010482123884	0.009988897914853249	99.0	0.9889008935704716
1						277	0.17207448436029213	0.01884880477264327	186.0	3.505877687711648	45	-0.1560504506915146	0.0069531120404753	298.0	2.0720273880616396	291	-0.1018946796348026	0.048339226493606134	376.0	18.175549161595907	98	-0.19175354777328782	0.01648324607871722	156.0	2.5713863882798864						105	0.1254289639497605	0.009388553268301039	428.0	4.018300798832844	1	-0.174711394500054	0.020752014072281028	175.0	3.63160246264918	82	-0.2098646117829814	0.022553869463969298	118.0	2.661356596748377						293	-0.12250418421308704	0.03274610281218382	304.0	9.954815254903881											109	-0.22650530630873794	0.0014940109089603114	194.0	0.2898381163383004	3	0.2539584971167083	0.0028508958170298552	136	0.3877218311160603	23	0.2531377219021932	0.011470851978859069	99.0	1.1356143459070478
2						300	0.17195048305424412	0.01893593800140666	186.0	3.5220844682616383	39	-0.12669017396550564	0.028768958015992406	298.0	8.573149488765736	17	-0.10168088356044497	0.04881433358402482	376.0	18.354189427593333	199	-0.18322411579163156	0.022051446484902492	156.0	3.4400256516447887						14	-0.12314413119198961	0.010775783534228561	428.0	4.612035352649825	263	-0.1685786842294263	0.02574148751422544	175.0	4.504760314989452	275	0.20122817070155585	0.028886603343763105	118.0	3.4086191945640465						23	-0.11886274574157732	0.038335129817782754	304.0	11.653879464605957											54	-0.22397647972611362	0.0016926342150807455	194.0	0.3283710377256646	265	0.25165814780240964	0.0031222156979816085	136	0.42462133492549875	157	0.22950779619952874	0.022303109229305104	99.0	2.2080078137012054
3						142	-0.17041582416346207	0.020043567163715786	186.0	3.7281034924511363	179	-0.11540058193242902	0.04654633778106663	298.0	13.870808658757856						35	-0.17781081316800496	0.02636978070208779	156.0	4.113685789525695						263	-0.11925478156340862	0.013558104843572876	428.0	5.802868873049191	174	0.16515338687469636	0.02895212592204792	175.0	5.066622036358386	227	-0.19880601430033093	0.030913191400442953	118.0	3.647756585252268						116	-0.11827752084978475	0.03930465733625854	304.0	11.948615830222597											128	0.20738101177661866	0.003714684285186749	194.0	0.7206487513262293	67	-0.2443285216605848	0.00414888905151378	136	0.564248911005874	30	-0.22694810393715092	0.023884081654336954	99.0	2.3645240837793584
4						293	0.17032113103605415	0.020113711539613752	186.0	3.741150346368158	141	-0.11436126217912862	0.048568530233826984	298.0	14.47342200968044						144	0.17301994425739514	0.030776102539743996	156.0	4.801071996200063						52	0.1182030132304665	0.01441168286569926	428.0	6.168200266519284	235	-0.14945132505109526	0.048383183834326604	175.0	8.467057171007156	89	-0.19880142328658063	0.030917144165868538	118.0	3.6482230115724876						42	-0.11801160819121992	0.03975198653169537	304.0	12.084603905635394											50	-0.2069234254400229	0.0037930145837020033	194.0	0.7358448292381886	208	0.2400682113325426	0.004876197774564961	136	0.6631628973408348	246	0.22509352524608506	0.025088466524264292	99.0	2.4837581859021647
5						30	0.17005871586716778	0.020309208119784684	186.0	3.7775127102799515											251	0.16501131653732412	0.03953750332299931	156.0	6.167850518387892						46	-0.11795226200741943	0.014622025121020416	428.0	6.258226751796738						93	0.19639602079473537	0.0330478930736997	118.0	3.8996513826965646						148	-0.11684482172695661	0.04176594260408329	304.0	12.69684655164132											10	0.20295267538418293	0.0045378285040744	194.0	0.8803387297904336	59	-0.23865527569519582	0.005141457953463525	136	0.6992382816710393	96	-0.21888921064364036	0.029500741576241347	99.0	2.920573416047893
6						63	-0.16909603385435232	0.021040541398240235	186.0	3.9135407000726836											51	0.15764202407345632	0.04936565563707083	156.0	7.701042279383049						137	-0.10738588772322555	0.026313940568829557	428.0	11.26236656345905						11	0.19520037357829606	0.03415236367742518	118.0	4.029978913936171						261	0.11632950402556656	0.04268240379353249	304.0	12.975450753233877											276	-0.20223618390226694	0.004685433898541143	194.0	0.9089741763169816	241	-0.2318627328595509	0.006605199507639249	136	0.8983071330389378	232	-0.21304185652213964	0.03424386874361628	99.0	3.390143005618012
7						220	0.16810171143226937	0.021819694835258443	186.0	4.05846323935807																					21	0.10205929755533935	0.03479305996602396	428.0	14.891429665458256						104	0.19516583890090705	0.03418472197764157	118.0	4.033797193361706						89	-0.1156009482856113	0.04400692015457326	304.0	13.378103726990272											12	0.19411575705437753	0.0066859787389146295	194.0	1.2970798753494381	102	-0.23067417650740335	0.006896362855366633	136	0.937905348329862	236	0.21302878361758742	0.03425515217989112	99.0	3.3912600658092207
8						73	0.1644116381895828	0.02493281827466553	186.0	4.637504199087789																					286	-0.09803487330040515	0.04265063969556146	428.0	18.254473789700306						117	-0.19254149977282897	0.03672047355028561	118.0	4.333015878933702						159	0.11512928518334284	0.04488268472509172	304.0	13.644336156427883											132	-0.19391110468116113	0.006745006936768094	194.0	1.3085313457330103	130	-0.2287758358117987	0.007385087387404539	136	1.0043718846870173	218	0.20568268401227718	0.04111005955456849	99.0	4.069895895902281
