	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15
0	0	21_получение_результата-разработка	0.08500679061049453	0.04875820034248795	538.0	26.231911784258518	238_дистанция-близость	-0.17345952101909126	0.017898960969579478	186.0	3.3292067403417827	205_отдых-рабочий_процесс	0.1663769232007612	0.003974976876238148	298.0	1.184543109118968	252_современность-древность	-0.10374727164853684	0.04438207809904445	376.0	16.68766136524071	192_производство-наука	0.19358074352805466	0.015463976292642909	156.0	2.412380301652294	232_проблема-решение_проблем	-0.11992093682459347	0.0402329084416608	293.0	11.788242173406616	236_умственный_труд-физический_труд	-0.15076380819157184	0.0017611959456358625	428.0	0.7537918647321491	14_изобилие-недостаток	-0.2085218873600179	0.00561898615433252	175.0	0.9833225770081909	198_обучение-достижение	-0.21218812382520064	0.021068808652133973	118.0	2.486119420951809	3_спокойствие-суматоха	-0.1442965613532229	0.038519351915435616	206.0	7.9349864945797375	101_фиксация-пересмотр	-0.12873550666253172	0.0247885864506786	304.0	7.535730281006293	175_нематериальное-материальное	0.19556660281420574	0.04351493470009343	107.0	4.6560980129099985	27_труд-фортуна	0.1384868457794178	0.02137046587087087	276.0	5.89824858036036	107_мир-драка	0.230723209006766	0.0012095608124145765	194.0	0.2346547976084278	132_правонарушение-соблюдение_закона	0.2827706458127533	0.0008513067838038358	136	0.11577772259732165	138_война-мир	0.2578010482123884	0.009988897914853249	99.0	0.9889008935704716
1	1						277_неживая_природа-живая_природа	0.17207448436029213	0.01884880477264327	186.0	3.5058776877116475	45_наука-быт	-0.1560504506915146	0.0069531120404753	298.0	2.07202738806164	291_работа-санкция	-0.1018946796348026	0.04833922649360613	376.0	18.175549161595907	98_разрушение-поддержание	-0.19175354777328785	0.01648324607871722	156.0	2.5713863882798864						105_сущность-внешность	0.1254289639497605	0.00938855326830104	428.0	4.018300798832844	1_иерархия-равенство	-0.17471139450005402	0.020752014072281028	175.0	3.6316024626491803	82_суматоха-спокойствие	-0.2098646117829814	0.022553869463969298	118.0	2.661356596748377						293_соблюдение_закона-правонарушение	-0.12250418421308705	0.03274610281218382	304.0	9.954815254903881											109_убожество-роскошь	-0.22650530630873794	0.0014940109089603116	194.0	0.2898381163383004	3_спокойствие-суматоха	0.2539584971167083	0.0028508958170298552	136	0.3877218311160603	23_мир-конфликт	0.2531377219021932	0.011470851978859069	99.0	1.1356143459070478
2	2						300_беспокойство-спокойствие	0.17195048305424412	0.01893593800140666	186.0	3.5220844682616383	39_целостность-пустота	-0.12669017396550564	0.028768958015992406	298.0	8.573149488765736	17_полемика-консенсус	-0.10168088356044497	0.048814333584024816	376.0	18.354189427593333	199_уют-неуют	-0.1832241157916316	0.02205144648490249	156.0	3.4400256516447887						14_изобилие-недостаток	-0.1231441311919896	0.01077578353422856	428.0	4.6120353526498254	263_влияние-зависимость	-0.1685786842294263	0.02574148751422544	175.0	4.504760314989452	275_жизненный_процесс-кончина	0.20122817070155585	0.028886603343763105	118.0	3.4086191945640465						23_мир-конфликт	-0.11886274574157732	0.03833512981778275	304.0	11.653879464605955											54_реальность-когнитивные_процессы	-0.2239764797261136	0.0016926342150807455	194.0	0.3283710377256646	265_радость-недовольство	0.25165814780240964	0.0031222156979816085	136	0.4246213349254988	157_отсутствие_чувств-чувства	0.22950779619952874	0.022303109229305104	99.0	2.2080078137012054
3	3						142_равенство-иерархия	-0.17041582416346207	0.020043567163715786	186.0	3.728103492451136	179_работа-искусство	-0.11540058193242902	0.04654633778106663	298.0	13.870808658757856						35_кончина-вечное_искусство	-0.17781081316800496	0.02636978070208779	156.0	4.113685789525695						263_влияние-зависимость	-0.11925478156340863	0.013558104843572876	428.0	5.802868873049191	174_праздник-быт	0.16515338687469636	0.02895212592204792	175.0	5.066622036358387	227_иерархия-равенство	-0.19880601430033093	0.030913191400442956	118.0	3.647756585252268						116_смерть-жизнь	-0.11827752084978475	0.039304657336258535	304.0	11.948615830222595											128_неловкость-ловкость	0.20738101177661866	0.0037146842851867494	194.0	0.7206487513262293	67_неизменность-изменение	-0.2443285216605848	0.00414888905151378	136	0.564248911005874	30_стихийное_собрание-мероприятия	-0.2269481039371509	0.023884081654336958	99.0	2.3645240837793584
4	4						293_соблюдение_закона-правонарушение	0.17032113103605415	0.020113711539613752	186.0	3.7411503463681584	141_микробиология-неопределенная_тема	-0.11436126217912862	0.04856853023382698	298.0	14.47342200968044						144_физический_труд-искусство	0.17301994425739514	0.030776102539744	156.0	4.801071996200063						52_близость-расстояние	0.1182030132304665	0.014411682865699259	428.0	6.1682002665192845	235_процесс-итог	-0.14945132505109526	0.048383183834326604	175.0	8.467057171007156	89_апатия-взбудораженность	-0.19880142328658065	0.030917144165868538	118.0	3.648223011572488						42_деструктивная_коммуникация-конструктивная_коммуникация	-0.11801160819121992	0.03975198653169537	304.0	12.084603905635396											50_проблема-взаимовыручка	-0.2069234254400229	0.0037930145837020033	194.0	0.7358448292381886	208_неживая_природа-живая_природа	0.2400682113325426	0.004876197774564961	136	0.6631628973408348	246_чистота-беспорядок	0.22509352524608506	0.02508846652426429	99.0	2.4837581859021647
5	5						30_стихийное_собрание-мероприятия	0.17005871586716778	0.020309208119784684	186.0	3.777512710279952											251_недостаток-достоинство	0.16501131653732412	0.03953750332299931	156.0	6.167850518387892						46_идея-реализация	-0.11795226200741946	0.014622025121020416	428.0	6.2582267517967365						93_учёба-отдых	0.19639602079473534	0.0330478930736997	118.0	3.8996513826965646						148_усталость-бодрость	-0.1168448217269566	0.04176594260408329	304.0	12.696846551641322											10_рутина-отдых	0.20295267538418293	0.0045378285040744	194.0	0.8803387297904336	59_увядание-расцвет	-0.23865527569519585	0.005141457953463525	136	0.6992382816710393	96_наука-быт	-0.2188892106436404	0.02950074157624135	99.0	2.920573416047893
6	6						63_мир-война	-0.16909603385435232	0.02104054139824024	186.0	3.913540700072684											51_творческая_реализация - эмоциональное_переживание	0.15764202407345632	0.04936565563707083	156.0	7.701042279383049						137_вертикальные_отношения-горизонтальные_отношения	-0.10738588772322556	0.02631394056882956	428.0	11.26236656345905						11_приобретение-постоянное_местонахождение	0.1952003735782961	0.034152363677425183	118.0	4.029978913936172						261_болезнь-здоровье	0.11632950402556655	0.04268240379353249	304.0	12.975450753233874											276_начало-конец	-0.20223618390226691	0.004685433898541143	194.0	0.9089741763169816	241_нападение-оборона	-0.2318627328595509	0.006605199507639249	136	0.8983071330389378	232_проблема-решение_проблем	-0.21304185652213964	0.03424386874361628	99.0	3.390143005618012
7	7						220_власть-наука	0.16810171143226935	0.021819694835258443	186.0	4.05846323935807																					21_получение_результата-разработка	0.10205929755533936	0.03479305996602396	428.0	14.891429665458254						104_неподвижность-подвижность	0.19516583890090705	0.034184721977641566	118.0	4.033797193361706						89_апатия-взбудораженность	-0.1156009482856113	0.04400692015457326	304.0	13.378103726990274											12_частное-общее	0.19411575705437756	0.0066859787389146295	194.0	1.297079875349438	102_фантастика-реальность	-0.2306741765074033	0.006896362855366633	136	0.937905348329862	236_умственный_труд-физический_труд	0.21302878361758745	0.03425515217989112	99.0	3.3912600658092207
8	8						73_наука-физический_труд	0.1644116381895828	0.024932818274665532	186.0	4.637504199087789																					286_начало-конец	-0.09803487330040517	0.04265063969556146	428.0	18.254473789700306						117_живая_природа-неживая_природа	-0.19254149977282894	0.03672047355028561	118.0	4.333015878933701						159_реальная_жизнь-выдуманная_жизнь	0.11512928518334285	0.04488268472509172	304.0	13.644336156427885											132_правонарушение-соблюдение_закона	-0.19391110468116116	0.006745006936768094	194.0	1.3085313457330103	130_размеренная_жизнь-напряжённая_жизнь	-0.2287758358117987	0.007385087387404539	136	1.004371884687017	218_трусость-мужество	0.2056826840122772	0.041110059554568486	99.0	4.069895895902281
